--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build 9d26fbd · 2026-08-03 06:18:41 UTC
  ~ auto-generated — do not edit
]]


﻿Tokens,Schinese,English,Russian
achievement_name_10001,登录 - 福佑启程,Login - Blessed Journey,Вход — Благословенное начало
achievement_name_10002,登录 - 初露锋芒,Login - Showing Potential,Вход — Первые успехи
achievement_name_10003,登录 - 熟能生巧,Login - Practice Makes Perfect,Вход — Мастерство в практике
achievement_name_10004,登录 - 渐入佳境,Login - Getting Better,Вход — Все лучше и лучше
achievement_name_10005,登录 - 游刃有余,Login - With Ease,Вход — С легкостью
achievement_name_10006,登录 - 英雄本色,Login - Hero's True Colors,Вход — Настоящий герой
achievement_name_10007,登录 - 七日之约,Login - 7-Day Covenant,Вход — Семидневный уговор
achievement_name_20101,结算 - 超凡入圣,Settle - Divine,Результат — Божество
achievement_name_20201,天梯 - 上手,Rank - Novice,Рейтинг — Новичок
achievement_name_20202,天梯 - 老手,Rank - Veteran,Рейтинг — Ветеран
achievement_name_20203,天梯 - 高手,Rank - Master,Рейтинг — Мастер
achievement_name_30001,VIP - 福佑赞助者,VIP - Blessing Patron,VIP — Спонсор благословения
achievement_name_30002,VVIP - 商会会员,VVIP - Merchant Member,VVIP — Член гильдии
achievement_name_30003,VVVIP - 核心成员,VVVIP - Core Member,VVVIP — Основной участник
achievement_name_30004,VVVVIP - 宝库贵宾,VVVVIP - Vault VIP,VVVVIP — VIP сокровищницы
achievement_name_30005,VVVVVIP - 璀璨白金,VVVVVIP - Radiant Platinum,VVVVVIP — Сияющая платина
achievement_name_30006,VVVVVVIP - 传奇藏家,VVVVVVIP - Legendary Collector,VVVVVVIP — Легендарный коллекционер
achievement_name_30007,VVVVVVVIP - 全知之眼,VVVVVVVIP - All-Seeing Eye,VVVVVVVIP — Всевидящее око
achievement_name_4000011,帕吉历练,Pudge Trials,Испытание Pudge
achievement_name_4000021,钢背兽历练,Bristleback Trials,Испытание Bristleback
achievement_name_4000031,小小历练,Tiny Trials,Испытание Tiny
achievement_name_4000041,裂魂人历练,Spirit Breaker Trials,Испытание Spirit Breaker
achievement_name_4000051,食人魔魔法师历练,Ogre Magi Trials,Испытание Ogre Magi
achievement_name_4000061,潮汐猎人历练,Tidehunter Trials,Испытание Tidehunter
achievement_name_4000071,军团指挥官历练,Legion Commander Trials,Испытание Legion Commander
achievement_name_4000081,斧王历练,Axe Trials,Испытание Axe
achievement_name_4000091,撼地者历练,Earthshaker Trials,Испытание Earthshaker
achievement_name_4000101,哈斯卡历练,Huskar Trials,Испытание Huskar
achievement_name_4000111,不朽尸王历练,Undying Trials,Испытание Undying
achievement_name_4000121,半人马战行者历练,Centaur Warrunner Trials,Испытание Centaur Warrunner
achievement_name_4000131,龙骑士历练,Dragon Knight Trials,Испытание Dragon Knight
achievement_name_4000141,末日使者历练,Doom Trials,Испытание Doom
achievement_name_4000151,冥魂大帝历练,Wraith King Trials,Испытание Wraith King
achievement_name_4000161,玛尔斯历练,Mars Trials,Испытание Mars
achievement_name_4000171,孽主历练,Underlord Trials,Испытание Underlord
achievement_name_4000181,獸历练,Primal Beast Trials,Испытание Primal Beast
achievement_name_4000191,昆卡历练,Kunkka Trials,Испытание Kunkka
achievement_name_4000201,巨牙海民历练,Tusk Trials,Испытание Tusk
achievement_name_4000211,斯拉达历练,Slardar Trials,Испытание Slardar
achievement_name_4000221,全能骑士历练,Omniknight Trials,Испытание Omniknight
achievement_name_4000231,噬魂鬼历练,Lifestealer Trials,Испытание Lifestealer
achievement_name_4000241,上古巨神历练,Elder Titan Trials,Испытание Elder Titan
achievement_name_4000251,暗夜魔王历练,Night Stalker Trials,Испытание Night Stalker
achievement_name_4000261,斯温历练,Sven Trials,Испытание Sven
achievement_name_4000271,伐木机历练,Timbersaw Trials,Испытание Timbersaw
achievement_name_4000281,破晓辰星历练,Dawnbreaker Trials,Испытание Dawnbreaker
achievement_name_4000291,混沌骑士历练,Chaos Knight Trials,Испытание Chaos Knight
achievement_name_4000301,树精卫士历练,Treant Protector Trials,Испытание Treant Protector
achievement_name_4000311,炼金术士历练,Alchemist Trials,Испытание Alchemist
achievement_name_4000321,朗戈历练,Lone Druid Trials,Испытание Lone Druid
achievement_name_4000331,大地之灵历练,Earth Spirit Trials,Испытание Earth Spirit
achievement_name_4000341,狙击手历练,Sniper Trials,Испытание Sniper
achievement_name_4000351,幻影刺客历练,Phantom Assassin Trials,Испытание Phantom Assassin
achievement_name_4000361,斯拉克历练,Slark Trials,Испытание Slark
achievement_name_4000371,虚空假面历练,Faceless Void Trials,Испытание Faceless Void
achievement_name_4000381,灰烬之灵历练,Ember Spirit Trials,Испытание Ember Spirit
achievement_name_4000391,卓尔游侠历练,Drow Ranger Trials,Испытание Drow Ranger
achievement_name_4000401,雷泽历练,Razor Trials,Испытание Razor
achievement_name_4000411,影魔历练,Shadow Fiend Trials,Испытание Shadow Fiend
