--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build 0b85d8d 
  ~ auto-generated — do not edit
]]


﻿Tokens,Schinese,English,Russian
achievement_undo_desc_10001,登录1天,Log in for 1 day,Вход в игру: 1 день
achievement_undo_desc_10002,登录2天,Log in for 2 days,Вход в игру: 2 дня
achievement_undo_desc_10003,登录3天,Log in for 3 days,Вход в игру: 3 дня
achievement_undo_desc_10004,登录4天,Log in for 4 days,Вход в игру: 4 дня
achievement_undo_desc_10005,登录5天,Log in for 5 days,Вход в игру: 5 дней
achievement_undo_desc_10006,登录6天,Log in for 6 days,Вход в игру: 6 дней
achievement_undo_desc_10007,登录7天,Log in for 7 days,Вход в игру: 7 дней
achievement_undo_desc_20101,赛季结算时天梯分高于5000分,Rank Score above 5000 at season end,Рейтинг выше 5000 при завершении сезона
achievement_undo_desc_20201,天梯分首次高于4000分,Reach 4000 Rank Score for the first time,Впервые достичь 4000 рейтинга
achievement_undo_desc_20202,天梯分首次高于5000分,Reach 5000 Rank Score for the first time,Впервые достичь 5000 рейтинга
achievement_undo_desc_20203,天梯分首次高于6000分,Reach 6000 Rank Score for the first time,Впервые достичь 6000 рейтинга
achievement_undo_desc_30001,累计充值6元,Total Recharge 6 RMB,Всего пополнено на 6 RMB
achievement_undo_desc_30002,累计充值60元,Total Recharge 30 RMB,Всего пополнено на 30 RMB
achievement_undo_desc_30003,累计充值150元,Total Recharge 118 RMB,Всего пополнено на 118 RMB
achievement_undo_desc_30004,累计充值300元,Total Recharge 300 RMB,Всего пополнено на 300 RMB
achievement_undo_desc_30005,累计充值600元,Total Recharge 600 RMB,Всего пополнено на 600 RMB
achievement_undo_desc_30006,累计充值1200元,Total Recharge 1200 RMB,Всего пополнено на 1200 RMB
achievement_undo_desc_30007,累计充值2000元，选取英雄时可预览胜率大数据,"Total Recharge 2000 RMB, Preview win rate data during hero selection","Всего пополнено на 2000 RMB, Предпросмотр винрейта при выборе героя"
achievement_undo_desc_4000011,使用帕吉2次,Play Pudge twice,Сыграть за Pudge 2 раза
achievement_undo_desc_4000021,使用钢背兽2次,Play Bristleback twice,Сыграть за Bristleback 2 раза
achievement_undo_desc_4000031,使用小小2次,Play Tiny twice,Сыграть за Tiny 2 раза
achievement_undo_desc_4000041,使用裂魂人2次,Play Spirit Breaker twice,Сыграть за Spirit Breaker 2 раза
achievement_undo_desc_4000051,使用食人魔魔法师2次,Play Ogre Magi twice,Сыграть за Ogre Magi 2 раза
achievement_undo_desc_4000061,使用潮汐猎人2次,Play Tidehunter twice,Сыграть за Tidehunter 2 раза
achievement_undo_desc_4000071,使用军团指挥官2次,Play Legion Commander twice,Сыграть за Legion Commander 2 раза
achievement_undo_desc_4000081,使用斧王2次,Play Axe twice,Сыграть за Axe 2 раза
achievement_undo_desc_4000091,使用撼地者2次,Play Earthshaker twice,Сыграть за Earthshaker 2 раза
achievement_undo_desc_4000101,使用哈斯卡2次,Play Huskar twice,Сыграть за Huskar 2 раза
achievement_undo_desc_4000111,使用不朽尸王2次,Play Undying twice,Сыграть за Undying 2 раза
achievement_undo_desc_4000121,使用半人马战行者2次,Play Centaur Warrunner twice,Сыграть за Centaur Warrunner 2 раза
achievement_undo_desc_4000131,使用龙骑士2次,Play Dragon Knight twice,Сыграть за Dragon Knight 2 раза
achievement_undo_desc_4000141,使用末日使者2次,Play Doom twice,Сыграть за Doom 2 раза
achievement_undo_desc_4000151,使用冥魂大帝2次,Play Wraith King twice,Сыграть за Wraith King 2 раза
achievement_undo_desc_4000161,使用玛尔斯2次,Play Mars twice,Сыграть за Mars 2 раза
achievement_undo_desc_4000171,使用孽主2次,Play Underlord twice,Сыграть за Underlord 2 раза
achievement_undo_desc_4000181,使用獸2次,Play Primal Beast twice,Сыграть за Primal Beast 2 раза
achievement_undo_desc_4000191,使用昆卡2次,Play Kunkka twice,Сыграть за Kunkka 2 раза
achievement_undo_desc_4000201,使用巨牙海民2次,Play Tusk twice,Сыграть за Tusk 2 раза
achievement_undo_desc_4000211,使用斯拉达2次,Play Slardar twice,Сыграть за Slardar 2 раза
achievement_undo_desc_4000221,使用全能骑士2次,Play Omniknight twice,Сыграть за Omniknight 2 раза
achievement_undo_desc_4000231,使用噬魂鬼2次,Play Lifestealer twice,Сыграть за Lifestealer 2 раза
achievement_undo_desc_4000241,使用上古巨神2次,Play Elder Titan twice,Сыграть за Elder Titan 2 раза
achievement_undo_desc_4000251,使用暗夜魔王2次,Play Night Stalker twice,Сыграть за Night Stalker 2 раза
achievement_undo_desc_4000261,使用斯温2次,Play Sven twice,Сыграть за Sven 2 раза
