--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,SChinese,English
addon_game_name,兵器时代5,Aow5
DOTA_Retrue_Label,撤离中...,Retrueing...,
DOTA_Tooltip_modifier_env_cold,冻伤,冻伤,
DOTA_Tooltip_modifier_env_cold_Description,"寒冷环境下,每3秒受到1层冻伤,每层减速2%%,达到最大层数时,每秒受到少量伤害。","寒冷环境下,每5秒受到1层冻伤,每层减速1%%,达到最大20c层时,额外受到每秒伤害。",
DOTA_Tooltip_modifier_env_warmth,温暖,温暖,
DOTA_Tooltip_modifier_env_warmth_Description,"温暖状态下,生命缓慢恢复。","温暖状态下,生命缓慢恢复。",
DOTA_Tooltip_modifier_item_0400_soul_bind,缚魂,Soul Bind,
DOTA_Tooltip_modifier_item_0400_soul_bind_Description,下次释放充能技能时返还1次充能。,The next charge-based ability cast refunds 1 charge.,
AK_Attr_view_distance,英雄视野,View Distance,
AK_Attr_extra_backpack_slot_limit,背包格子,Backpack Slots,
AK_Attr_item_slot_unlock_count,物品栏解锁数量,Item Slot Unlock Count,
AK_Attr_base_mana,基础魔法值,Base Mana,
AK_Attr_base_mana_pct,%魔法值,Base Mana Percentage,
AK_Attr_bonus_mana,魔法值,Mana,
AK_Attr_mana_regen,魔法恢复,Mana Regen,
AK_Attr_mana_regen_pct,%魔法恢复百分比,Mana Regen Percentage,
AK_Attr_base_mana_regen_add,基础魔法恢复,Base Mana Regen Add,
AK_Attr_base_attack_damage,基础攻击力,Base Attack Damage,
AK_Attr_bonus_attack_damage,攻击力,Attack Damage,
AK_Attr_base_attack_damage_percent,%基础攻击力,%Attack Percentage,
AK_Attr_all_attack_damage_percent,%攻击力,All Attack Damage Percentage,
AK_Attr_attack_speed,攻击速度,Attack Speed,
AK_Attr_reduce_base_attack_time,攻击间隔降低,Reduce Base Attack Time,
AK_Attr_base_attack_range,基础攻击范围,Base Attack Range,
AK_Attr_bonus_attack_range,攻击距离,Attack Range,
AK_Attr_crit_chance_pct,%暴击率,Crit Chance,
AK_Attr_crit_damage_pct,%暴击伤害,Crit Damage,
AK_Attr_ability_crit_chance_pct,%技能暴击,Ability Crit Chance,
AK_Attr_physical_crit_chance_pct,%物理暴击,Physical Crit Chance,
AK_Attr_magical_crit_chance_pct,%魔法暴击,Magical Crit Chance,
AK_Attr_omni_crit_chance_pct,%全域暴击,Omni Crit,
AK_Attr_blind_chance_pct,%致盲几率,Blind Chance,
AK_Attr_spell_amplify_pct,%技能伤害,Spell Amplify,
AK_Attr_normal_attack_damage_amp_pct,%普通攻击伤害,Normal Attack Damage Amp,
AK_Attr_outgoing_damage_pct,%伤害加成,%Damage Percentage,
AK_Attr_fixed_damage_add,固定伤害,Fixed Damage Add,
AK_Attr_attack_count,远程攻击数量,Attack Count,
AK_Attr_extra_damage_pct_1,%对小怪额外伤害,%Extra Damage to Creeps,
AK_Attr_extra_damage_pct_2,%对精英怪额外伤害,%Extra Damage to Elites,
AK_Attr_extra_damage_pct_3,%对BOSS额外伤害,%Extra Damage to Bosses,
AK_Attr_extra_damage_pct_4,%对头目额外伤害,%Extra Damage to Chieftains,
AK_Attr_physical_damage_add_pct,%物理伤害,Physical Damage Bonus,
AK_Attr_magical_damage_add_pct,%魔法伤害,Magical Damage Bonus,
AK_Attr_base_strength,力量,Strength,
AK_Attr_bonus_strength,力量,Strength Bonus,
AK_Attr_base_agility,敏捷,Agility,
AK_Attr_bonus_agility,敏捷,Agility Bonus,
AK_Attr_base_intelligence,智力,Intelligence,
AK_Attr_bonus_intelligence,智力,Intelligence Bonus,
AK_Attr_strength_growth,力量成长,Strength Growth,
AK_Attr_agility_growth,敏捷成长,Agility Growth,
AK_Attr_intelligence_growth,智力成长,Intelligence Growth,
AK_Attr_base_health,生命值,Base Health,
AK_Attr_base_health_pct,%基础生命值,%Base Health Percentage,
AK_Attr_bonus_health,生命值,Health,
AK_Attr_health_regen,生命恢复,Health Regen,
AK_Attr_block,格挡值,Block,
AK_Attr_incoming_damage_decrease_pct,%伤害减免,Damage Reduction,
AK_Attr_incoming_damage_increase_pct,%受到伤害,Damage Taken Increase,
AK_Attr_damage_reduction_pct,%伤害减免,Damage Reduction,
AK_Attr_base_armor,护甲,Base Armor,
AK_Attr_base_armor_pct,%基础护甲,%Base Armor,
AK_Attr_bonus_armor,护甲,Armor,
AK_Attr_all_armor_pct,%全域护甲,%All Armor,
AK_Attr_base_magic_resistance,%魔法抗性,Magic Resistance,
AK_Attr_base_stun_resistance,眩晕抗性,Base Stun Resistance,
AK_Attr_base_movespeed,基础移动速度,Base Move Speed,
AK_Attr_bonus_movespeed,移动速度,Move Speed,
AK_Attr_bonus_movespeed_pct,%移动速度,%Move Speed,
AK_Attr_incoming_physical_damage_increase_pct,%受到物理伤害,Incoming Physical Damage Increase,
AK_Attr_incoming_magical_damage_increase_pct,%受到魔法伤害,Incoming Magical Damage Increase,
AK_Attr_evasion_pct,%闪避,Evasion,
AK_Attr_cooldown_reduction_pct,%冷却缩减,Cooldown Reduction,
AK_Attr_attack_lifesteal_pct,%攻击吸血,Attack Lifesteal,
AK_Attr_physical_lifesteal_pct,%物理吸血,Physical Lifesteal,
AK_Attr_spell_lifesteal_pct,%技能吸血,Spell Lifesteal,
AK_Attr_magical_lifesteal_pct,%魔法吸血,Magical Lifesteal,
AK_Attr_omni_lifesteal_pct,%全域吸血,Omni Lifesteal,
AK_Attr_bonus_all_stats,全属性,All Stats Bonus,
AK_Attr_base_all_stats_pct,%基础全属性,%All Stats Bonus,
AK_Attr_base_energy_shield,护盾值,Base Shield,
AK_Attr_bonus_energy_shield,护盾值,Shield,
AK_Attr_health_regen_pct,%百分比生命恢复,%Health Regen,
AK_Attr_poison_outgoing_damage_pct,%中毒伤害,%Poison Damage,
AK_Attr_damage_resistance_pct,%伤害抵抗,%Damage Resistance,
AK_Attr_item_drop_luck,幸运值,Luck,
AK_Attr_item_drop_luck_pct,%幸运值,%Luck Percentage,
AK_Attr_dot_outgoing_damage_pct,%持续伤害,%Dot Damage,
AK_Attr_bleed_outgoing_damage_pct,%流血伤害,%Bleed Damage,
AK_Attr_bleed_damage_faster_pct,%流血结算加速,%Bleed Tick Rate,
AK_Attr_ability_item_0102_damage,%护甲反弹伤害,%Armor Damage,
AK_Attr_ability_item_0308_hp_buff,每层生命值,HP Buff,
AK_Attr_mana_cost_reduction_pct,%蓝耗降低,%Mana Cost Reduction,
AK_Attr_bonus_energy_shield_pct,%护盾上限,%Shield Bonus,
AK_Attr_base_strength_pct,%基础力量,%Base Strength,
AK_Attr_base_agility_pct,%基础敏捷,%Base Agility,
AK_Attr_base_intelligence_pct,%基础智力,%Base Intelligence,
AK_Attr_bonus_exp_pct,%经验获取,%Exp Bonus,
AK_Attr_all_all_stats_pct,%全属性,%All Stats Bonus,
AK_Attr_all_intelligence_pct,%智力,%Intelligence,
AK_Attr_all_agility_pct,%敏捷,%Agility,
AK_Attr_all_strength_pct,%力量,%Strength,
AK_Attr_outgoing_damage_pct_2,%最终伤害,%Final Damage,
AK_Attr_attack_speed_pct,%攻击速度,%Attack Speed,
AK_Attr_charge_restore_time_pct,%充能时间,%Charge Restore Time,
AK_Attr_charge_restore_speed_pct,%充能速度,%Charge Restore Speed,
AK_Attr_physical_armor_penetration_pct,%护甲穿透,%Armor Penetration,
AK_Attr_all_health_pct,%生命值,%Health,
AK_Quality_1,普通,Common,
AK_Quality_2,精良,Good,
AK_Quality_3,稀有,Rare,
AK_Quality_4,史诗,Epic,
AK_Quality_5,传说,Legendary,
AK_Quality_6,神话,Mythic,
AK_Quality_7,混沌,Unique,
AK_Quality_8,未知,Unknown,
AK_Quality_9,未知,Unknown,
AK_Quality_10,未知,Unknown,
AK_Quality_11,未知,Unknown,
Hud_幸运值,幸运值,Luck Value,
map_main,内测先锋服,Pioneer Server,
map_s1,先锋赛季S1,Pioneer S1,
map_s1_2,先锋赛季S1-2,Pioneer S1-2,
transmitting,传送中：,Transmitting...,
lv_name_M001,lv1.废弃矿场,
lv_name_M002,lv2.潮湿墓地,
lv_name_M012,lv3.矿坑废墟,
lv_name_M003,lv3.冷冽冰原,
lv_name_M006,lv4.幽暗密林,
lv_name_M004,lv4.毒藤庭院,
lv_name_M005,lv5.神庙广场,
lv_name_M007,lv6.神庙地底,
lv_name_M011,lv5.冰霜裂谷,
lv_name_M008,lv6.虚空外围,
lv_name_M009,lv7.绝影神殿,
lv_name_M014,lv8.末影雷山,
lv_name_M010,lv8.末影神殿,
lv_name_M013,lv9.欲望神殿,
lv_name_M015,魔法密林,
lv_name_G001,倾天秘境,Skyfall Realm
illustrated_特殊,特殊,Special,
illustrated_珍奇,珍奇,Rare,