--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English,SChinese
DOTA_Tooltip_ability_item_0100_bonus_all_stats,+All Stats Bonus,+全属性
DOTA_Tooltip_ability_item_0101_bonus_attack_damage,+Attack Damage,+攻击力
DOTA_Tooltip_ability_item_0101_attack_speed,+Attack Speed,+攻击速度
DOTA_Tooltip_ability_item_0103_bonus_health,+Health,+生命值
DOTA_Tooltip_ability_item_0103_bonus_armor,+Armor,+护甲
DOTA_Tooltip_ability_item_0103_extra_backpack_slot_limit,+Extra Backpack Slots,+额外背包格子
DOTA_Tooltip_ability_item_0104_bonus_health,+Health,+生命值
DOTA_Tooltip_ability_item_0104_bonus_armor,+Armor,+护甲
DOTA_Tooltip_ability_item_0104_extra_backpack_slot_limit,+Extra Backpack Slots,+额外背包格子
DOTA_Tooltip_ability_item_0105_base_movespeed,+Base Move Speed,+基础移动速度
DOTA_Tooltip_ability_item_0105_attack_speed,+Attack Speed,+攻击速度
DOTA_Tooltip_ability_item_0106_bonus_attack_damage,+Attack Damage,+攻击力
DOTA_Tooltip_ability_item_0106_bonus_strength,+Strength Bonus,+力量
DOTA_Tooltip_ability_item_0106_attack_speed,+Attack Speed,+攻击速度
DOTA_Tooltip_ability_item_0107_bonus_health,+Health,+生命值
DOTA_Tooltip_ability_item_0107_bonus_armor,+Armor,+护甲
DOTA_Tooltip_ability_item_0107_health_regen,+Health Regen,+生命恢复
DOTA_Tooltip_ability_item_0107_extra_backpack_slot_limit,+Extra Backpack Slots,+额外背包格子
DOTA_Tooltip_ability_item_0108_health_regen,+Health Regen,+生命恢复
DOTA_Tooltip_ability_item_0109_extra_backpack_slot_limit,+Extra Backpack Slots,+额外背包格子
DOTA_Tooltip_ability_item_0109_bonus_all_stats,+All Stats Bonus,+全属性
DOTA_Tooltip_ability_item_0110_bonus_mana,+Bonus Mana,+额外魔法值
DOTA_Tooltip_ability_item_0110_mana_regen,+Mana Regen,+魔法恢复
DOTA_Tooltip_ability_item_0111_bonus_agility,+Agility Bonus,+敏捷
DOTA_Tooltip_ability_item_0111_evasion_pct,%+Evasion,%+闪避
DOTA_Tooltip_ability_item_0112_bonus_strength,+Strength Bonus,+力量
DOTA_Tooltip_ability_item_0112_bonus_health,+Health,+生命值
DOTA_Tooltip_ability_item_0112_extra_backpack_slot_limit,+Extra Backpack Slots,+额外背包格子
DOTA_Tooltip_ability_item_0113_base_movespeed,+Base Move Speed,+基础移动速度
DOTA_Tooltip_ability_item_0113_attack_speed,+Attack Speed,+攻击速度
DOTA_Tooltip_ability_item_0113_bonus_armor,+Armor,+护甲
DOTA_Tooltip_ability_item_0114_bonus_attack_damage,+Attack Damage,+攻击力
DOTA_Tooltip_ability_item_0115_evasion_pct,%+Evasion,%+闪避
DOTA_Tooltip_ability_item_0115_base_movespeed,+Base Move Speed,+基础移动速度
DOTA_Tooltip_ability_item_0116_bonus_attack_damage,+Attack Damage,+攻击力
DOTA_Tooltip_ability_item_0116_attack_speed,+Attack Speed,+攻击速度
DOTA_Tooltip_ability_item_0117_bonus_attack_damage,+Attack Damage,+攻击力
