--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English,SChinese
DOTA_Tooltip_modifier_axe_002_passive,,重击
DOTA_Tooltip_modifier_axe_002_passive_Description,,攻击力提升自身最大生命值的5%% 。
DOTA_Tooltip_modifier_axe_003_helix_attack_speed,,旋舞
DOTA_Tooltip_modifier_axe_003_helix_attack_speed_Description,,反击螺旋由攻击触发后获得攻速提升，可叠加。
DOTA_Tooltip_modifier_axe_005_self_buff,,护甲加成
DOTA_Tooltip_modifier_axe_005_self_buff_Description,,增加护甲
DOTA_Tooltip_modifier_axe_006_berserk,,狂暴之怒
DOTA_Tooltip_modifier_axe_006_berserk_Description,,免疫大多数负面效果并大幅提高负面抗性；提升最大生命值与基础护甲，并减少承受伤害。
DOTA_Tooltip_modifier_axe_007_berserkers_blood,,狂战士之血
DOTA_Tooltip_modifier_axe_007_berserkers_blood_Description,,当前生命越低，攻速与生命恢复越高。
DOTA_Tooltip_modifier_axe_008_blood_oath,,血誓
DOTA_Tooltip_modifier_axe_008_blood_oath_Description,,攻击速度提高；每次攻击消耗当前生命值并附加物理伤害，期间生命最低保留 1 点。
DOTA_Tooltip_modifier_axe_009_red_mist_supply,,红雾补给
DOTA_Tooltip_modifier_axe_009_red_mist_supply_Description,,每层使生命回复增加最大生命值的若干百分比，多层可叠加且每层独立计时。
DOTA_Tooltip_modifier_axe_010_glory_guard,,荣耀守护
DOTA_Tooltip_modifier_axe_010_glory_guard_Description,,每点护甲值使自身增加10点生命上限。
DOTA_Tooltip_modifier_drow_001_frozen_soul,,冻魄
DOTA_Tooltip_modifier_drow_001_frozen_soul_Description,,魂魄冻结：受到的魔法伤害提高。
DOTA_Tooltip_modifier_drow_002_armor_break,,破甲
DOTA_Tooltip_modifier_drow_002_armor_break_Description,,护甲降低。每层降低10%%，最多叠加5层。
DOTA_Tooltip_modifier_drow_004_extra_arrow,,急冻箭矢
DOTA_Tooltip_modifier_drow_004_extra_arrow_Description,,攻击发射急冻箭矢
DOTA_Tooltip_modifier_drow_005_nightfall_charge,,永夜蓄力
DOTA_Tooltip_modifier_drow_005_nightfall_charge_Description,,正在蓄力永夜之矢，无法移动。施放撤步可打断蓄力。
DOTA_Tooltip_modifier_drow_006_winter_fervor,,凛冬狂热
DOTA_Tooltip_modifier_drow_006_winter_fervor_Description,,攻击会叠加攻击速度，每秒流逝 1 层。
DOTA_Tooltip_modifier_drow_007_ice_skin,,冰肌
DOTA_Tooltip_modifier_drow_007_ice_skin_Description,,每拥有1%%闪避，获得1%%伤害抵抗。
DOTA_Tooltip_modifier_drow_009_frost_veil,,霜雾
DOTA_Tooltip_modifier_drow_009_frost_veil_Description,,周身霜雾掩藏身形，每层冰冻提供闪避与移动速度加成。
DOTA_Tooltip_modifier_drow_010_formation_controller,,凛冬之阵
DOTA_Tooltip_modifier_drow_010_formation_controller_Description,,冰霜之阵已展开：施加冰冻时额外施加一次，普攻追加伤害并触发一次攻击。
DOTA_Tooltip_modifier_drow_010_formation_buff,,凛冬之阵
DOTA_Tooltip_modifier_drow_010_formation_buff_Description,,阵中庇护：攻击速度与减伤提升。
DOTA_Tooltip_modifier_lina_001_dragon_soul,,龙魄
DOTA_Tooltip_modifier_lina_001_dragon_soul_Description,,"每层使龙破斩伤害提高,并会随时间逐层流逝。"
DOTA_Tooltip_modifier_lina_003_fiery_soul_effect,,慢热
DOTA_Tooltip_modifier_lina_003_fiery_soul_effect_Description,,层数会随时间流逝，每层提高自身造成的伤害。
DOTA_Tooltip_modifier_lina_011_fire_curse,,火咒之印
