--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build 1413b34 · 2026-07-24 17:22:14 UTC
  ~ auto-generated — do not edit
]]


"lang"
{
	"Language"		"portuguese"
	"Tokens"
	{		
"addon_game_name"			"World Of Dota"
"DOTA_GOODGUYS"				"Monge"
"DOTA_BADGUYS"				"Bandido"
"DOTA_CUSTOM1"				"Paladino"
"DOTA_CUSTOM2"				"Druida"
"DOTA_CUSTOM3"				"Xamã"
"DOTA_CUSTOM4"				"Caçador"
"DOTA_CUSTOM5"				"Guerreiro"
"DOTA_CUSTOM6"				"Mago"
"name_relax"				"Arena do Começo"
"name_arena_1"				"Arena da Cura"
"name_arena_2"				"Arena da Vida"
"name_arena_3"				"Arena da Dor"
"name_arena_4"				"Arena do Limite"
"name_arena_5"				"Arena da Visão"
"name_arena_6"				"Arena do Milagre"
"name_arena_7"				"Arena da Morte"
"random_button"				"Herói Aleatório. <br> Bônus de Ouro: 100"
"flayoutstr"				"Força"
"flayoutagi"				"Agilidade"
"flayoutint"				"Inteligência"
"flayoutlevel"				"Nível"
"flayoutnetworths"			"Valor"
"flayoutkills"				"Mortes"
"flayoutdeaths"				"Morte"
"flayoutassists"			"Assistências"
"flayoutitems"				"Itens"
"flayoutraiting"			"Classificação"
"flayoutcoins"				"Moedas"
"wodacoins"					"Moedas"
"wodacrystals"				"Cristais"
"wodaplus"					"WODA Plus"
"shopprofile"				"PERFIL"
"shopheroes"				"HEROIS"
"shopshop"					"LOJA"
"hero_days_365"				"PARA SEMPRE"
"shop_bought"				"Comprado"
"shop_button_subscribe"		"Pacotes"
"shop_button_pets"			"Pets"
"shop_button_currency"		"Comprar Moedas"
"shop_button_inventory"		"INVENTÁRIO"
"shop_button_tips"			"Dicas"
"shop_button_five"			"High Five"
"shop_button_bg"			"Fundo do Perfil"
"shop_button_teleports"		"Teleportes"
"shop_activate"				"Ativar"
"shop_deactivate"			"Desativar"
"ItemsCollectionName"		"Coleção de Itens"
"your_gameid"				"ID:"
"leave"						"Sair"
"shop_button_emblems"		"Efeitos"
"games_count"				"Jogos jogados: "
"LeaderboardNameLabel"		"PLACAR DE LÍDERES"
"Leaderboard_rank_col"		"RANK"
"Leaderboard_player_col"	"JOGADOR"
"Leaderboard_rating_col"	"CLASSIFICAÇÃO"
"woda_plus_endgame_info"	"Assinante WODA Plus"
"ld_link_1"					"Loja"
"ld_link_2"					"Base de Conhecimento"
"ld_link_3"					"Discord"


"Leaderboard_hero_solo"		"Herói Solo"
"Leaderboard_solo"			"Solo"
"Leaderboard_duo"			"Duo"
"Leaderboard_trio"			"Trio"

"tournament_gamemode_info"		"Modo Torneio"
"tournament_select_bans"		"Número de Bans por Jogador?"
"tournament_select_random_hero"	"Heróis Aleatórios?"
"tournament_ban_in_game"		"Número de Bans por Jogador:"
"tournament_is_random_mode"		"Heróis Aleatórios."
"tournament_is_tournament_game_mode"	"Modo Torneio."

"rune_top_button_2"						"Runas"
"CustomEndScreenStats"					"Estatísticas de Dano"
"button_woda_plus"						"WODA Plus"
"woda_tab_1"							"WODA PLUS"
"woda_tab_2"							"FORÇA"
"woda_tab_3"							"AGILIDADE"
"woda_tab_4"							"INTELIGÊNCIA"
"woda_tab_5"							"UNIVERSAIS"
"woda_plus_header_name"					"WODA PLUS"
"woda_plus_header_name_description"		"Melhore seu jogo com WODA Plus — um conjunto completo de ferramentas que registra suas conquistas e ajuda a elevar seu nível com seus heróis favoritos, oferecendo estatísticas úteis e recompensas extras."
"WodaPlusSubscribeButton"				"ASSINAR"
"pass_reward_1"							"Bônus de Nível dos Heróis"
"pass_reward_2"							"Acesso às Missões"
"pass_reward_3"							"Estatísticas de Dano"
"pass_reward_4"							"Bônus de Moedas por Jogo"
"pass_reward_1_description"				"Não importa se você gosta de vários heróis ou de alguns com quem joga centenas de partidas — em cada partida, você receberá 100% a mais de experiência para o emblema do seu herói."
"pass_reward_2_description"				"Complete missões e ganhe efeitos cosméticos únicos, pets, fundos, dicas e muito mais. O progresso das missões é contado enquanto sua assinatura WODA Plus estiver ativa. Você pode continuar a qualquer momento!"
"pass_reward_3_description"				"Durante e após a partida, assinantes WODA Plus recebem um relatório de batalha contendo análise do dano causado e recebido."
"pass_reward_4_description"				"Mostre seu estilo e acelere a coleta de itens para sua coleção! Em cada partida, você receberá 100% a mais de moedas, que podem ser gastas na Loja."
"woda_quest_claim_reward"				"Receber"
"woda_quest_claim_reward_sucess"		"Recebido"
"dota_sound_error" "A roda estará disponível em:"

"battle_pass_1"					"Passe de Batalha 2025"
"battle_pass_2"					"Passe de Batalha 2026"
"button_woda_battlepass"		"Passe de Batalha"
"woda_battlepass"				"PASSE DE BATALHA 2025"
"woda_battlepass2"				"PASSE DE BATALHA 2026"
"battlepass_level_name"			"NÍVEL"
"battlepass_buy_bp_button"		"COMPRAR PASSE DE BATALHA"
"battlepass_information"		"Jogue e ganhe moedas para subir o nível do Battle Pass e receber recompensas adicionais. <br> + A recompra do Battle Pass adicionará 49 níveis"

"button_top_hero_votes"    "Votação"
"double_tokens_information"    "Fichas de classificação dupla."
"shop_button_runes"    "RUNAS"
"double_rating_pack"    "Classificação Dupla x10"
"double_rating_pack_description"    "Um pacote com <font color='#eabe10'>10</font> Fichas de Classificação Dupla. Pode ser usado nos modos: <br> Rating, Rating 300+ <br> Rating Duo, Rating Duo 300+"
"shop_runes_description"    "Runas dão bônus adicionais ao seu herói no modo Arena. Cada runa tem 3 níveis.\nVocê pode obter uma runa ao abrir um baú com runa aleatória."
"shop_player_has_all_runes"    "Todas as runas já foram obtidas no nível máximo."
"shop_rune_is_drop"    "RECEBIDO:"
"shop_all_runes"    "Total:"
"shop_runes_activated"    "Em uso: "
"shop_rune_level"    "Nível"
"shop_rune_not_active"    "Não obtida"
"rune_chest_item"		"Baú de Runas"
"paymethod_choose"		"Escolha um método de pagamento"
"payment_choose"		"Selecionar"
		"funpay_choose"			"FunPay"
		"xsolla_choose"			"Xsolla"

"rune_health"          "Runa de Vida"
"rune_strength"        "Runa de Força"
"rune_regeneration"    "Runa de Regeneração"
"rune_giant"           "Runa do Gigante"
"rune_titan"           "Runa do Titã"
"rune_warrior"         "Runa do Guerreiro"
"rune_cast_range"      "Runa de Alcance"
"rune_sentinel"        "Runa do Sentinela"
"rune_antimagic"       "Runa Antimágica"
"rune_rebirth"         "Runa de Renascimento"
"rune_knight"          "Runa do Cavaleiro"
"rune_agility"         "Runa de Agilidade"
"rune_evasion"         "Runa de Evasão"
"rune_rage"            "Runa da Fúria"
"rune_monk"            "Runa do Monge"
"rune_berserker"       "Runa do Berserker"
"rune_hunter"          "Runa do Caçador"
"rune_vampire"         "Runa do Vampiro"
"rune_speed"           "Runa de Velocidade"
"rune_gold"            "Runa de Ouro"
"rune_sage"            "Runa do Sábio"
"rune_intellect"       "Runa de Inteligência"
"rune_restoration"     "Runa de Restauração"
"rune_thought"         "Runa do Pensamento"
"rune_curse"           "Runa da Maldição"
"rune_spell"           "Runa de Feitiço"
"rune_cleansing"       "Runa de Purificação"
"rune_sorcerer"        "Runa do Feiticeiro"
"rune_barrier"         "Runa de Barreira"
"rune_creator"         "Runa do Criador"
"rune_replenishment"   "Runa de Reabastecimento"
"rune_time"            "Runa do Tempo"
"rune_radius"          "Runa de Raio"

"rune_health_description_0" 		"Vida: 10%/20%/30%"
"rune_health_description_1" 		"Vida: <b><font color='#eabe10'>10%</font></b>/20%/30%"
"rune_health_description_2" 		"Vida: 10%/<b><font color='#eabe10'>20%</font></b>/30%"
"rune_health_description_3" 		"Vida: 10%/20%/<b><font color='#eabe10'>30%</font></b>"

"rune_strength_description_0" 		"Força: 5%/10%/15%"
"rune_strength_description_1" 		"Força: <b><font color='#eabe10'>5%</font></b>/10%/15%"
"rune_strength_description_2" 		"Força: 5%/<b><font color='#eabe10'>10%</font></b>/15%"
"rune_strength_description_3" 		"Força: 5%/10%/<b><font color='#eabe10'>15%</font></b>"

"rune_regeneration_description_0" 	"Regeneração de Vida: 1%/2%/3%"
"rune_regeneration_description_1" 	"Regeneração de Vida: <b><font color='#eabe10'>1%</font></b>/2%/3%"
"rune_regeneration_description_2" 	"Regeneração de Vida: 1%/<b><font color='#eabe10'>2%</font></b>/3%"
"rune_regeneration_description_3" 	"Regeneração de Vida: 1%/2%/<b><font color='#eabe10'>3%</font></b>"

"rune_giant_description_0" 		"Redução de Dano: 5%/10%/15%"
"rune_giant_description_1" 		"Redução de Dano: <b><font color='#eabe10'>5%</font></b>/10%/15%"
