--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,BaseToken,English,SChinese
ak_ruleset_s2__DOTA_Tooltip_ability_item_0102,DOTA_Tooltip_ability_item_0102,,碎裂背心
ak_ruleset_s2__DOTA_Tooltip_ability_item_0102_Description,DOTA_Tooltip_ability_item_0102_Description,,"<h1>被动：碎裂</h1>每次受到攻击时,反弹%ability_value_item_0102_damage%%%护甲值的物理伤害。这是 S2"
ak_ruleset_s2__DOTA_Tooltip_ability_item_G301,DOTA_Tooltip_ability_item_G301,,符印：六道风火斩
ak_ruleset_s2__DOTA_Tooltip_ability_item_G301_Description,DOTA_Tooltip_ability_item_G301_Description,,"<h1>龙破斩：六道风火斩</h1>龙破斩变为6道,单位重复被命中时受到60%伤害。"
ak_ruleset_s2__DOTA_Tooltip_ability_item_P006,DOTA_Tooltip_ability_item_P006,,防御药剂
ak_ruleset_s2__DOTA_Tooltip_ability_item_P006_Description,DOTA_Tooltip_ability_item_P006_Description,,"<h1>使用：固甲</h1>增加%potion_bonus_armor%点护甲值,持续%ability_duration%秒。"
ak_ruleset_s2__DOTA_Tooltip_ability_item_P006_Lore,DOTA_Tooltip_ability_item_P006_Lore,,药剂最多同时使用5种。
ak_ruleset_s2__dota_tooltip_ability_marci_004,dota_tooltip_ability_marci_004,,斗志冲刺
ak_ruleset_s2__dota_tooltip_ability_marci_004_dash_distance,dota_tooltip_ability_marci_004_dash_distance,,冲刺距离
ak_ruleset_s2__dota_tooltip_ability_marci_004_dash_duration,dota_tooltip_ability_marci_004_dash_duration,,冲刺时间
ak_ruleset_s2__dota_tooltip_ability_marci_004_Description,dota_tooltip_ability_marci_004_Description,,"最远%dash_distance%距离冲刺,期间获得高额伤害减免。"
ak_ruleset_s2__npc_dota_hero_axe_tier_2_description,npc_dota_hero_axe_tier_2_description,,强化反击能力，变得更加坚韧
ak_ruleset_s2__npc_dota_hero_axe_tier_2_name,npc_dota_hero_axe_tier_2_name,,精英守卫
ak_ruleset_s2__talent_T000,talent_T000,,生命
ak_ruleset_s2__talent_T000_dec,talent_T000_dec,,生命值+100
