--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build 16fdfbc · 2026-08-07 21:47:55 UTC
  ~ auto-generated — do not edit
]]


"lang"
{
	"Language"		"Schinese"
	"Tokens"
	{
		//schinese/ability.vdf
		"DOTA_Tooltip_ability_ursa_talent"		"怒意狂击"
		"DOTA_Tooltip_ability_ursa_talent_description"		"熊战士每次攻击命中添加%injury_stack%层{KeyWord:Injury}。"
		"DOTA_Tooltip_ability_ursa_ult"		"超强力量"
		"DOTA_Tooltip_ability_ursa_ult_description"		"提升%attackspeed%攻速，持续%attack_count%次攻击。期间攻击不消耗目标{KeyWord:Injury}层数。"
		"DOTA_Tooltip_ability_jugg_talent"		"剑舞"
		"DOTA_Tooltip_ability_jugg_talent_description"		"每次攻击{KeyWord:Crit}触发时立即造成%count%次剑刃风暴伤害"
		"DOTA_Tooltip_ability_jugg_ult"		"剑刃风暴"
		"DOTA_Tooltip_ability_jugg_ult_description"		"每%interval%秒造成%damage%点物理伤害并减少%reduce_pct%%所有负面状态层数，持续%duration%秒。"
		"DOTA_Tooltip_ability_necrophos_talent"		"竭心光环"
		"DOTA_Tooltip_ability_necrophos_talent_description"		"造成伤害时减少目标%health_reduce%%该伤害的最大生命值，最少减少%min_health_reduce%点，最多累计减少敌方最大生命值的%max_health_reduce_pct%%。"
		"DOTA_Tooltip_ability_necrophos_ult"		"死神镰刀"
		"DOTA_Tooltip_ability_necrophos_ult_description"		"延迟%duration%秒，对敌方造成%damage% + %health_damage%%*【已损失生命上限】的魔法伤害，同时{KeyWord:Regen}该数值的生命。"
		"DOTA_Tooltip_ability_omni_knight_talent"		"洗礼"
		"DOTA_Tooltip_ability_omni_knight_talent_description"		"每%interval%秒{KeyWord:Regen}%base_regen%点生命值，期间每减少%reduce%层负面状态增加%regen%点洗礼回复。"
		"DOTA_Tooltip_ability_omni_knight_ult"		"纯洁之锤"
		"DOTA_Tooltip_ability_omni_knight_ult_description"		"将战锤砸向目标，对目标造成 %damage% + 【本场战斗回复生命值】*%damage_bonus%% 的纯粹伤害，并清空累计恢复值。"
		"DOTA_Tooltip_ability_razor_talent"		"静电连接"
		"DOTA_Tooltip_ability_razor_talent_description"		"添加{KeyWord:Injury}时，%chance%%概率造成【%base_damage%+目标当前易伤层数*%damage_pct%%】点物理伤害。"
		"DOTA_Tooltip_ability_razor_ult"		"风暴之眼"
		"DOTA_Tooltip_ability_razor_ult_description"		"召唤风暴之眼每%interval%秒打击目标一次，每次打击造成%damage%点物理伤害并添加%injury%层{KeyWord:Injury}，持续%duration%秒。"
		"DOTA_Tooltip_ability_viper_talent"		"毒性攻击"
		"DOTA_Tooltip_ability_viper_talent_description"		"每次攻击命中添加%poison%层{KeyWord:Poison}及%bonus_poison_damage%层{Info:Buff_Poison}，持续%duration%秒"
		"DOTA_Tooltip_ability_viper_ult"		"蝮蛇突袭"
		"DOTA_Tooltip_ability_viper_ult_description"		"降低目标的%attackspeed%攻击速度与%mana_regen%%基础魔法回复，并添加%poison%层{KeyWord:Poison}及%bonus_poison_damage%层{Info:Buff_Poison}，持续%duration%秒"
		"DOTA_Tooltip_ability_life_stealer_talent"		"吞噬血肉"
		"DOTA_Tooltip_ability_life_stealer_talent_description"		"普攻%chance%%概率额外造成【敌方最大生命值】*%factor%%的魔法伤害，并{KeyWord:Regen}%heal_pct%%伤害量的生命值"
		"DOTA_Tooltip_ability_life_stealer_ult"		"感染"
		"DOTA_Tooltip_ability_life_stealer_ult_description"		"减少%debuff_reduce_pct%%负面效果。在%duration%秒内，每秒{KeyWord:Regen}%regen%生命值并造成1次吞噬血肉效果，期间+%heal_bonus%额外回复"
		"DOTA_Tooltip_ability_ogre_magi_talent"		"多重施法"
		"DOTA_Tooltip_ability_ogre_magi_talent_description"		"大招有（%bonus_chance%+暴击率*%crit_factor%）%的概率额外触发效果，额外触发最多不超过%max_count%次"
		"DOTA_Tooltip_ability_ogre_magi_ult"		"火焰爆轰"
		"DOTA_Tooltip_ability_ogre_magi_ult_description"		"使用火焰轰击敌人，造成%damage%点魔法伤害并使其眩晕%stun_duration%秒"
		"DOTA_Tooltip_ability_tinker_talent"		"地精科技"
		"DOTA_Tooltip_ability_tinker_talent_description"		"每个首次学习的技能提升%factor%点固定魔法伤害"
		"DOTA_Tooltip_ability_tinker_ult"		"热导飞弹"
		"DOTA_Tooltip_ability_tinker_ult_description"		"发射%count%枚火箭轰击敌人。每枚火箭造成 %damage%+%level_factor%*英雄等级 点物理伤害"
		"DOTA_Tooltip_ability_chaos_knight_talent"		"无双乱舞"
		"DOTA_Tooltip_ability_chaos_knight_talent_description"		"每次暴击造成【暴击率*%damage%】的{KeyWord:HpLoss}伤害<br><br><font color='#f09ca2'>英魂</font>: 暴击时获得%custom_mana%点{Info:Buff_CustomMana}。每获得%threshold%点{Info:Buff_CustomMana}时获得怒意状态，无双乱舞有%chance%%概率{KeyWord:Regen}%heal_pct%%伤害的生命值，持续%duration%秒"
		"DOTA_Tooltip_ability_chaos_knight_ult"		"横扫千军"
		"DOTA_Tooltip_ability_chaos_knight_ult_description"		"对敌方造成%damage%点物理伤害。<br>每%count%次释放时，将强化为修罗一击: 造成1次必定暴击的横扫千军，并{KeyWord:Regen}%heal_pct%%伤害的生命值"
