--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build b9dc48c · 2026-08-02 17:42:46 UTC
  ~ auto-generated — do not edit
]]


﻿Tokens,Schinese,English,Russian
bless_10001_desc_short,攻击距离固定为 <font color='#83d18a'>{range}</font>，吸血 <font color='#83d18a'>+{xx}%</font>，移动速度、总攻击力、生命值、攻击速度 <font color='#83d18a'>+{ysI}%</font>。,"Attack Range fixed to <font color='#83d18a'>{range}</font>, +<font color='#83d18a'>{xx}%</font> Lifesteal, +<font color='#83d18a'>{ysI}%</font> Move Speed, +<font color='#83d18a'>{gjI}%</font> Total Damage, +<font color='#83d18a'>{smI}%</font> Health, +<font color='#83d18a'>{gsI}%</font> Attack Speed.","Дальность атаки: <font color='#83d18a'>{range}</font>, вампиризм +<font color='#83d18a'>{xx}%</font>, скор. передв. +<font color='#83d18a'>{ysI}%</font>, общий урон +<font color='#83d18a'>{gjI}%</font>, здоровье +<font color='#83d18a'>{smI}%</font>, скор. атаки +<font color='#83d18a'>{gsI}%</font>."
bless_10002_desc_short,攻击额外触发分裂箭，分裂箭继承攻击特效，造成 <font color='#83d18a'>{dmg_pct}%</font> 伤害。,"Attacks trigger extra split arrows that inherit attack effects, dealing <font color='#83d18a'>{dmg_pct}%</font> damage. Hits primary target if no other enemies are in range.","Атаки выпускают раздвоенную стрелу с эффектами атаки, нанося <font color='#83d18a'>{dmg_pct}%</font> урона. Если врагов рядом нет, атакует основную цель."
bless_10003_desc_short,攻击英雄时向其释放蓄力箭矢，造成 <font color='#83d18a'>{atk_dmg_pct}%</font> 物理伤害（继承攻击特效），箭矢飞行 <font color='#83d18a'>{distance}</font> 码，伤害随飞行距离提升。,Attacking heroes fires a Charged Arrow dealing <font color='#83d18a'>{atk_dmg_pct}%</font> physical damage (procs on-hit effects). Damage increases by <font color='#83d18a'>{dmg_add}%</font> every <font color='#83d18a'>{dmg_add_distance}</font> units.,Атака героев выпускает заряженную стрелу: <font color='#83d18a'>{atk_dmg_pct}%</font> физ. урона (эффекты действуют). Урон +<font color='#83d18a'>{dmg_add}%</font> за каждые <font color='#83d18a'>{dmg_add_distance}</font> дист.
bless_10004_desc_short,攻击距离 <font color='#83d18a'>+{gjjl}</font>。,+<font color='#83d18a'>{gjjl}</font> Attack Range.,+<font color='#83d18a'>{gjjl}</font> к дальности атаки.
bless_10004a_desc_short,攻击距离 <font color='#83d18a'>+{gjjl}</font>，伤害输出 <font color='#83d18a'>-{shI}%</font> 。,"Atk Range <font color='#83d18a'>+{gjjl}</font>, Damage <font color='#83d18a'>-{shI}%</font>.","Дальн. атаки <font color='#83d18a'>+{gjjl}</font>, Урон <font color='#83d18a'>-{shI}%</font>."
bless_10005_desc_short,攻击距离 <font color='#83d18a'>+{gjjl}</font>。,+<font color='#83d18a'>{gjjl}</font> Attack Range.,+<font color='#83d18a'>{gjjl}</font> к дальности атаки.
bless_10005a_desc_short,攻击距离 <font color='#83d18a'>+{gjjl}</font>，生命值 <font color='#83d18a'>-{smI}%</font> 。,"Atk Range <font color='#83d18a'>+{gjjl}</font>, HP <font color='#83d18a'>-{smI}%</font>.","Дальн. атаки <font color='#83d18a'>+{gjjl}</font>, HP <font color='#83d18a'>-{smI}%</font>."
bless_10006_desc_short,获得 <font color='#83d18a'>{atk_spd_pct}%×移动速度</font> 的攻击速度。 攻击敌人获得 <font color='#83d18a'>{move_speed}</font> 移动速度。,"Attacking enemies grants <font color='#83d18a'>{move_speed}</font> Move Speed ({duration}s, max <font color='#83d18a'>{max_stack}</font> stacks). Gain Attack Speed equal to <font color='#83d18a'>{atk_spd_pct}% x Move Speed</font>.","Атака даёт <font color='#83d18a'>{move_speed}</font> скор. передв. ({duration} сек., до <font color='#83d18a'>{max_stack}</font> раз). Даёт скор. атаки: <font color='#83d18a'>{atk_spd_pct}% от скор. передв.</font>"
bless_10007_desc_short,冷却时间 <font color='#83d18a'> - {lv_factor}%×等级</font>。,Cooldown <font color='#83d18a'>-{lv_factor}% × Level</font>.,Перезарядка: <font color='#83d18a'>-{lv_factor}% × уровень</font>.
bless_10008_desc_short,攻击速度 <font color='#83d18a'>+{gs}</font> ，总攻击力 <font color='#83d18a'>-{gjI}%</font>，触发类伤害 <font color='#83d18a'>+{cffyshI}%</font><font color='#8e8e8e'>（包括旋涡/雷神之锤/金箍棒和触发类福佑）</font> 。,"Attack Speed <font color='#83d18a'>+{gs}</font> , Total ATK <font color='#83d18a'>-{gjI}%</font>, Maelstrom/Mjollnir/MKB and Proc Blessing Damage <font color='#83d18a'>+{cffyshI}%</font>.","Скорость атаки <font color='#83d18a'>+{gs}</font> , Общий урон <font color='#83d18a'>-{gjI}%</font>, Урон Maelstrom/Mjollnir/MKB и срабатывающих благословений <font color='#83d18a'>+{cffyshI}%</font>."
