--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build 9d26fbd · 2026-08-03 06:18:41 UTC
  ~ auto-generated — do not edit
]]


﻿Tokens,Schinese,English,Russian
bless_10001,铁剑在必得,Melee Archer,Стрелок ближнего боя
bless_10002,超级分裂箭,Extra Strike,Дополнительный удар
bless_10003,让子弹飞,Charged Arrow,Заряженная стрела
bless_10004,战术目镜已启动,Long Long Long (Ranged),Длинный-длинный-длинный (Дальний)
bless_10004a,战术目镜已启动（SP：输出）,Tactical Visor Activated (SP: DMG),Такт. визор активирован (SP: Урон)
bless_10005,三寸长三寸强,Long Long Long (Melee),Длинный-длинный-длинный (Ближний)
bless_10005a,三寸长三寸强（SP：生命）,3-Inch Advantage (SP: HP),Преимущ. 3 дюймов (SP: HP)
bless_10006,攻速鞋,Attack Speed Boots,Ботинки на скор. атаки
bless_10007,WTF,WTF,WTF
bless_10008,特效专家,VFX Expert,VFX-специалист
bless_10009,刮痧,Static Combo,Заряженное комбо
bless_10010,电锤思维,Maelstrom Mind,Мышление молний
bless_10011,钢琴手,Pianist,Пианист
bless_10012,双击666,Ultimate Refresh,Абсолютный сброс
bless_10013,血法师,Blood Mage,Маг крови
bless_10014,法术暴击,Spell Crit,Крит заклинаний
bless_10015,陷阵之志,Blink Dagger Shield,Щит Blink Dagger
bless_10016,刺客信条,Assassin's Creed,Кредо ассасина
bless_10017,一拳超人,One Punch Man,Ванпанчмен
bless_10018,受虐狂,Masochist,Мазохист
bless_10019,捆绑王,Tormentor,Мучитель
bless_10020,震震果实,Tremor Fruit,Плод сотрясения
bless_10021,太阳黑子,Universal Pull,Всепритяжение
bless_10022,护盾电池（大）,Spare Shield (Large),Запасной щит (Большой)
bless_10023,抠掉R键,No R Key,Без кнопки R
bless_10024,铁血复仇,Blood Revenge,Кровавая месть
bless_10025,5秒真男人,Real Man,Настоящий мужик
bless_10026,卫士胫甲强化,Enhanced Guardian Greaves,Усиленные поножи стража
bless_10027,玻璃大炮,Glass Cannon,Стеклянная пушка
bless_10027a,玻璃大炮（SP：承受伤害）,Glass Cannon (SP: DMG Taken),Стеклянная пушка (SP: Получ. урон)
bless_10028,我没K,Culling,Казнь
bless_10029,烂命一条,Quick Respawn,Быстрое возрождение
bless_10029a,烂命一条（SP：承受伤害）,Cheap Life (SP: DMG Taken),Дешёвая жизнь (SP: Получ. урон)
bless_10030,超超负荷,Overload,Перегрузка
bless_10031,游刃有余,Fixed Interval,Фиксированный интервал
bless_10032,泉水会员,Fountain Member,Член фонтана
bless_10033,闪回,Flashback,Флешбек
bless_10034,悬赏令,Bounty,Награда за голову
bless_10035,杀人书,Soulstealer,Пожиратель душ
bless_10036,龟龟,Turtle,Черепашка
bless_10037,小偷,Thief,Вор
bless_10038,盲盒,Blind Box,Таинственный ларец
bless_10039,先贤之石,Long Long (Spell),Длинный-длинный (Способность)
