--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build 16fdfbc · 2026-08-07 21:47:55 UTC
  ~ auto-generated — do not edit
]]


Tokens,Schinese,English,Russian
player_toggle_power_treads_out_of_limit,检测到玩家 <font color='%s1'>%s2</font> 可能存在恶意利用dota2游戏bug的行为，请立刻停止异常行为，否则账号将会被封禁！,Detected that player <font color='%s1'>%s2</font> may be maliciously exploiting Dota 2 bugs. Please stop this abnormal behavior immediately or your account will be banned!,"Обнаружено, что игрок <font color='%s1'>%s2</font> может злонамеренно использовать баги Dota 2. Немедленно прекратите аномальное поведение, иначе ваш аккаунт будет заблокирован!"
bless_10169_cat_ability_1_msg,<font color='%s1'>%s2</font> 发布了指令 - <font color='#ffffff'>撤退！</font>,<font color='%s1'>%s2</font> issued command - <font color='#ffffff'>Retreat!</font>,<font color='%s1'>%s2</font> отдал приказ - <font color='#ffffff'>Отступать!</font>
bless_10169_cat_ability_2_msg,<font color='%s1'>%s2</font> 发布了指令 - <font color='#ff0000'>集火</font>%s3！,<font color='%s1'>%s2</font> issued command - <font color='#ff0000'>Focus Fire</font> %s3!,<font color='%s1'>%s2</font> отдал приказ - <font color='#ff0000'>Сосредоточить огонь</font> на %s3!
bless_10169_cat_ability_3_msg,<font color='%s1'>%s2</font> 发布了指令 - <font color='#17ff0f'>保护</font>%s3！,<font color='%s1'>%s2</font> issued command - <font color='#17ff0f'>Protect</font> %s3!,<font color='%s1'>%s2</font> отдал приказ - <font color='#17ff0f'>Защитить</font> %s3!
count_down_min_x,玩家<font color='#ee0000'>%s1</font>断线重连还剩<font color='#ee0000'>%s2</font>分钟,Player <font color='#ee0000'>%s1</font> disconnected... <font color='#ee0000'>%s2</font> minutes left,Игрок <font color='#ee0000'>%s1</font> отключился... Осталось <font color='#ee0000'>%s2</font> минут
count_down_min_0,玩家<font color='#ee0000'>%s1</font>断线重连超时，<font color='#83d18a'>可以安全退出</font>,Player <font color='#ee0000'>%s1</font> disconnected... Timeout. <font color='#83d18a'>You may safely leave the game now</font>,Игрок <font color='#ee0000'>%s1</font> отключился... <font color='#83d18a'>Превышено время ожидания. Игру можно покинуть</font>
bless_10037_steal,我偷取到了福佑 <font color='%s1'>%s2</font> 和 <font color='%s3'>%s4</font> ！,I have stolen blessings <font color='%s1'>%s2</font> and <font color='%s3'>%s4</font>!,Я украл благословения <font color='%s1'>%s2</font> и <font color='%s3'>%s4</font>!
bless_10138_max,<font color='#ff59f1'>魔法少女，变身！</font>,"<font color='#ff59f1'>Magical Girl, Transform!</font>","<font color='#ff59f1'>Магическая девочка, трансформация!</font>"
bless_10038_box,我在盲盒里开出了福佑 <font color='%s1'>%s2</font> 和 <font color='%s3'>%s4</font> ！,I received blessings <font color='%s1'>%s2</font> and <font color='%s3'>%s4</font> from the mystery box!,Я получил благословения <font color='%s1'>%s2</font> и <font color='%s3'>%s4</font> из таинственной коробки!
bless_10068_msg,<font color='#ff0000'>虚假的和平已经结束，真正的复仇即将开始！</font>,"The false peace has ended, the true revenge is about to begin!","Ложный мир закончился, настоящая месть начинается!",
bless_10070_msg,天胡 九莲宝灯！<font color='%s1'>%s2</font> <font color='%s3'>%s4</font> <font color='%s5'>%s6</font> <font color='%s7'>%s8</font> <font color='%s9'>%s10</font> <font color='%s11'>%s12</font> <font color='%s13'>%s14</font> <font color='%s15'>%s16</font> <font color='%s17'>%s18</font>,Nine Treasures! <font color='%s1'>%s2</font> <font color='%s3'>%s4</font> <font color='%s5'>%s6</font> <font color='%s7'>%s8</font> <font color='%s9'>%s10</font> <font color='%s11'>%s12</font> <font color='%s13'>%s14</font> <font color='%s15'>%s16</font> <font color='%s17'>%s18</font>,Девять Сокровищ! <font color='%s1'>%s2</font> <font color='%s3'>%s4</font> <font color='%s5'>%s6</font> <font color='%s7'>%s8</font> <font color='%s9'>%s10</font> <font color='%s11'>%s12</font> <font color='%s13'>%s14</font> <font color='%s15'>%s16</font> <font color='%s17'>%s18</font>,最多展示9个福佑
bless_10079_msg,？,?,?,
bless_rnd_msg,我通过 <font color='%s1'>%s2</font> 获得了福佑 <font color='%s3'>%s4</font>,I obtained blessing <font color='%s3'>%s4</font> through <font color='%s1'>%s2</font>,Я получил благословение <font color='%s3'>%s4</font> через <font color='%s1'>%s2</font>,
bless_10145_msg,<font color='#fbff00'>狼王内丹</font> 已在双方泉水刷新！（剩余<font color='#ffffff'>%s1</font>次）,<font color='#fbff00'>Wolf King's Core</font> has spawned at both fountains! (Remaining <font color='#ffffff'>%s1</font> times),<font color='#fbff00'>Ядро Короля Волков</font> появилось у обоих фонтанов! (Осталось <font color='#ffffff'>%s1</font> раз),
bless_10145_pick_msg,玩家 <font color='%s1'>%s2</font> 拾取了 <font color='%s3'>%s4</font> 的狼王内丹！,Player <font color='%s1'>%s2</font> picked up Wolf King's Core from <font color='%s3'>%s4</font>!,Игрок <font color='%s1'>%s2</font> подобрал Ядро Короля Волков от <font color='%s3'>%s4</font>!,
team_name_good,天辉军团,The Radiant,Силы Света,
team_name_bad,夜魇军团,The Dire,Силы Тьмы,
bless_10148_success_msg,我在<font color='%s1'>【%s2】</font>挑战中获得了福佑 <font color='%s3'>%s4</font> 和 <font color='%s5'>%s6</font> ，仅用时0.03秒。你也来试试吧！,I obtained blessings <font color='%s3'>%s4</font> and <font color='%s5'>%s6</font> in the <font color='%s1'>【%s2】</font> challenge in just 0.03 seconds. Try it yourself!,Я получил благословения <font color='%s3'>%s4</font> и <font color='%s5'>%s6</font> в испытании <font color='%s1'>【%s2】</font> всего за 0.03 секунды. Попробуй сам!,
bless_10188a_msg,我在 <font color='%s1'>%s2</font> 中开出了 <font color='%s3'>%s4</font> ，获得了福佑 <font color='%s5'>%s6</font> 和 <font color='%s7'>%s8</font>,I received <font color='%s3'>%s4</font> from <font color='%s1'>%s2</font> and obtained blessings <font color='%s5'>%s6</font> and <font color='%s7'>%s8</font>,Я получил <font color='%s3'>%s4</font> из <font color='%s1'>%s2</font> и приобрёл благословения <font color='%s5'>%s6</font> и <font color='%s7'>%s8</font>,
bless_10173_msg,我获得了福佑 <font color='%s1'>%s2</font> ！在聊天栏输入"hao"把力量借给我吧！,I have received blessing <font color='%s1'>%s2</font>! Please type "hao" in the chat bar to support me!,Я получил благословение <font color='%s1'>%s2</font>! Быстрее введите "hao" в чат-бар чтобы поддержать меня!,
bless_10177_msg,复活吧，我的爱人，<font color='%s1'>%s2</font>！,"Arise, my friend, <font color='%s1'>%s2</font>!","Воскресни, мой друг, <font color='%s1'>%s2</font>!",
player_afk_kicked,玩家 <font color='#FF0000'>%s1</font> 因挂机被系统判定为逃跑并踢出游戏,Player <font color='#FF0000'>%s1</font> has been judged as deserter for being AFK and kicked from the game,Игрок <font color='#FF0000'>%s1</font> был признан дезертиром за неактивность и исключен из игры,
player_bp_cheat_kicked,玩家 <font color='#FF0000'>%s1</font> 因作弊被系统判定为逃跑并踢出游戏,Player <font color='#FF0000'>%s1</font> has been judged as deserter for cheating and kicked from the game,Игрок <font color='#FF0000'>%s1</font> был признан дезертиром за мошенничество и исключен из игры,
bless_10185_reward_dmg,我通过 <font color='%s1'>%s2</font> 获得了 <font color='#ffffff'>%s3%伤害输出</font>,I obtained <font color='#ffffff'>%s3% Damage Output</font> through <font color='%s1'>%s2</font>,Я получил <font color='#ffffff'>%s3% урона</font> через <font color='%s1'>%s2</font>,
bless_10185_reward_gold,我通过 <font color='%s1'>%s2</font> 获得了 <font color='#ffffff'>%s3金币</font>,I obtained <font color='#ffffff'>%s3 Gold</font> through <font color='%s1'>%s2</font>,Я получил <font color='#ffffff'>%s3 золота</font> через <font color='%s1'>%s2</font>,
bless_10185_reward_hp_pct,我通过 <font color='%s1'>%s2</font> 获得了 <font color='#ffffff'>%s3%最大生命值,</font>,I obtained <font color='#ffffff'>%s3% Max HP</font> through <font color='%s1'>%s2</font>,Я получил <font color='#ffffff'>%s3% макс. здоровья</font> через <font color='%s1'>%s2</font>,
bless_10185_reward_bless,我通过 <font color='%s1'>%s2</font> 获得了 <font color='#ffffff'>橙色福佑</font> <font color='%s3'>%s4</font>,I obtained <font color='#ffffff'>Orange Blessing</font> <font color='%s3'>%s4</font> through <font color='%s1'>%s2</font>,Я получил <font color='#ffffff'>Оранжевое благословение</font> <font color='%s3'>%s4</font> через <font color='%s1'>%s2</font>,
bless_100273a_msg,我通过 <font color='%s1'>%s2</font> 获得了 <font color='%s3'>%s4</font>,I obtained blessing <font color='%s3'>%s4</font> through <font color='%s1'>%s2</font>,Я получил благословение <font color='%s3'>%s4</font> через <font color='%s1'>%s2</font>,
bless_10200_msg,玩家 <font color='%s1'>%s2</font> 将 玩家 <font color='%s3'>%s4</font> 指定为恩人！,Player <font color='%s1'>%s2</font> has designated player <font color='%s3'>%s4</font> as Nemesis!,Игрок <font color='%s1'>%s2</font> назначил игрока <font color='%s3'>%s4</font> своим Заклятым врагом!
bless_10213_msg,"玩家 <font color='%s1'>%s2</font> 通过福佑 <font color='%s3'>%s4</font> 获得了 <font color='#b518ff'>%s5</font> 个紫色福佑礼盒和 <font color='#ff910a'>%s6</font> 个橙色福佑礼盒，并分享给了玩家 <font color='%s7'>%s8</font> <font color='#b518ff'>%s9</font> 个紫色福佑礼盒和 <font color='#ff910a'>%s10</font> 个橙色福佑礼盒","Player <font color='%s1'>%s2</font> obtained <font color='#b518ff'>%s5</font> purple and <font color='#ff910a'>%s6</font> orange Blessing Boxes through blessing <font color='%s3'>%s4</font> and shared with player <font color='%s7'>%s8</font> <font color='#b518ff'>%s9</font> purple and <font color='#ff910a'>%s10</font> orange Blessing Boxes","Игрок <font color='%s1'>%s2</font> получил <font color='#b518ff'>%s5</font> фиолетовых и <font color='#ff910a'>%s6</font> оранжевых коробок благословений через благословение <font color='%s3'>%s4</font> и поделился с игроком <font color='%s7'>%s8</font> <font color='#b518ff'>%s9</font> фиолетовыми и <font color='#ff910a'>%s10</font> оранжевыми коробками благословений"
bless_10213_msg_self,"玩家 <font color='%s1'>%s2</font> 通过福佑 <font color='%s3'>%s4</font> 获得了 <font color='#b518ff'>%s5</font> 个紫色福佑礼盒和 <font color='#ff910a'>%s6</font> 个橙色福佑礼盒","Player <font color='%s1'>%s2</font> obtained <font color='#b518ff'>%s5</font> purple and <font color='#ff910a'>%s6</font> orange Blessing Boxes through blessing <font color='%s3'>%s4</font>","Игрок <font color='%s1'>%s2</font> получил <font color='#b518ff'>%s5</font> фиолетовых и <font color='#ff910a'>%s6</font> оранжевых коробок благословений через благословение <font color='%s3'>%s4</font>"
random_event_1009_msg,我在 <font color='#ffffff'>%s1</font> 事件中获得了福佑 <font color='%s2'>%s3</font>,I obtained blessing <font color='%s2'>%s3</font> in the <font color='#ffffff'>%s1</font> event,Я получил благословение <font color='%s2'>%s3</font> в событии <font color='#ffffff'>%s1</font>,
random_event_1010_msg,<font color='#fbff00'>赏金神符</font> 已在地图随机位置生成！,Bounty Runes have spawned at random locations on the map!,<font color='#fbff00'>Бонусные руны</font> появились на случайных местах на карте!,
random_event_1013_msg,我在 <font color='#ffffff'>%s1</font> 事件中获得了福佑 <font color='%s2'>%s3</font>,I obtained blessing <font color='%s2'>%s3</font> in the <font color='#ffffff'>%s1</font> event,Я получил благословение <font color='%s2'>%s3</font> в событии <font color='#ffffff'>%s1</font>,
