--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build 0b85d8d 
  ~ auto-generated — do not edit
]]


Tokens,Schinese,English,Russian
bless_tag_b_trg,触发类福佑,Trigger Blessing,Триггерное благословение
bless_tag_melee,仅限近战,Melee Only,Только для ближнего боя
bless_tag_range,仅限远程,Ranged Only,Только для дальнего боя
bless_tag_uni_glb,全局唯一,Global Unique,Глобально уникальный
bless_tag_uni_team,队伍唯一,Team Unique,Уникальный для команды
bless_tag_uni,仅限全才英雄,Universal Heroes Only,Только для универсальных героев
bless_tag_str,仅限力量英雄,Strength Heroes Only,Только для героев силы
bless_tag_int,仅限智力英雄,Intelligence Heroes Only,Только для героев интеллекта
bless_tag_agi,仅限敏捷英雄,Agility Heroes Only,Только для героев ловкости
bless_tag_r1,仅限坦克,Tank Only,Только для танков,
bless_tag_w2,仅限物理核心,Physical Carry Only,Только для физ. керри,
bless_tag_c3,仅限刺客,Assassin Only,Только для убийц,
bless_tag_f4,仅限法术核心,Magic Carry Only,Только для маг. керри,
bless_tag_1r,前排,Tront,Фронт
bless_tag_2w,核心,Core,Ядро
bless_tag_3c,先手,Assassin,Убийца
bless_tag_4f,法师,Mage,Маг
bless_tag_only_draw_on_level,仅能通过抽取获得,Only obtainable through draws,Можно получить только через выбор
bless_tag_rnd,随机类福佑,Random Blessing,Случайное благословение
