--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build 0b85d8d 
  ~ auto-generated — do not edit
]]


Tokens,Schinese,English,Russian
dota_hud_error_cant_cast_on_considered_hero,禁止对目标英雄施法,Cannot cast on target hero,Нельзя применять на героя-цель
mid_mode_can_not_purchase,离开泉水后禁止购买物品,Purchasing items is prohibited after leaving the fountain,Запрещено покупать предметы после выхода из фонтана
can_not_cast_ultimate_ability,无法使用终极技能！,Cannot use Ultimate!,Нельзя использовать ульт!
forbid_choose_bless,离开泉水后无法选择福佑,Cannot select blessing after leaving the fountain,Нельзя выбрать благословение после выхода из фонтана
forbid_recraft_bless,离开泉水后无法重铸福佑,Cannot reforge blessing after leaving the fountain,Нельзя перековать благословение после выхода из фонтана
cannot_recraft_bless,该福佑无法重铸,This blessing cannot be reforged,Это благословение нельзя перековать
error_tip_test_error_tip,测试错误,Test Error,Ошибка теста
cant_reroll_bless,道具不足，不能重刷新福佑,Insufficient items to reroll blessing,"Недостаточно предметов, чтобы обновить благословение"
cant_recraft_bless,道具不足，不能重铸福佑,Insufficient items to reforge blessing,"Недостаточно предметов, чтобы перековать благословение"
cant_refresh_hero,道具不足，不能刷新英雄,Insufficient items to refresh heroes,"Недостаточно предметов, чтобы обновить героев"
please_select_hero,请先选择英雄,Please select a hero first,Сначала выберите героя
max_refresh_count,已达到最大刷新次数,Maximum number of refreshes reached,Достигнуто максимальное число обновлений
cant_select_hero,无法从英雄池中选择英雄,Cannot select hero from the hero pool,Нельзя выбрать героя из пула героев
hero_not_in_pool,英雄不在总英雄池中,Hero is not in the general hero pool,Героя нет в общем пуле героев
already_selected_hero,已选择英雄，无法刷新,"Hero already selected, cannot refresh","Герой уже выбран, нельзя обновить"
invalid_index,索引无效,Invalid index,Неверный индекс
player_hero_pool_size_incorrect,玩家英雄池大小不正确,Incorrect player hero pool size,Некорректный размер пула героев игрока
team_hero_pool_empty,队伍英雄池为空,Team hero pool is empty,Пул героев команды пуст
total_hero_pool_empty,总英雄池为空,General hero pool is empty,Общий пул героев пуст
hero_already_selected,该英雄已被其他玩家选择,This hero has already been selected by another player,Этот герой уже выбран другим игроком
wait_http_return,等待接口返回数据中,Waiting for data from interface...,Ожидание данных от интерфейса...
click_too_fast,点击过快,Click too fast,Слишком частые нажатия
not_in_bp_phase,当前不在选人阶段,Not in hero selection phase,Сейчас не фаза выбора героя
activation_code_has_activate,已经使用过此激活码！,This activation code has already been used!,Этот код активации уже использован!
activation_code_not_available,激活码不可用！,Activation code is invalid!,Код активации недействителен!
cannot_recraft_bless_value_max,无法重铸，数值已满,"Cannot reforge, value is maxed","Нельзя перековать, значение максимально"
item_already_used,已经使用过此物品了，无法再次使用！,This item has already been used, и этот предмет уже использован!
bless_10079_not_kill_recently,输入的太慢了，宝贝儿~,"Too slow, sweetie~","Слишком медленно, дорогой~"
has_chosing_bless_pool,当前有正在选择中的福佑！,There is a currently selecting blessing pool!,Сейчас выбирается благословение!
team_shuffle_result_invalid,黑店分布为 442 / 433 / 333 或 >5人黑，判定为无效局,Invalid match: party distribution 442/433/333 or party size >5,Недействительный матч: распределение группы 442/433/333 или размер группы >5
hero_is_dead,英雄死亡，请稍后再试！,"Hero is dead, please try again later!","Герой мёртв, попробуйте позже!"