--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English,SChinese
addon_game_mode,YOUR ADDON NAME,你的游戏名
dota_tooltip_ability_ak_hero_dash,,冲刺
dota_tooltip_ability_ak_hero_dash_Description,,"点地面冲刺固定600距离,冲刺过程中减伤."
dota_tooltip_ability_ak_hero_dash_dash_distance,,冲刺距离
dota_tooltip_ability_ak_hero_dash_dash_duration,,冲刺时间
dota_tooltip_ability_ak_hero_heal,,应急治疗
dota_tooltip_ability_ak_hero_heal_Description,,"恢复%heal_missing_pct%%%已损失生命值,并在6秒内持续恢复生命。"
dota_tooltip_ability_ak_hero_heal_heal_missing_pct,,%治疗比例
dota_tooltip_ability_minigame_avatar_charge,,蓄力跳跃
dota_tooltip_ability_minigame_avatar_charge_Description,,持续施法进行蓄力，持续结束或被打断时按蓄力进度跳跃。
dota_tooltip_ability_minigame_avatar_stop_charge,,停止跳跃
dota_tooltip_ability_minigame_avatar_stop_charge_Description,,打断当前蓄力跳跃，并按当前蓄力进度触发跳跃。
dota_tooltip_ability_marci_001,,斗志连拳
dota_tooltip_ability_marci_001_Description,,对前方%radius%范围扇形区域连续攻击%hit_count%次，每次造成%attack_damage_multiplier%%%攻击力物理伤害并轻微击退；最后一击眩晕%stun_duration%秒。
dota_tooltip_ability_marci_001_radius,,范围
dota_tooltip_ability_marci_001_hit_count,,连击次数
dota_tooltip_ability_marci_001_hit_interval,,连击间隔
dota_tooltip_ability_marci_001_attack_damage_multiplier,,攻击伤害
dota_tooltip_ability_marci_001_knockback_distance,,击退距离
dota_tooltip_ability_marci_001_knockback_duration,,击退时间
dota_tooltip_ability_marci_001_stun_duration,,眩晕时间
dota_tooltip_ability_marci_004,,斗志冲刺
dota_tooltip_ability_marci_004_Description,,"最远%dash_distance%距离冲刺,期间获得高额伤害减免。"
dota_tooltip_ability_marci_004_dash_distance,,冲刺距离
dota_tooltip_ability_marci_004_dash_duration,,冲刺时间
dota_tooltip_ability_ak_hero_blank,,空白槽位
dota_tooltip_ability_ak_hero_blank_Description,,占位技能，用于职业技能槽位切换为空白。
dota_tooltip_ability_pet_cat_visual,,猫咪外观
dota_tooltip_ability_pet_cat_visual_Description,,为猫咪宠物组合固定头部和尾巴。
dota_tooltip_ability_ak_hero_blank_q,,未解锁
dota_tooltip_ability_ak_hero_blank_q_Description,,未解锁的Q技能。
dota_tooltip_ability_ak_hero_blank_w,,未解锁
dota_tooltip_ability_ak_hero_blank_w_Description,,未解锁的W技能。
dota_tooltip_ability_ak_hero_blank_e,,未解锁
dota_tooltip_ability_ak_hero_blank_e_Description,,未解锁的E技能。
