--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Vietnamese
DOTA_Tooltip_ability_item_0100_bonus_all_stats,+Tất cả chỉ số
DOTA_Tooltip_ability_item_0101_bonus_attack_damage,+Sát thương tấn công
DOTA_Tooltip_ability_item_0101_attack_speed,+Tốc độ tấn công
DOTA_Tooltip_ability_item_0103_bonus_health,+Máu
DOTA_Tooltip_ability_item_0103_bonus_armor,+Giáp
DOTA_Tooltip_ability_item_0103_extra_backpack_slot_limit,+Ô ba lô phụ
DOTA_Tooltip_ability_item_0104_bonus_health,+Máu
DOTA_Tooltip_ability_item_0104_bonus_armor,+Giáp
DOTA_Tooltip_ability_item_0104_extra_backpack_slot_limit,+Ô ba lô phụ
DOTA_Tooltip_ability_item_0105_base_movespeed,+Tốc độ di chuyển cơ bản
DOTA_Tooltip_ability_item_0105_attack_speed,+Tốc độ tấn công
DOTA_Tooltip_ability_item_0106_bonus_attack_damage,+Sát thương tấn công
DOTA_Tooltip_ability_item_0106_bonus_strength,+Sức mạnh
DOTA_Tooltip_ability_item_0106_attack_speed,+Tốc độ tấn công
DOTA_Tooltip_ability_item_0107_bonus_health,+Máu
DOTA_Tooltip_ability_item_0107_bonus_armor,+Giáp
DOTA_Tooltip_ability_item_0107_health_regen,+Hồi máu
DOTA_Tooltip_ability_item_0107_extra_backpack_slot_limit,+Ô ba lô phụ
DOTA_Tooltip_ability_item_0108_health_regen,+Hồi máu
DOTA_Tooltip_ability_item_0109_extra_backpack_slot_limit,+Ô ba lô phụ
DOTA_Tooltip_ability_item_0109_bonus_all_stats,+Tất cả chỉ số
DOTA_Tooltip_ability_item_0110_bonus_mana,+Thêm mana
DOTA_Tooltip_ability_item_0110_mana_regen,+Hồi mana
DOTA_Tooltip_ability_item_0111_bonus_agility,+Nhanh nhẹn
DOTA_Tooltip_ability_item_0111_evasion_pct,%+Né tránh
DOTA_Tooltip_ability_item_0112_bonus_strength,+Sức mạnh
DOTA_Tooltip_ability_item_0112_bonus_health,+Máu
DOTA_Tooltip_ability_item_0112_extra_backpack_slot_limit,+Thêm ô ba lô
DOTA_Tooltip_ability_item_0113_base_movespeed,+Tốc độ di chuyển cơ bản
DOTA_Tooltip_ability_item_0113_attack_speed,+Tốc độ tấn công
DOTA_Tooltip_ability_item_0113_bonus_armor,+Giáp
DOTA_Tooltip_ability_item_0114_bonus_attack_damage,+Sát thương tấn công
DOTA_Tooltip_ability_item_0115_evasion_pct,%+Né tránh
DOTA_Tooltip_ability_item_0115_base_movespeed,+Tốc độ di chuyển cơ bản
DOTA_Tooltip_ability_item_0116_bonus_attack_damage,+Sát thương tấn công
DOTA_Tooltip_ability_item_0116_attack_speed,+Tốc độ tấn công
DOTA_Tooltip_ability_item_0117_bonus_attack_damage,+Sát thương tấn công
DOTA_Tooltip_ability_item_0117_attack_speed,+Tốc độ tấn công
DOTA_Tooltip_ability_item_0118_mana_regen,+Hồi mana
DOTA_Tooltip_ability_item_0119_bonus_attack_damage,+Sát thương tấn công
DOTA_Tooltip_ability_item_0119_attack_speed,+ Tốc độ tấn công
DOTA_Tooltip_ability_item_0120_bonus_armor,+ Giáp
