--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English
DOTA_Tooltip_modifier_axe_002_passive,Heavy Strike
DOTA_Tooltip_modifier_axe_002_passive_Description,Increases attack damage by 5%% of max health.
DOTA_Tooltip_modifier_axe_005_self_buff,Armor Bonus
DOTA_Tooltip_modifier_axe_005_self_buff_Description,Increases armor.
DOTA_Tooltip_modifier_axe_006_berserk,Berserk Fury
DOTA_Tooltip_modifier_axe_006_berserk_Description,"Grants immunity to most debuffs and greatly increases status resistance; increases max health and critical strike chance, but increases damage taken."
DOTA_Tooltip_modifier_axe_007_berserkers_blood,Berserker's Blood
DOTA_Tooltip_modifier_axe_007_berserkers_blood_Description,"The lower your current health, the higher your attack speed and health regeneration."
DOTA_Tooltip_modifier_axe_008_blood_oath,Blood Oath
DOTA_Tooltip_modifier_axe_008_blood_oath_Description,"Attack speed increased; each attack consumes current health and adds physical damage, with health kept at a minimum of 1 point."
DOTA_Tooltip_modifier_axe_009_red_mist_supply,Red Mist Supply
DOTA_Tooltip_modifier_axe_009_red_mist_supply_Description,"Each stack increases health regeneration by a percentage of max health. Multiple stacks can accumulate, and each stack has its own independent duration."
DOTA_Tooltip_modifier_axe_010_glory_guard,Glory Guard
DOTA_Tooltip_modifier_axe_010_glory_guard_Description,Each point of armor grants 10 bonus maximum health.
DOTA_Tooltip_modifier_drow_004_extra_arrow,Freezing Arrow
DOTA_Tooltip_modifier_drow_004_extra_arrow_Description,Attacks fire a freezing arrow.
DOTA_Tooltip_modifier_lina_001_dragon_soul,Dragon Soul
DOTA_Tooltip_modifier_lina_001_dragon_soul_Description,Each stack increases Dragon Slave damage. Recasting refreshes duration.
DOTA_Tooltip_modifier_lina_003_fiery_soul_effect,Slow Burn
DOTA_Tooltip_modifier_lina_003_fiery_soul_effect_Description,Stacks decay over time. Each stack increases damage dealt.
DOTA_Tooltip_modifier_lina_011_fire_curse,Fire Curse Mark
DOTA_Tooltip_modifier_lina_011_fire_curse_Description,"Each stack increases spell damage taken by the target, and decays by 1 stack per second."
DOTA_Tooltip_modifier_lina_012_reheat_ring,Reheat Ring
DOTA_Tooltip_modifier_lina_012_reheat_ring_Description,"Gains temporary max shield, and converts absorbed damage into Reheat value."
DOTA_Tooltip_modifier_pa_003_mark_attacker,Mark Burst
DOTA_Tooltip_modifier_pa_003_mark_attacker_Description,"On attack hit, adds a stackable mark to the target."
DOTA_Tooltip_modifier_pa_003_mark_debuff,Mark
DOTA_Tooltip_modifier_pa_003_mark_debuff_Description,"Upon reaching max stacks, triggers a burst of damage and clears the mark."
DOTA_Tooltip_modifier_pa_005_insight,Insight
DOTA_Tooltip_modifier_pa_005_insight_Description,Attacks stack agility. Decays 1 stack per second.
DOTA_Tooltip_modifier_pa_007_blur,Phantom Blur
DOTA_Tooltip_modifier_pa_007_blur_Description,"Phantom Assassin gains Blur state. After a basic attack hits an enemy, performs an additional attack."
DOTA_Tooltip_modifier_pa_008_bing_shi,War Momentum
DOTA_Tooltip_modifier_pa_008_bing_shi_Description,"On next basic attack hit, consumes all War Momentum to deal bonus magic damage equal to the amount consumed."
DOTA_Tooltip_modifier_pa_008_gem_overheal_pool,Blood Reserve
