--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Russian
DOTA_Tooltip_modifier_axe_002_passive,Тяжелый удар
DOTA_Tooltip_modifier_axe_002_passive_Description,Увеличивает атаку на 5%% от максимального здоровья.
DOTA_Tooltip_modifier_axe_005_self_buff,Бонус к броне
DOTA_Tooltip_modifier_axe_005_self_buff_Description,Увеличивает броню
DOTA_Tooltip_modifier_axe_006_berserk,Ярость берсерка
DOTA_Tooltip_modifier_axe_006_berserk_Description,"Дает иммунитет к большинству негативных эффектов и значительно повышает сопротивление к ним; увеличивает максимальное здоровье и шанс критического удара, но увеличивает получаемый урон."
DOTA_Tooltip_modifier_axe_007_berserkers_blood,Кровь берсерка
DOTA_Tooltip_modifier_axe_007_berserkers_blood_Description,"Чем ниже текущее здоровье, тем выше скорость атаки и восстановление здоровья."
DOTA_Tooltip_modifier_axe_008_blood_oath,Кровавая клятва
DOTA_Tooltip_modifier_axe_008_blood_oath_Description,"Скорость атаки повышена; каждая атака тратит текущее здоровье и наносит дополнительный физический урон, здоровье может опускаться до 1."
DOTA_Tooltip_modifier_axe_009_red_mist_supply,Припасы Красного Тумана
DOTA_Tooltip_modifier_axe_009_red_mist_supply_Description,"Каждый заряд увеличивает восстановление здоровья на определенный процент от максимального здоровья. Несколько зарядов суммируются, время действия каждого заряда отсчитывается независимо."
DOTA_Tooltip_modifier_axe_010_glory_guard,Стража Славы
DOTA_Tooltip_modifier_axe_010_glory_guard_Description,Каждая единица брони увеличивает максимальное здоровье на 10.
DOTA_Tooltip_modifier_drow_004_extra_arrow,Ледяная стрела
DOTA_Tooltip_modifier_drow_004_extra_arrow_Description,Атаки выпускают ледяные стрелы
DOTA_Tooltip_modifier_lina_001_dragon_soul,Душа дракона
DOTA_Tooltip_modifier_lina_001_dragon_soul_Description,"Каждый слой увеличивает урон Драконьего удара, повторное применение обновляет длительность."
DOTA_Tooltip_modifier_lina_003_fiery_soul_effect,Разогрев
DOTA_Tooltip_modifier_lina_003_fiery_soul_effect_Description,"Слои исчезают со временем, каждый слой увеличивает наносимый урон."
DOTA_Tooltip_modifier_lina_011_fire_curse,Печать огненного проклятия
DOTA_Tooltip_modifier_lina_011_fire_curse_Description,"Каждый слой увеличивает получаемый целью урон от способностей, каждый теряется 1 слой в секунду."
DOTA_Tooltip_modifier_lina_012_reheat_ring,Кольцо повторного нагрева
DOTA_Tooltip_modifier_lina_012_reheat_ring_Description,"Дает временный максимальный щит, а поглощенный щитом урон преобразуется в очки отпуска."
DOTA_Tooltip_modifier_lina_013_light_strike_stack,Остаток Светового удара
DOTA_Tooltip_modifier_lina_013_light_strike_stack_Description,Каждый слой увеличивает скорость передвижения.
DOTA_Tooltip_modifier_lina_013_light_strike_overload,Состояние божественности
DOTA_Tooltip_modifier_lina_013_light_strike_overload_Description,"Увеличивает урон, уменьшает получаемый урон, а также увеличивает скорость атаки и передвижения."
DOTA_Tooltip_modifier_pa_003_mark_attacker,Взрыв метки
DOTA_Tooltip_modifier_pa_003_mark_attacker_Description,При попадании атаки накладывает на цель накапливаемую метку
DOTA_Tooltip_modifier_pa_003_mark_debuff,Метка
