--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English
ak_ruleset_s2__DOTA_Tooltip_ability_item_0102,Shatter Vest
ak_ruleset_s2__DOTA_Tooltip_ability_item_0102_Description,"<h1>Passive: Shatter</h1>Every time you are attacked, reflect physical damage equal to %ability_value_item_0102_damage%%% of armor value. This is S2"
ak_ruleset_s2__DOTA_Tooltip_ability_item_G301,Seal: Sixfold Wind-Fire Slash
ak_ruleset_s2__DOTA_Tooltip_ability_item_G301_Description,"<h1>Dragon Slash: Sixfold Wind-Fire Slash</h1>Dragon Slash becomes 6 slashes, and units hit repeatedly take 60% damage."
ak_ruleset_s2__DOTA_Tooltip_ability_item_P006,Defense Potion
ak_ruleset_s2__DOTA_Tooltip_ability_item_P006_Description,<h1>Use: Harden Armor</h1>Increases armor by %potion_bonus_armor% points for %ability_duration% seconds.
ak_ruleset_s2__DOTA_Tooltip_ability_item_P006_Lore,Up to 5 potions can be active simultaneously.
ak_ruleset_s2__dota_tooltip_ability_marci_004,Fighting Spirit Dash
ak_ruleset_s2__dota_tooltip_ability_marci_004_dash_distance,Dash Distance
ak_ruleset_s2__dota_tooltip_ability_marci_004_dash_duration,Dash Duration
ak_ruleset_s2__dota_tooltip_ability_marci_004_Description,"Dash up to %dash_distance% distance, gaining high damage reduction during the dash."
ak_ruleset_s2__npc_dota_hero_axe_tier_2_description,Enhances counterattack ability and increases resilience.
ak_ruleset_s2__npc_dota_hero_axe_tier_2_name,Elite Guard
ak_ruleset_s2__talent_T000,Health
ak_ruleset_s2__talent_T000_dec,+100 Health