--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Russian
ak_ruleset_s2__DOTA_Tooltip_ability_item_0102,Осколочный жилет
ak_ruleset_s2__DOTA_Tooltip_ability_item_0102_Description,"<h1>Пассивное: Осколки</h1>При получении атаки отражает физический урон, равный %ability_value_item_0102_damage%%% от показателя брони. Это S2"
ak_ruleset_s2__DOTA_Tooltip_ability_item_G301,Печать: Шесть Путей Ветра и Огня
ak_ruleset_s2__DOTA_Tooltip_ability_item_P006,Защитное зелье
ak_ruleset_s2__DOTA_Tooltip_ability_item_P006_Description,<h1>Использование: Укрепление брони</h1>Увеличивает броню на %potion_bonus_armor% ед. на %ability_duration% сек.
ak_ruleset_s2__DOTA_Tooltip_ability_item_P006_Lore,Одновременно можно использовать не более 5 видов зелий.
ak_ruleset_s2__dota_tooltip_ability_marci_004,Рывок боевого духа
ak_ruleset_s2__dota_tooltip_ability_marci_004_dash_distance,Дальность рывка
ak_ruleset_s2__dota_tooltip_ability_marci_004_dash_duration,Длительность рывка
ak_ruleset_s2__dota_tooltip_ability_marci_004_Description,"Совершает рывок на расстояние до %dash_distance%, во время которого получает высокое снижение урона."
ak_ruleset_s2__npc_dota_hero_axe_tier_2_description,Усиливает контратаку и делает героя выносливее.
ak_ruleset_s2__npc_dota_hero_axe_tier_2_name,Элитный страж
ak_ruleset_s2__talent_T000,Здоровье
ak_ruleset_s2__talent_T000_dec,Здоровье +100
ak_ruleset_s2__DOTA_Tooltip_ability_item_G301_Description,"<h1>Драконий разрез: Шесть огненно-ветровых клинков</h1>Драконий разрез превращается в 6 ударов, при повторном попадании по существу урон составляет 60%."