--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Vietnamese
ak_ruleset_s2__DOTA_Tooltip_ability_item_0102,Áo Vỡ Vụn
ak_ruleset_s2__DOTA_Tooltip_ability_item_0102_Description,"<h1>Nội tại: Vỡ Vụn</h1>Mỗi khi chịu tấn công, phản sát thương vật lý bằng %ability_value_item_0102_damage%%% giá trị giáp. Đây là S2"
ak_ruleset_s2__DOTA_Tooltip_ability_item_G301,Phù Ấn: Lục Đạo Phong Hỏa Trảm
ak_ruleset_s2__DOTA_Tooltip_ability_item_G301_Description,"<h1>Long Phá Trảm: Lục Đạo Phong Hỏa Trảm</h1>Long Phá Trảm biến thành 6 luồng, đơn vị trúng đòn nhiều lần chịu 60% sát thương."
ak_ruleset_s2__DOTA_Tooltip_ability_item_P006,Thuốc Phòng Thủ
ak_ruleset_s2__DOTA_Tooltip_ability_item_P006_Description,<h1>Sử dụng: Củng Cố Giáp</h1>Tăng %potion_bonus_armor% giáp trong %ability_duration% giây.
ak_ruleset_s2__DOTA_Tooltip_ability_item_P006_Lore,Có thể dùng tối đa 5 loại thuốc cùng lúc.
ak_ruleset_s2__dota_tooltip_ability_marci_004,Đột Kích Chiến Ý
ak_ruleset_s2__dota_tooltip_ability_marci_004_dash_distance,Khoảng cách lao tới
ak_ruleset_s2__dota_tooltip_ability_marci_004_dash_duration,Thời gian lao tới
ak_ruleset_s2__dota_tooltip_ability_marci_004_Description,"Lao tới xa tối đa %dash_distance%, nhận giảm sát thương lớn trong lúc lao."
ak_ruleset_s2__npc_dota_hero_axe_tier_2_description,"Tăng cường khả năng phản kích, trở nên kiên cường hơn."
ak_ruleset_s2__npc_dota_hero_axe_tier_2_name,Vệ Binh Tinh Nhuệ
ak_ruleset_s2__talent_T000,Máu
ak_ruleset_s2__talent_T000_dec,Máu +100