--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Vietnamese
addon_game_name,Kỷ nguyên vũ khí 5
DOTA_Retrue_Label,Đang rút lui...
DOTA_Tooltip_modifier_env_cold,Tê cóng
DOTA_Tooltip_modifier_env_cold_Description,"Trong môi trường lạnh, cứ mỗi 3 giây chịu 1 lớp tê cóng, mỗi lớp làm chậm 2%%, khi đạt số lớp tối đa, mỗi giây chịu một lượng sát thương nhỏ."
DOTA_Tooltip_modifier_env_warmth,Ấm áp
DOTA_Tooltip_modifier_env_warmth_Description,"Ở trạng thái ấm áp, máu hồi phục chậm."
AK_Attr_view_distance,Tầm nhìn anh hùng
AK_Attr_extra_backpack_slot_limit,Ô balo
AK_Attr_item_slot_unlock_count,Số ô vật phẩm đã mở khóa
AK_Attr_base_mana,Mana cơ bản
AK_Attr_base_mana_pct,% Mana
AK_Attr_bonus_mana,Mana cộng thêm
AK_Attr_mana_regen,Hồi mana
AK_Attr_mana_regen_pct,% Hồi mana
AK_Attr_base_mana_regen_add,Hồi mana cơ bản
AK_Attr_base_attack_damage,Sát thương cơ bản
AK_Attr_bonus_attack_damage,Sát thương tấn công
AK_Attr_base_attack_damage_percent,% sát thương tấn công
AK_Attr_all_attack_damage_percent,% sát thương toàn cục
AK_Attr_attack_speed,Tốc độ tấn công
AK_Attr_reduce_base_attack_time,Giảm thời gian tấn công cơ bản
AK_Attr_base_attack_range,Tầm đánh cơ bản
AK_Attr_bonus_attack_range,Tầm tấn công
AK_Attr_crit_chance_pct,% tỉ lệ chí mạng
AK_Attr_crit_damage_pct,% sát thương chí mạng
AK_Attr_ability_crit_chance_pct,% chí mạng kỹ năng
AK_Attr_physical_crit_chance_pct,% chí mạng vật lý
AK_Attr_magical_crit_chance_pct,% chí mạng phép thuật
AK_Attr_omni_crit_chance_pct,% chí mạng toàn cục
AK_Attr_blind_chance_pct,% tỉ lệ mù
AK_Attr_spell_amplify_pct,% sát thương kỹ năng
AK_Attr_normal_attack_damage_amp_pct,% sát thương đòn đánh thường
AK_Attr_outgoing_damage_pct,% cộng thêm sát thương
AK_Attr_fixed_damage_add,Sát thương cố định
AK_Attr_attack_count,Số đòn đánh xa
AK_Attr_extra_damage_pct_1,% sát thương thêm lên quái thường
AK_Attr_extra_damage_pct_2,% sát thương thêm lên quái tinh anh
AK_Attr_extra_damage_pct_3,% sát thương thêm lên BOSS
AK_Attr_extra_damage_pct_4,% sát thương thêm lên thủ lĩnh
AK_Attr_physical_damage_add_pct,% sát thương vật lý
AK_Attr_magical_damage_add_pct,% sát thương phép
AK_Attr_base_strength,Sức mạnh
AK_Attr_bonus_strength,Sức mạnh
AK_Attr_base_agility,Nhanh nhẹn
AK_Attr_bonus_agility,Nhanh nhẹn
AK_Attr_base_intelligence,Trí tuệ
AK_Attr_bonus_intelligence,Trí tuệ
AK_Attr_strength_growth,Tăng trưởng Sức mạnh
AK_Attr_agility_growth,Tăng trưởng Nhanh nhẹn
AK_Attr_intelligence_growth,Tăng trưởng Trí tuệ
AK_Attr_base_health,Máu
AK_Attr_base_health_pct,% Máu
AK_Attr_bonus_health,Máu
AK_Attr_health_regen,Hồi máu
AK_Attr_block,Chặn đòn
AK_Attr_incoming_damage_decrease_pct,%Giảm sát thương
AK_Attr_incoming_damage_increase_pct,%Tăng sát thương nhận vào
AK_Attr_damage_reduction_pct,%Giảm sát thương
AK_Attr_base_armor,Giáp
AK_Attr_base_armor_pct,%Giáp cơ bản
AK_Attr_bonus_armor,Giáp
AK_Attr_base_magic_resistance,%Kháng phép
AK_Attr_base_stun_resistance,Kháng choáng
AK_Attr_base_movespeed,Tốc độ di chuyển cơ bản
AK_Attr_bonus_movespeed,Tốc độ di chuyển
AK_Attr_bonus_movespeed_pct,%Tốc độ di chuyển
AK_Attr_incoming_physical_damage_increase_pct,%Tăng sát thương vật lý nhận vào
AK_Attr_incoming_magical_damage_increase_pct,%Tăng sát thương phép nhận vào
AK_Attr_evasion_pct,%Né tránh
AK_Attr_cooldown_reduction_pct,%Giảm hồi chiêu
AK_Attr_attack_lifesteal_pct,%Hút máu tấn công
AK_Attr_physical_lifesteal_pct,%Hút máu vật lý
AK_Attr_spell_lifesteal_pct,%Hút máu kỹ năng
AK_Attr_magical_lifesteal_pct,%Hút máu phép
AK_Attr_omni_lifesteal_pct,%Hút máu toàn diện
AK_Attr_bonus_all_stats,Tất cả chỉ số
AK_Attr_base_all_stats_pct,% Tăng tất cả chỉ số
AK_Attr_base_energy_shield,Giá trị lá chắn
AK_Attr_bonus_energy_shield,Giá trị lá chắn
AK_Attr_poison_outgoing_damage_pct,% Sát thương độc
AK_Attr_damage_resistance_pct,% Kháng sát thương
AK_Attr_item_drop_luck,Giá trị may mắn
AK_Attr_item_drop_luck_pct,% Giá trị may mắn
AK_Attr_dot_outgoing_damage_pct,% Sát thương liên tục
AK_Attr_bleed_outgoing_damage_pct,% Sát thương chảy máu
AK_Attr_ability_item_0102_damage,% Sát thương phản đòn giáp
AK_Attr_ability_item_0308_hp_buff,Máu mỗi lớp
AK_Quality_1,Thường
AK_Quality_2,Tinh xảo
AK_Quality_3,Hiếm
AK_Quality_4,Sử thi
AK_Quality_5,Huyền thoại
AK_Quality_6,Thần thoại
AK_Quality_7,Hỗn mang
AK_Quality_8,Không rõ
AK_Quality_9,Không rõ
