--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English
dota_tooltip_ability_ak_hero_dash,Dash
dota_tooltip_ability_ak_hero_dash_Description,Target the ground to dash a fixed 600 distance. Damage is reduced during the dash.
dota_tooltip_ability_ak_hero_dash_dash_distance,Dash Distance
dota_tooltip_ability_ak_hero_dash_dash_duration,Dash Duration
dota_tooltip_ability_ak_hero_heal,Emergency Heal
dota_tooltip_ability_ak_hero_heal_Description,Restores %heal_missing_pct%%% of missing health and continuously restores health over 6 seconds.
dota_tooltip_ability_ak_hero_heal_heal_missing_pct,% Heal Ratio
dota_tooltip_ability_ak_hero_blank,Empty Slot
dota_tooltip_ability_ak_hero_blank_Description,Placeholder skill for switching a job skill slot to blank.
dota_tooltip_ability_ak_hero_blank_q,Locked
dota_tooltip_ability_ak_hero_blank_q_Description,Locked Q skill.
dota_tooltip_ability_ak_hero_blank_w,Locked
dota_tooltip_ability_ak_hero_blank_w_Description,Locked W skill.
dota_tooltip_ability_ak_hero_blank_e,Locked
dota_tooltip_ability_ak_hero_blank_e_Description,Locked E skill.
dota_tooltip_ability_ak_hero_blank_d,Locked
dota_tooltip_ability_ak_hero_blank_d_Description,Locked D skill.
dota_tooltip_ability_ak_hero_blank_f,Locked
dota_tooltip_ability_ak_hero_blank_f_Description,Locked F skill.
dota_tooltip_ability_ak_hero_blank_r,Locked
dota_tooltip_ability_ak_hero_blank_r_Description,Locked R ability.
dota_tooltip_ability_ak_hero_blank_passive,Locked
dota_tooltip_ability_ak_hero_blank_passive_Description,Locked passive talent ability.
dota_tooltip_ability_axe_001,Mighty Strike
dota_tooltip_ability_axe_001_Description,"Axe gains %buff_movespeed_pct%%% movement speed and <font color='#ffffff'>empowered basic attacks</font> for %buff_duration% seconds.<br>The next attack deals bonus physical damage equal to %attack_damage_multiplier%%% of his max health to enemies within %aoe% of the target, and stuns them for %stun_duration% seconds."
dota_tooltip_ability_axe_001_buff_duration,Duration
dota_tooltip_ability_axe_001_buff_movespeed_pct,Movement Speed Bonus
dota_tooltip_ability_axe_001_aoe,Radius
dota_tooltip_ability_axe_001_attack_damage_multiplier,Damage Multiplier
dota_tooltip_ability_axe_001_stun_duration,Stun Duration
dota_tooltip_ability_axe_002,Flesh Power
dota_tooltip_ability_axe_002_Description,Grants bonus attack damage equal to %buff_attack_from_health_pct%%% of max health.
dota_tooltip_ability_axe_002_buff_attack_from_health_pct,Attack from Health %
dota_tooltip_ability_axe_003,Counter Helix
dota_tooltip_ability_axe_003_trigger_chance_pct,Trigger Chance
dota_tooltip_ability_axe_003_radius,Radius
dota_tooltip_ability_axe_003_max_health_damage_pct,Health Damage %
dota_tooltip_ability_axe_004,Berserker's Rush
dota_tooltip_ability_axe_004_Description,"Dashes up to %dash_distance% range, gaining high damage reduction while dashing."
dota_tooltip_ability_axe_004_dash_distance,Dash Distance
dota_tooltip_ability_axe_004_dash_duration,Dash Duration
dota_tooltip_ability_axe_005,Challenge Roar
dota_tooltip_ability_axe_005_Description,"Pulls surrounding enemies, briefly stunning them, dealing physical damage equal to %self_max_health_damage_pct%%% of Axe's max health, and granting %buff_armor% armor for %self_buff_duration% seconds."
dota_tooltip_ability_axe_005_cast_radius,Cast Radius
dota_tooltip_ability_axe_005_debuff_duration,Debuff Duration
dota_tooltip_ability_axe_005_self_buff_duration,Self Buff Duration
dota_tooltip_ability_axe_005_buff_armor,Armor Bonus
dota_tooltip_ability_axe_005_pull_to_distance,Pull Distance
dota_tooltip_ability_axe_005_self_max_health_damage_pct,Self Max Health Damage %
dota_tooltip_ability_axe_006,Raging Fury
dota_tooltip_ability_axe_006_Description,"Consumes %buff_health_cost_current_pct%%% of current health; gains %buff_duration% seconds of debuff immunity and enters a rage: Max Health +%buff_bonus_max_health_pct%%%, Incoming Damage +%buff_incoming_damage_increase_pct%%%, Crit Chance +%buff_bonus_crit_pct%%%. Also applies 1 stack of Vulnerability to enemies within %shock_radius% radius for %vulnerable_duration% seconds."
DOTA_Tooltip_ability_axe_006_Lore,"Vulnerability: Increases damage taken by 20%, plus an additional 5% per stack, up to a maximum of 40%."
dota_tooltip_ability_axe_006_buff_health_cost_current_pct,Health Cost %
dota_tooltip_ability_axe_006_buff_duration,Immunity & Rage Duration
dota_tooltip_ability_axe_006_shock_radius,Shock Radius
dota_tooltip_ability_axe_006_vulnerable_duration,Vulnerability Duration
dota_tooltip_ability_axe_006_buff_bonus_max_health_pct,Max Health Bonus %
dota_tooltip_ability_axe_006_buff_incoming_damage_increase_pct,Incoming Damage Increase %
dota_tooltip_ability_axe_007,Berserker's Blood
dota_tooltip_ability_axe_007_Description,"The higher the percentage of missing health, the greater the bonus attack speed and health regeneration amplification. At 0 health, grants up to %max_bonus_attack_speed% bonus attack speed and %max_recovery_amp_pct%% health regeneration amplification."
dota_tooltip_ability_axe_007_max_bonus_attack_speed,Bonus Attack Speed When Fully Missing
dota_tooltip_ability_axe_007_max_recovery_amp_pct,Health Regen Amplification% When Fully Missing
dota_tooltip_ability_axe_008,Blood Oath
