--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Vietnamese
addon_game_mode,Tên trò chơi của bạn
dota_tooltip_ability_ak_hero_dash,Xung phong
dota_tooltip_ability_ak_hero_dash_Description,"Nhấn vào mặt đất để xung phong cố định 600 khoảng cách, trong quá trình xung phong giảm sát thương."
dota_tooltip_ability_ak_hero_dash_dash_distance,Khoảng cách xung phong
dota_tooltip_ability_ak_hero_dash_dash_duration,Thời gian xung phong
dota_tooltip_ability_ak_hero_heal,Chữa trị khẩn cấp
dota_tooltip_ability_ak_hero_heal_Description,"Hồi phục %heal_missing_pct%%% máu đã mất, và hồi phục liên tục trong 6 giây."
dota_tooltip_ability_ak_hero_heal_heal_missing_pct,Tỷ lệ chữa trị
dota_tooltip_ability_ak_hero_blank,Ô trống
dota_tooltip_ability_ak_hero_blank_Description,"Kỹ năng tạm thời, dùng để chuyển đổi ô kỹ năng nghề nghiệp thành trống."
dota_tooltip_ability_ak_hero_blank_q,Chưa mở khóa
dota_tooltip_ability_ak_hero_blank_q_Description,Kỹ năng Q chưa được mở khóa.
dota_tooltip_ability_ak_hero_blank_w,Chưa mở khóa
dota_tooltip_ability_ak_hero_blank_w_Description,Kỹ năng W chưa được mở khóa.
dota_tooltip_ability_ak_hero_blank_e,Chưa mở khóa
dota_tooltip_ability_ak_hero_blank_e_Description,Kỹ năng E chưa mở khóa.
dota_tooltip_ability_ak_hero_blank_d,Chưa mở khóa
dota_tooltip_ability_ak_hero_blank_d_Description,Kỹ năng D chưa mở khóa.
dota_tooltip_ability_ak_hero_blank_f,Chưa mở khóa
dota_tooltip_ability_ak_hero_blank_f_Description,Kỹ năng F chưa mở khóa.
dota_tooltip_ability_ak_hero_blank_r,Chưa mở khóa
dota_tooltip_ability_ak_hero_blank_r_Description,Kỹ năng R chưa mở khóa.
dota_tooltip_ability_ak_hero_blank_passive,Chưa mở khóa
dota_tooltip_ability_ak_hero_blank_passive_Description,Kỹ năng thụ động tài năng chưa mở khóa.
dota_tooltip_ability_axe_001,Đòn đánh mạnh
dota_tooltip_ability_axe_001_Description,"Axe nhận được %buff_movespeed_pct%%% tốc độ di chuyển và <font color='#ffffff'>tấn công thường được cường hóa</font>, kéo dài %buff_duration% giây.<br>Đòn tấn công tiếp theo sẽ gây thêm sát thương vật lý bằng %attack_damage_multiplier%%% máu tối đa của bản thân lên kẻ địch trong phạm vi %aoe% xung quanh mục tiêu, và gây choáng trong %stun_duration% giây."
dota_tooltip_ability_axe_001_buff_duration,Thời gian kéo dài
dota_tooltip_ability_axe_001_buff_movespeed_pct,Tốc độ di chuyển cộng thêm
dota_tooltip_ability_axe_001_aoe,Phạm vi ảnh hưởng
dota_tooltip_ability_axe_001_attack_damage_multiplier,Hệ số sát thương
dota_tooltip_ability_axe_001_stun_duration,Thời gian choáng
dota_tooltip_ability_axe_002,Sức mạnh máu thịt
dota_tooltip_ability_axe_002_Description,Tăng sát thương bằng %buff_attack_from_health_pct%%% máu tối đa.
dota_tooltip_ability_axe_002_buff_attack_from_health_pct,Chuyển máu thành sát thương %
dota_tooltip_ability_axe_003,Xoáy Phản Kích
dota_tooltip_ability_axe_003_Description,"Khi bị tấn công, có %trigger_chance_pct%% cơ hội kích hoạt Xoáy Phản Kích, gây sát thương vật lý bằng %max_health_damage_pct%%% máu tối đa lên kẻ địch trong phạm vi %radius%."
dota_tooltip_ability_axe_003_trigger_chance_pct,Tỷ lệ kích hoạt
dota_tooltip_ability_axe_003_radius,Phạm vi
dota_tooltip_ability_axe_003_max_health_damage_pct,Sát thương máu tối đa
dota_tooltip_ability_axe_004,Xung kích Cuồng chiến
dota_tooltip_ability_axe_004_Description,"Lao tới khoảng cách tối đa %dash_distance%, trong thời gian đó nhận được giảm sát thương cao."
dota_tooltip_ability_axe_004_dash_distance,Khoảng cách lao
dota_tooltip_ability_axe_004_dash_duration,Thời gian lao
dota_tooltip_ability_axe_005,Tiếng hét thách thức
dota_tooltip_ability_axe_005_Description,"Kéo kẻ địch xung quanh gây choáng ngắn, gây sát thương vật lý bằng %self_max_health_damage_pct%%% máu tối đa của Axe lên chúng, bản thân nhận %buff_armor% giáp trong %self_buff_duration% giây."
dota_tooltip_ability_axe_005_cast_radius,Phạm vi thi triển
dota_tooltip_ability_axe_005_debuff_duration,Thời gian hiệu lực lên địch
dota_tooltip_ability_axe_005_self_buff_duration,Thời gian hiệu lực lên bản thân
dota_tooltip_ability_axe_005_buff_armor,Giáp cộng thêm
dota_tooltip_ability_axe_005_pull_to_distance,Kéo đến khoảng cách
dota_tooltip_ability_axe_005_self_max_health_damage_pct,Sát thương theo % máu tối đa bản thân
dota_tooltip_ability_axe_006,Cơn thịnh nộ cuồng bạo
DOTA_Tooltip_ability_axe_006_Lore,"Dễ bị tổn thương: tăng sát thương nhận vào thêm 20%, mỗi lớp thêm tăng 5%, tối đa 40%."
dota_tooltip_ability_axe_006_buff_health_cost_current_pct,Tiêu hao máu %
dota_tooltip_ability_axe_006_buff_duration,Thời gian miễn nhiễm và cuồng bạo
dota_tooltip_ability_axe_006_shock_radius,Phạm vi xung kích
dota_tooltip_ability_axe_006_vulnerable_duration,Thời gian dễ bị thương
dota_tooltip_ability_axe_006_buff_bonus_max_health_pct,Thưởng máu tối đa %
