--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,SChineseBaseline,English,EnglishReviewStatus,Russian,RussianReviewStatus,Vietnamese,VietnameseReviewStatus,ReviewIssue,ReviewBatch,Note
DOTA_Tooltip_ability_item_0100_bonus_all_stats,+全属性,+All Stats Bonus,approved,+Все атрибуты,approved,+Tất cả chỉ số,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0101_bonus_attack_damage,+攻击力,+Attack Damage,approved,+Урон от атаки,approved,+Sát thương tấn công,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0101_attack_speed,+攻击速度,+Attack Speed,approved,+Скорость атаки,approved,+Tốc độ tấn công,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0103_bonus_health,+生命值,+Health,approved,+Здоровье,approved,+Máu,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0103_bonus_armor,+护甲,+Armor,approved,+Броня,approved,+Giáp,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0103_extra_backpack_slot_limit,+额外背包格子,+Extra Backpack Slots,approved,+Дополнительные слоты рюкзака,approved,+Ô ba lô phụ,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0104_bonus_health,+生命值,+Health,approved,+Здоровье,approved,+Máu,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0104_bonus_armor,+护甲,+Armor,approved,+Броня,approved,+Giáp,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0104_extra_backpack_slot_limit,+额外背包格子,+Extra Backpack Slots,approved,+Дополнительные слоты рюкзака,approved,+Ô ba lô phụ,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0105_base_movespeed,+基础移动速度,+Base Move Speed,approved,+Базовая скорость передвижения,approved,+Tốc độ di chuyển cơ bản,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0105_attack_speed,+攻击速度,+Attack Speed,approved,+Скорость атаки,approved,+Tốc độ tấn công,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0106_bonus_attack_damage,+攻击力,+Attack Damage,approved,+Урон от атаки,approved,+Sát thương tấn công,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0106_bonus_strength,+力量,+Strength Bonus,approved,+Сила,approved,+Sức mạnh,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0106_attack_speed,+攻击速度,+Attack Speed,approved,+Скорость атаки,approved,+Tốc độ tấn công,approved,,migration-2026-08,
DOTA_Tooltip_ability_item_0107_bonus_health,+生命值,+Health,approved,+Здоровье,approved,+Máu,approved,,migration-2026-08,
