--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Vietnamese
activation_code_尊敬的申请者,Kính gửi người nộp đơn:
activation_code_申请内测前请确认以下内容点击同意并申请即表示您已,"Trước khi nộp đơn thử nghiệm nội bộ, vui lòng xác nhận nội dung sau. Nhấp vào Đồng ý và Nộp đơn có nghĩa là bạn đã biết và chấp nhận tất cả các điều khoản."
activation_code_一内测风险告知,I. Thông báo rủi ro thử nghiệm nội bộ
activation_code_1测试内容不完善风险,1. Rủi ro nội dung thử nghiệm chưa hoàn thiện
activation_code_2RPG游戏新鲜感损耗风险,2. Rủi ro mất cảm giác mới lạ của game RPG
activation_code_3其他测试风险,3. Rủi ro thử nghiệm khác
activation_code_二确认与承诺,II. Xác nhận và Cam kết
activation_code_自愿承担风险,Tự nguyện chịu rủi ro
activation_code_尊重公测玩家体验,Tôn trọng trải nghiệm của người chơi thử nghiệm công khai
activation_code_遵守测试规范,Tuân thủ quy định thử nghiệm
activation_code_禁止隐瞒重大Bug并利用其盈利,Cấm che giấu lỗi nghiêm trọng và kiếm lợi từ chúng
activation_code_获取中,Đang lấy mã
activation_code_请输入内测码,Vui lòng nhập mã thử nghiệm
activation_code_内测码已发放完毕,Mã thử nghiệm đã phát hết
activation_code_欢迎参与Aow5内测,Chào mừng tham gia thử nghiệm nội bộ Aow5
activation_code_领取或输入内测激活码后即可进入游戏内测Q群808,"Sau khi nhận hoặc nhập mã kích hoạt thử nghiệm, bạn có thể vào game, nhóm QQ thử nghiệm: 808367181."
activation_code_剩余名额,Số lượng còn lại
activation_code_当前状态,Trạng thái hiện tại
activation_code_已获得激活码,Đã nhận mã kích hoạt
activation_code_等待激活,Chờ kích hoạt
activation_code_限时领取内测码,Nhận mã thử nghiệm trong thời gian giới hạn
activation_code_每名玩家仅可获取一次,Mỗi người chơi chỉ được nhận một lần
activation_code_填充已申请内测码,Điền mã thử nghiệm đã đăng ký
activation_code_申请内测资格,Đăng ký quyền tham gia thử nghiệm nội bộ
activation_code_输入激活码,Nhập mã kích hoạt
activation_code_领取后会自动填入输入框,"Sau khi nhận, mã sẽ tự động điền vào ô nhập"
activation_code_进入游戏,Vào game
activation_code_游戏内测资格申请同意书,Thỏa thuận đồng ý đăng ký quyền tham gia thử nghiệm nội bộ
activation_code_请完整阅读以下内容后再决定是否申请内测资格,Vui lòng đọc kỹ nội dung dưới đây trước khi quyết định đăng ký quyền tham gia thử nghiệm nội bộ
activation_code_已完成等待您现在可以选择同意并申请内测资格,"Đã hoàn tất chờ đợi, bạn có thể chọn đồng ý và đăng ký quyền tham gia thử nghiệm nội bộ"
activation_code_暂不申请,Tạm thời không đăng ký
activation_code_同意并申请,Đồng ý và đăng ký
activation_code_测试内容不完善风险说明,"Đợt thử nghiệm này có thể tồn tại các trường hợp như hệ thống chưa hoàn chỉnh, chỉ số tạm thời, nội dung thay thế, lỗi đã biết hoặc chưa biết, trải nghiệm thử nghiệm có thể khác biệt rõ rệt so với phiên bản công khai."
activation_code_RPG游戏新鲜感损耗风险说明,"Tham gia thử nghiệm nội bộ có thể tiếp xúc sớm với các nội dung như lộ trình phát triển, phái, trang bị, bản đồ, nhiệm vụ hoặc hệ thống, làm giảm cảm giác mới lạ khi khám phá ở phiên bản công khai."
activation_code_其他测试风险说明,"Trong thời gian thử nghiệm có thể xảy ra các tình huống như tạm ngừng máy chủ, hồi dữ liệu, điều chỉnh phần thưởng, thay đổi cân bằng, thay đổi quy tắc, vui lòng tham khảo thông báo chính thức."
activation_code_自愿承担风险说明,"Tôi đã hiểu và chấp nhận các rủi ro thử nghiệm nội bộ trên, và tự nguyện tham gia thử nghiệm."
activation_code_尊重公测玩家体验说明,"Tôi sẽ không cố tình lan truyền nội dung tiết lộ hoặc thông tin chưa xác nhận, tránh ảnh hưởng đến trải nghiệm của người chơi phiên bản công khai."
activation_code_遵守测试规范说明,Tôi sẽ tuân thủ quy tắc thử nghiệm và phản hồi vấn đề qua kênh chính thức.
activation_code_禁止隐瞒重大Bug并利用其盈利说明,"Tôi sẽ không che giấu lỗi nghiêm trọng, hoặc lợi dụng chúng để trục lợi, giao dịch, kiếm lợi bất chính."
activation_code_同意按钮倒计时,Nút đồng ý sẽ được mở khóa sau {seconds} giây
activation_code_同意按钮倒计时按钮,Đồng ý ({seconds}s)