--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Vietnamese
alchemy_panel_炼金,Luyện kim
alchemy_panel_炼金阵,Trận luyện kim
alchemy_panel_秘仪控制台,Bảng điều khiển huyền bí
alchemy_panel_炼金阵封存,Phong ấn trận luyện kim
alchemy_panel_当前仅开放一座法阵,Hiện chỉ mở một trận pháp
alchemy_panel_解锁法阵,Mở khóa trận pháp
alchemy_panel_炼金核心,Lõi luyện kim
alchemy_panel_每分钟后缀,/phút
alchemy_panel_炼金材料,Nguyên liệu luyện kim
alchemy_panel_未开通材料槽,Chưa mở khe nguyên liệu
alchemy_panel_待投料,Chờ nạp nguyên liệu
alchemy_panel_产量,Sản lượng
alchemy_panel_封存,Phong ấn
alchemy_panel_已达上限,Đã đạt giới hạn
alchemy_panel_运行中,Đang hoạt động
alchemy_panel_存储上限,Giới hạn lưu trữ
alchemy_panel_上限等级,Cấp giới hạn
alchemy_panel_升级,Nâng cấp
alchemy_panel_材料槽扩展,Mở rộng khe nguyên liệu
alchemy_panel_扩展,Mở rộng
alchemy_panel_领取产出,Nhận sản phẩm
alchemy_panel_扩展材料槽,Mở rộng khe nguyên liệu
alchemy_panel_消耗材料,Nguyên liệu tiêu hao
alchemy_panel_确认扩展,Xác nhận mở rộng
alchemy_panel_取消,Hủy bỏ
alchemy_panel_升级收益上限,Giới hạn lợi ích nâng cấp
alchemy_panel_升级后上限,Giới hạn sau nâng cấp
alchemy_panel_确认升级,Xác nhận nâng cấp
alchemy_panel_请拖到背包或仓库取回材料,Kéo vào túi đồ hoặc kho để lấy lại nguyên liệu
alchemy_panel_请先解锁炼金法阵,Vui lòng mở khóa trận pháp luyện kim trước
alchemy_panel_没有空白槽位,Không có ô trống
alchemy_material_tooltip_支持材料,Nguyên liệu hỗ trợ
alchemy_material_tooltip_支持材料说明,Các nguyên liệu sau có thể đặt vào ô nguyên liệu luyện kim
alchemy_material_tooltip_产能,Sản lượng
alchemy_material_tooltip_暂无可用材料,Hiện không có nguyên liệu khả dụng
alchemy_material_tooltip_材料数量不足,Số lượng nguyên liệu không đủ
alchemy_material_tooltip_选择材料,Chọn nguyên liệu
alchemy_material_tooltip_拥有,Sở hữu