--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Vietnamese
change_当前,Hiện tại
change_职业天赋,Thiên phú nghề nghiệp
change_职业进阶,Thăng cấp nghề nghiệp
change_职业技能,Kỹ năng nghề nghiệp
change_暂无可切换技能,Tạm thời không có kỹ năng có thể chuyển đổi
change_解锁职业,Mở khóa nghề nghiệp
change_职业进阶_2,Thăng cấp nghề nghiệp
change_已达到最高阶,Đã đạt cấp cao nhất
change_切换职业,Chuyển đổi nghề nghiệp
change_该职业暂无天赋树数据,Nghề nghiệp này chưa có dữ liệu cây tài năng
change_返回,Quay lại
change_X阶,Cấp {tier}
change_X阶职业名,Cấp {tier} {name}
change_需要X级,Cần cấp {level}
change_战士,Chiến binh
change_法师,Pháp sư
change_辅助,Hỗ trợ
change_刺客,Sát thủ
change_射手,Xạ thủ
change_职业方案,Phương án nghề nghiệp
change_预设方案,Phương án cài sẵn
change_技能配置,Cấu hình kỹ năng
change_确认转职,Xác nhận chuyển nghề
change_装备预设,Bộ trang bị
change_应用预设,Áp dụng preset
change_应用方案,Áp dụng phương án
change_清空预设,Xóa preset
change_装备配置,Cấu hình trang bị
change_导入当前配置,Nhập cấu hình hiện tại
change_当前已应用,Đang áp dụng
change_战斗通知其余物品前缀, v.v.
change_战斗通知其余物品后缀, món
change_有未应用修改,Có thay đổi chưa áp dụng
change_方案待应用,Phương án chờ áp dụng
change_已保存,Đã lưu
change_预设操作失败,Thao tác preset thất bại
change_仅可在基地操作,Chỉ có thể thao tác tại căn cứ
change_装备正在重铸,Trang bị đang được tái rèn
change_具体装备正在重铸,{item} đang được tái rèn
change_仓库空间不足,Kho không đủ chỗ
change_背包空间不足,Túi đồ không đủ chỗ
change_技能配置无效,Cấu hình kỹ năng đã hết hiệu lực
change_具体技能配置无效,{skill} không còn phù hợp với phương án này
change_装备事务异常需重进,"Giao dịch trang bị gặp lỗi, vui lòng vào lại game rồi thao tác."
change_操作正在进行,Thao tác đang tiến hành.
change_预设已发生变化,Cài đặt trước đã thay đổi.
change_预设槽_装备1,1
change_预设槽_装备2,2
change_预设槽_装备3,3
change_预设槽_装备4,4
change_预设槽_装备5,5
change_预设槽_装备6,6
change_预设槽_符印1,Ấn 1
change_预设槽_符印2,Ấn 2
change_预设槽_符印3,Ấn 3
change_预设槽_钱包,Ví
change_预设槽_宝物,Bảo vật
change_预设槽_宠物,Thú cưng