--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Russian
email_邮件,Письмо
email_邮件数,Количество писем
email_刷新,Обновить
email_邮件列表,Список писем
email_已领取,Получено
email_已读,Прочитано
email_未读,Не прочитано
email_删除已读,Удалить прочитанные
email_领取全部,Получить всё
email_有效期,Срок действия:
email_领取,Получить
email_请选择邮件查看,Выберите письмо для просмотра