--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Russian
end_screen_游戏版本过低,Версия игры устарела
end_screen_系统正在维护,Система на обслуживании
end_screen_本局已结束,Игра завершена
end_screen_当前游戏版本过低请更新后重新进入,"Текущая версия игры устарела. Пожалуйста, обновите и войдите заново."
end_screen_服务器维护已开始请稍后再试,"Обслуживание сервера началось. Пожалуйста, попробуйте позже."
end_screen_本局已结束请返回主界面,Игра завершена. Вернитесь в главное меню.
end_screen_版本限制,Ограничение версии
end_screen_维护关停,Отключение на обслуживание
end_screen_对局结束,Игра окончена
end_screen_当前版本,Текущая версия
end_screen_最低版本,Минимальная версия
end_screen_维护结束后不会继续写入本局存档,"Для защиты данных сохранения, после завершения игры запись в сохранение этой игры не будет продолжаться."
end_screen_退出游戏,Выйти из игры
end_screen_请返回主界面后根据提示重新进入游戏,"Вернитесь в главное меню и следуйте подсказкам, чтобы войти в игру заново."