--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English
ak_combat_notice_death_killed_by_suffix, defeated 
ak_combat_notice_treasure_grant_prefix,Treasure Obtained
ak_combat_notice_treasure_to_warehouse,Placed in Warehouse
ak_combat_notice_treasure_to_knapsack,Placed in backpack
ak_combat_notice_treasure_to_ground,"Insufficient space, dropped near hero"
ak_combat_notice_treasure_formula_unlocked,Blueprint unlocked
ak_combat_notice_treasure_duplicate_formula_fragment,"Duplicate blueprint, converted to Mystic Fragment"
ak_combat_notice_shop_buy_prefix,Purchased
ak_combat_notice_craft_claim_prefix,Claimed crafted item
ak_combat_notice_item_to_warehouse,Placed in warehouse
ak_combat_notice_item_stored,Stored
ak_combat_notice_item_to_knapsack,Placed in backpack
ak_combat_notice_item_to_ground,"Insufficient space, dropped near hero"
ak_combat_notice_item_formula_unlocked,Blueprint unlocked
ak_combat_notice_item_duplicate_formula_fragment,"Duplicate blueprint, converted to Mystic Fragment"
ak_combat_notice_item_count_prefix,Quantity
ak_combat_notice_item_sold_prefix,Sold
ak_combat_notice_item_sold_gold_prefix,Obtained
ak_combat_notice_gold_suffix,gold
ak_combat_notice_merchant_exchange_point_suffix,Bounty gold
ak_combat_notice_merchant_exchange_prefix,Merchant exchange
ak_combat_notice_merchant_submit_prefix,Submit purchase
ak_combat_notice_exchange_list_prefix,Listed on exchange
ak_combat_notice_exchange_list_success_suffix,Listed successfully
ak_combat_notice_exchange_buy_prefix,Exchange purchase
ak_combat_notice_exchange_buy_success_suffix,Purchase successful
ak_combat_notice_chest_reward_prefix,Chest reward
ak_combat_notice_equipment_equipped_prefix,Equipped
ak_combat_notice_equipment_unequipped_prefix,Unequipped