--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Russian
hud_攻击,Атака
hud_返回,Назад
hud_设置,Настройки
hud_邮件,Почта
hud_请选择邮件查看,Выберите почту для просмотра
hud_攻击力,Сила атаки:
hud_攻击速度,Скорость атаки:
hud_攻击距离,Дальность атаки:
hud_移动速度,Скорость передвижения:
hud_伤害增强,Усиление урона:
hud_魔法恢复,Восстановление маны:
hud_攻击暴击,Критический удар атаки:
hud_技能暴击,Критический удар навыка:
hud_物理暴击,Физический критический удар:
hud_魔法暴击,Магический критический удар:
hud_伤害加成,Бонус к урону:
hud_物理伤害,Физический урон:
hud_魔法伤害,Магический урон:
hud_暴击伤害,Критический урон:
hud_技能伤害,Урон от навыка:
hud_攻击吸血,Вампиризм атаки:
hud_物理吸血,Физический вампиризм:
hud_技能吸血,Вампиризм навыка:
hud_魔法吸血,Магический вампиризм:
hud_伤害抵抗,Сопротивление урону:
hud_额外施法距离,Дополнительная дальность заклинаний:
hud_视野范围,Радиус обзора:
hud_冷却缩减,Сокращение перезарядки:
hud_耗蓝减少,Уменьшение затрат маны:
hud_防御,Защита
hud_综合,Общее
hud_特殊,Особое
hud_生命值,Здоровье:
hud_魔法值,Мана:
hud_护盾值,Щит:
hud_护甲,Броня:
hud_物理抗性,Физическое сопротивление:
hud_魔法抗性,Магическое сопротивление:
hud_状态抗性,Сопротивление эффектам:
hud_减速抗性,Сопротивление замедлению:
hud_闪避,Уклонение:
hud_格挡,Блокирование:
hud_伤害减免,Снижение урона:
hud_生命恢复,Восстановление здоровья:
hud_幸运值:,Удача:
ak_combat_notice_player_fallback,Игрок
ak_combat_notice_death_defeated,Побежден
ak_combat_notice_death_fallen,Пал
ak_combat_notice_death_killed_by_prefix,Был побежден 
ak_combat_notice_death_killed_by_suffix, побежден
ak_combat_notice_unknown_boss,Неизвестный босс
ak_combat_notice_unknown_rune,Неизвестно
ak_combat_notice_entered,Вошёл
ak_combat_notice_evacuate,Эвакуация
ak_combat_notice_success,Успешно
ak_combat_notice_killed,Убил 
ak_combat_notice_craft_success,Крафт успешен
ak_combat_notice_craft_start,Начало крафта
ak_combat_notice_got_rune,Получена руна:
ak_combat_notice_rune_suffix,Руна
ak_combat_notice_picked_up,Подобрал
ak_combat_notice_dropped,Выбросил
name_unknown_room,Неизвестная комната
ak_tooltip_term_poison_name,Отравление
ak_tooltip_term_poison_desc,"Периодически наносит магический урон. Урон зависит от всех характеристик наложившего, все слои участвуют в расчете общего урона от яда."
ak_tooltip_term_burn_name,Ожог
ak_tooltip_term_burn_desc,"Периодически наносит чистый урон. Обычные цели получают 15% от текущего здоровья в секунду, элитные — 7.5%, боссы и главари — 1.5%."
ak_tooltip_term_shield_name,Щит
ak_tooltip_term_shield_desc,Блокирует нечистый урон. Не восстанавливается в течение 3 секунд после получения урона; после начала восстановления восстанавливает 25% в секунду.
ak_tooltip_term_bleed_name,Кровотечение
ak_tooltip_term_bleed_desc,"Кровотечение может быть вызвано только физическим уроном, наносит чистый урон периодически. Урон составляет 70% от итогового урона удара, вызвавшего кровотечение. При этом получает бонусы только от урона кровотечения и урона с течением времени."
ak_tooltip_term_ice_slow_name,Замораживание
ak_tooltip_term_ice_slow_desc,"Снижает скорость передвижения и атаки. Каждый слой снижает на 3%, максимум 10 слоёв."
ak_tooltip_term_stun_name,Оглушение
ak_tooltip_term_stun_desc,"Невозможно двигаться, атаковать или применять способности. Длительность зависит от сопротивления оглушению."
ak_tooltip_term_vulnerable_name,Уязвимость
ak_tooltip_term_vulnerable_desc,"Увеличивает весь получаемый урон. Изначально увеличивает на 20%, каждый дополнительный слой увеличивает на 5%, максимум 40%."
ak_tooltip_term_attack_crit_name,Критический удар
ak_tooltip_term_crit_name,Критический удар
ak_tooltip_term_attack_crit_desc,"Обычные атаки с вероятностью наносят повышенный урон. Изначальный шанс крита 5%, урон крита 180%."
ak_tooltip_term_ability_crit_name,Критический удар способностей
ak_tooltip_term_ability_crit_desc,Урон от способностей с вероятностью наносит повышенный урон. Изначальный урон крита 180%. При срабатывании используется текущий множитель критического урона.
ak_tooltip_term_omni_crit_name,Глобальный критический удар
ak_tooltip_term_omni_crit_desc,Увеличивает шанс критического удара для всех.
ak_tooltip_term_evasion_rate_name,Шанс уклонения
ak_tooltip_term_evasion_name,Уклонение
ak_tooltip_term_evasion_desc,С вероятностью уклоняется от атак. Несколько источников уклонения рассчитываются отдельно.
ak_tooltip_term_block_name,Блок
ak_tooltip_term_block_desc,Уменьшает получаемый урон.
ak_tooltip_term_glow_name,Свечение
ak_tooltip_term_glow_desc,"Излучает свет, способный рассеивать тьму."
ak_tooltip_term_healing_reduction_name,Снижение лечения
ak_tooltip_term_healing_reduction_desc,Эффекты лечения и вампиризма снижены.
ak_tooltip_term_omni_lifesteal_name,Глобальный вампиризм
ak_tooltip_term_omni_lifesteal_desc,Увеличивает весь вампиризм.
ak_tooltip_term_charge_name,Заряды
ak_tooltip_term_charge_desc,"Расходуется в зависимости от количества зарядов, не подвержено влиянию сокращения перезарядки."
ak_tooltip_term_gold_storage_name,Хранение
ak_tooltip_term_gold_storage_desc,Хранящееся золото не выпадает при смерти и не занимает место в инвентаре.
ak_tooltip_term_pure_damage_name,Чистый урон
