--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Russian
illustrated_类型掉落池,Тип: пул выпадения
illustrated_包含子池,Содержит подпулы
illustrated_单次触发期望价值,Ожидаемая ценность за одно срабатывание: 
illustrated_贡献,Вклад: 
illustrated_权重,Вес: 
illustrated_该掉落池暂无内容,В этом пуле дропа пока нет содержимого
illustrated_引用单位,Ссылающиеся юниты
illustrated_权重_2,Вес 
illustrated_当前没有单位直接引用该掉落池,"Нет юнитов, напрямую ссылающихся на этот пул дропа"
illustrated_统计时忽略图纸,Игнорировать чертежи в статистике
illustrated_搜索物品,Поиск предметов...
illustrated_搜索掉落池,Поиск пулов дропа...
illustrated_全部,Все
illustrated_装备,Экипировка
illustrated_符印,Печати
illustrated_图纸,Чертежи
illustrated_怪物,Монстры
illustrated_掉落池,Пулы дропа
illustrated_宝物,Сокровища
illustrated_背包,Рюкзак
illustrated_材料,Материалы
illustrated_珍稀,Редкие
illustrated_信件,Письма
illustrated_药剂,Зелья
illustrated_珍宝,Драгоценности
illustrated_佳酿,Отличное вино
illustrated_通用,Общий
illustrated_斧王,Топор
illustrated_刺客,Убийца
illustrated_莉娜,Лина
illustrated_搜索具体描述,Искать конкретное описание
illustrated_出没于,Обитает в
illustrated_生命值,Здоровье
illustrated_攻击力,Атака
illustrated_护甲,Броня
illustrated_移动速度,Скорость
illustrated_经验值,Опыт
illustrated_金币,Золото
illustrated_掉落率,Шанс выпадения
illustrated_掉落数量,Количество дропа
illustrated_技能,Способность
illustrated_可破坏物,Разрушаемый
illustrated_可破坏并获得掉落,Можно разрушить для получения дропа
illustrated_该怪物暂无掉落数据,Данные о выпадении для этого монстра отсутствуют
illustrated_小怪,Мелкий монстр
illustrated_精英,Элитный
illustrated_头目,Босс
illustrated_图鉴系统,Система бестиария
illustrated_掉落来源,Источник выпадения
illustrated_掉落池来源,Источник пула выпадений
illustrated_贡献百分比,Вклад {percent}
illustrated_概率百分比,Вероятность {percent}
illustrated_权重X,Вес {weight}
illustrated_单次触发期望价值X,Ожидаемая ценность за срабатывание: {value}
illustrated_权重百分比,Вес {weight}（{percent}）
illustrated_掉落池X,Пул выпадений {index}
illustrated_单次击杀期望价值X,Ожидаемая ценность за убийство: {value}
illustrated_概率百分比冒号,Вероятность: {percent}
illustrated_权重冒号X,Вес: {weight}
illustrated_X级,{level} уровень
illustrated_破坏物,Разрушаемый объект
illustrated_普通,Обычный
illustrated_合成配方,Рецепт крафта
illustrated_有掉落,Есть выпадение
illustrated_无掉落,Нет выпадения
illustrated_图纸产出,Результат чертежа
illustrated_合成目标,Цель синтеза
illustrated_可参与合成,Участвует в синтезе
illustrated_类型X,Тип: {type}
illustrated_请选择一个项目查看详情,"Выберите элемент, чтобы увидеть подробности"
illustrated_返回X,← {name}
illustrated_返回,← Назад
illustrated_请选择一个条目查看详情,"Выберите запись, чтобы увидеть подробности"
illustrated_搜索怪物,Поиск монстров...
illustrated_请选择一个怪物查看详情,"Выберите монстра, чтобы увидеть подробности"
illustrated_其他来源,Другие источники
illustrated_黑心商贩,Чёрный торговец
illustrated_赞助商城礼包,Подарок из спонсорского магазина
illustrated_会馆商人积分兑换,Обмен очков у скупщика
illustrated_宝物碎片兑换,Обмен фрагментов сокровищ
illustrated_需要商店等级X,Требуется уровень магазина {level}
illustrated_库存X,Запас: {count}
illustrated_消耗X碎片,Расход {count} фрагментов
illustrated_分解获得,Получено при разложении
illustrated_分解低阶装备,Разобрать снаряжение качества 1-4
illustrated_分解X品质装备,Разобрать снаряжение качества {quality}
illustrated_分解X品质宝物,Разобрать реликвию качества {quality}
illustrated_分解X品质宝物概率Y,Разобрать реликвию качества {quality} (с вероятностью {chance}%)
illustrated_分解符印,Разобрать печать
illustrated_掉落,Выпадение
illustrated_商贩,Торговец
illustrated_商城,Спонсорский магазин
illustrated_命石,Грань
illustrated_分解命石,Разобрать грань
illustrated_图鉴档案,Архив кодекса
illustrated_可能获得,Возможная добыча
illustrated_可解锁天赋,Разблокируемые таланты
illustrated_按概率,По вероятности
illustrated_按等级,По уровню
illustrated_困难模式,Сложный режим
illustrated_击杀次数,Количество убийств
illustrated_困难独有,Только для сложного режима
illustrated_击杀X,Убийств: {count}
illustrated_幻影刺客,Фантомная убийца
illustrated_未开放,Недоступно
illustrated_移出白名单,Убрать из белого списка
illustrated_加入白名单,Добавить в белый список
illustrated_移出黑名单,Убрать из чёрного списка
illustrated_加入黑名单,Добавить в чёрный список
illustrated_隐藏名称,Скрыть имя