--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Vietnamese
illustrated_类型掉落池,Loại: Hồ rơi
illustrated_包含子池,Bao gồm hồ phụ
illustrated_单次触发期望价值,Giá trị kỳ vọng mỗi lần kích hoạt: 
illustrated_贡献,Đóng góp: 
illustrated_权重,Trọng số: 
illustrated_该掉落池暂无内容,Bể thả này hiện không có nội dung
illustrated_引用单位,Đơn vị tham chiếu
illustrated_权重_2,Trọng số 
illustrated_当前没有单位直接引用该掉落池,Hiện không có đơn vị nào tham chiếu trực tiếp bể thả này
illustrated_统计时忽略图纸,Bỏ qua bản vẽ khi thống kê
illustrated_搜索物品,Tìm kiếm vật phẩm...
illustrated_搜索掉落池,Tìm kiếm bể thả...
illustrated_全部,Tất cả
illustrated_装备,Trang bị
illustrated_符印,Ấn
illustrated_图纸,Bản vẽ
illustrated_怪物,Quái vật
illustrated_掉落池,Bể thả
illustrated_宝物,Bảo vật
illustrated_背包,Ba lô
illustrated_材料,Nguyên liệu
illustrated_珍稀,Hiếm
illustrated_信件,Thư
illustrated_药剂,Thuốc
illustrated_珍宝,Châu báu
illustrated_佳酿,Rượu ngon
illustrated_通用,Phổ thông
illustrated_斧王,Axe
illustrated_刺客,Sát thủ
illustrated_莉娜,Lina
illustrated_搜索具体描述,Tìm kiếm mô tả cụ thể
illustrated_出没于,Xuất hiện tại
illustrated_生命值,Máu
illustrated_攻击力,Sát thương
illustrated_护甲,Giáp
illustrated_移动速度,Tốc độ di chuyển
illustrated_经验值,Kinh nghiệm
illustrated_金币,Vàng
illustrated_掉落率,Tỉ lệ rơi
illustrated_掉落数量,Số lượng rơi
illustrated_技能,Kỹ năng
illustrated_可破坏物,Vật thể có thể phá hủy
illustrated_可破坏并获得掉落,Có thể phá hủy và nhận được vật phẩm rơi
illustrated_该怪物暂无掉落数据,Quái vật này chưa có dữ liệu rơi
illustrated_小怪,Quái nhỏ
illustrated_精英,Tinh nhuệ
illustrated_头目,Thủ lĩnh
illustrated_图鉴系统,Hệ thống hình mẫu
illustrated_掉落来源,Nguồn rơi
illustrated_掉落池来源,Nguồn từ hồ rơi
illustrated_贡献百分比,Đóng góp {percent}
illustrated_概率百分比,Xác suất {percent}
illustrated_权重X,Trọng số {weight}
illustrated_单次触发期望价值X,Giá trị kỳ vọng một lần kích hoạt: {value}
illustrated_权重百分比,Trọng số {weight} ({percent})
illustrated_掉落池X,Hồ rơi {index}
illustrated_单次击杀期望价值X,Giá trị kỳ vọng một lần tiêu diệt: {value}
illustrated_概率百分比冒号,Xác suất: {percent}
illustrated_权重冒号X,Trọng số: {weight}
illustrated_X级,Cấp {level}
illustrated_破坏物,Vật phá hủy
illustrated_普通,Thông thường
illustrated_合成配方,Công thức chế tạo
illustrated_有掉落,Có rơi
illustrated_无掉落,Không rơi
illustrated_图纸产出,Sản phẩm bản vẽ
illustrated_合成目标,Mục tiêu tổng hợp
illustrated_可参与合成,Có thể tham gia tổng hợp
illustrated_类型X,Loại: {type}
illustrated_请选择一个项目查看详情,Vui lòng chọn một mục để xem chi tiết
illustrated_返回X,← {name}
illustrated_返回,← Quay lại
illustrated_请选择一个条目查看详情,Vui lòng chọn một mục để xem chi tiết
illustrated_搜索怪物,Tìm kiếm quái vật...
illustrated_请选择一个怪物查看详情,Vui lòng chọn một quái vật để xem chi tiết
illustrated_其他来源,Nguồn khác
illustrated_黑心商贩,Người buôn bán đen tối
illustrated_赞助商城礼包,Gói quà cửa hàng tài trợ
illustrated_会馆商人积分兑换,Đổi điểm thương nhân thu mua
illustrated_宝物碎片兑换,Đổi mảnh bảo vật
illustrated_需要商店等级X,Yêu cầu cấp cửa hàng {level}
illustrated_库存X,Kho {count}
illustrated_消耗X碎片,Tiêu hao {count} mảnh
illustrated_分解获得,Phân giải nhận được
illustrated_分解低阶装备,Phân giải trang bị phẩm chất 1-4
illustrated_分解X品质装备,Phân giải trang bị phẩm chất {quality}
illustrated_分解X品质宝物,Phân giải bảo vật phẩm chất {quality}
illustrated_分解X品质宝物概率Y,Phân giải bảo vật phẩm chất {quality} (xác suất {chance}%)
illustrated_分解符印,Phân giải ấn phù
illustrated_掉落,Rơi
illustrated_商贩,Người bán
illustrated_商城,Cửa hàng tài trợ
illustrated_命石,Đá Mệnh
illustrated_分解命石,Phân giải Ngọc mệnh
illustrated_图鉴档案,Hồ sơ bách khoa
illustrated_可能获得,Có thể nhận được
illustrated_可解锁天赋,Có thể mở khóa thiên phú
illustrated_按概率,Theo xác suất
illustrated_按等级,Theo cấp độ
illustrated_困难模式,Chế độ khó
illustrated_击杀次数,Số lần hạ gục
illustrated_困难独有,Chỉ có ở chế độ khó
illustrated_击杀X,Hạ gục: {count}
illustrated_幻影刺客,Sát Thủ Ảo Ảnh
illustrated_未开放,Chưa mở
illustrated_移出白名单,Xóa khỏi danh sách trắng
illustrated_加入白名单,Thêm vào danh sách trắng
illustrated_移出黑名单,Xóa khỏi danh sách đen
illustrated_加入黑名单,Thêm vào danh sách đen
illustrated_隐藏名称,Ẩn tên