--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Russian
loading_不要贪心下一把也许就是你的神装开局,"Не жадничай, следующий заход может стать твоим идеальным началом с экипировкой."
loading_流派构筑与装备组合,Сборки и снаряжение
loading_房间推进与撤离收益,Рейды и эвакуация
loading_成长养成与长期仓库,Развитие и склад
loading_当前阶段,Этап
loading_公测调优中,Открытая бета
loading_当前服务器,Сервер
loading_测试讨论Q群,QQ-группа
loading_在钢铁火焰与战利品之间整理你的武装选择你的推进节,Соберите арсенал. Выберите путь.
loading_主菜单,Меню
loading_准备进入据点,Войти на базу
loading_完成资格验证后即可进入基地建议先查看背包制作与成,Подготовьте снаряжение перед вылазкой.
loading_进入游戏,Играть
loading_公测试玩版本主界面已完成资格校验后展示,Закрытая бета-версия · Главный интерфейс отображается после завершения верификации
loading_小贴士,Совет: 
loading_离线模式,Офлайн-режим
loading_一起开黑,Играть вместе
loading_系统正在维护,Система на обслуживании
loading_请求服务器配置中,Запрос конфигурации сервера...
loading_系统初始化中,Инициализация системы...
loading_正在校验存档与测试资格,Проверка сохранений и прав доступа...
loading_激活码验证中,Проверка активационного кода...
loading_正在进入游戏,Вход в игру...
loading_服务器载入中,Загрузка сервера...
loading_维护强制结束倒计时,"Сервер на обслуживании, игра завершится через {seconds} секунд"
loading_服务器维护中请稍后再试,Сервер на обслуживании. Попробуйте позже
loading_连接失败X秒后重试,"Ошибка подключения, повтор через {seconds} секунд"
loading_一定不要摸小猫,Ни в коем случае не гладь котёнка.