--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Vietnamese
merchant_panel_普通,Thường
merchant_panel_进阶,Nâng cao
merchant_panel_稀有,Hiếm
merchant_panel_大师,Bậc thầy
merchant_panel_收购需求,Nhu cầu thu mua
merchant_panel_奖励,Phần thưởng:
merchant_panel_提交,Nộp
merchant_panel_会馆商人,Thương nhân thu mua
merchant_panel_任务生成中,Đang tạo nhiệm vụ
merchant_panel_X小时Y分,{hours} giờ {minutes} phút
merchant_panel_X分Y秒,{minutes} phút {seconds} giây
merchant_panel_刷新中,Đang làm mới
merchant_panel_今日已刷新X次,Hôm nay đã làm mới {count}/{limit} lần
merchant_panel_今日已刷新X次明日可继续,Đã đạt giới hạn làm mới hàng ngày.
merchant_panel_积分兑换,Đổi điểm thưởng
merchant_panel_当前积分X,Điểm hiện tại: {points}
merchant_panel_悬赏金币X,Vàng thưởng: {points}
merchant_panel_X悬赏金币,{cost} Vàng thưởng
merchant_panel_兑换,Đổi
merchant_panel_返回订单,Quay lại đơn hàng
merchant_panel_兑换商品刷新中,Đang làm mới hàng đổi
merchant_panel_兑换商店下次刷新X今日Y,"Làm mới lần sau: {time}, hôm nay đã làm mới {count}/{limit} lần"
merchant_panel_兑换商店下次刷新X已达上限,"Làm mới lần sau: {time}, số lần làm mới hôm nay đã hết"
merchant_panel_刷新兑换商店,Làm mới cửa hàng đổi
merchant_panel_待解锁订单槽X,Khe đơn hàng chờ mở {slot}
merchant_panel_解锁订单槽,Mở khóa khe đơn hàng
merchant_panel_确认解锁订单槽,Xác nhận mở khóa khe đơn hàng
merchant_panel_确认消耗X解锁第Y个订单槽,Xác nhận tiêu tốn {cost} Vàng thưởng để mở khóa khe đơn hàng thứ {slot}?
merchant_panel_确认解锁,Xác nhận mở khóa
merchant_panel_取消,Hủy
merchant_panel_请先解锁前置订单槽,Vui lòng mở khóa khe đơn hàng trước
merchant_panel_完成获得X悬赏金币,Hoàn thành nhận {points} xu thưởng
merchant_panel_每日收购任务,Nhiệm vụ thu mua hàng ngày
merchant_panel_今日完成订单X_Y,Đơn hàng hôm nay đã hoàn thành: {count}/{target}
merchant_panel_X_Y已完成,{count}/{target} đã hoàn thành
merchant_panel_完成X个后解锁每日奖励,Hoàn thành {target} đơn để mở khóa phần thưởng hàng ngày
merchant_panel_领取,Nhận
merchant_panel_已领取,Đã nhận
merchant_panel_确认重置订单,Xác nhận đặt lại đơn hàng
merchant_panel_确认消耗X重置订单,Xác nhận tiêu tốn {cost} thư khế hội để đặt lại đơn hàng này?
merchant_panel_确认重置,Xác nhận đặt lại
merchant_panel_今日已重置X_Y个订单,Hôm nay đã đặt lại {count}/{limit} đơn hàng
merchant_panel_今日订单重置已达上限,Hôm nay đã hết lượt đặt lại đơn hàng
merchant_panel_订单槽X今日已完成,Khe {slot} hôm nay đã hoàn thành
merchant_panel_订单槽冷却进度X_Y,"Đang hồi chiêu: {count}/{target}, làm mới vào ngày mai"
merchant_panel_剩余X个,Còn lại: {count}