--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English
pay_page_协议正文_001,Yunhai Youchuang Game License and Service Agreement
pay_page_协议正文_002,"Applicable to Dota2 Arcade player custom maps, donation shop, and virtual benefit services"
pay_page_协议正文_003,Agreement Version
pay_page_协议正文_004,Service Provider
pay_page_协议正文_005,"Yunhai Youchuang Technology Co., Ltd."
pay_page_协议正文_006,Applicable Services
pay_page_协议正文_007,Yunhai Youchuang player custom maps and related donation shop services within the Dota2 Arcade
pay_page_协议正文_008,Effective Date
pay_page_协议正文_009,The date stated on the official release page or in-game announcement shall prevail.
pay_page_协议正文_010,"This Agreement is an agreement between Yunhai Youchuang Technology Co., Ltd. and users who use this Service, regarding Dota 2 Arcade custom maps, the sponsorship store, virtual items, and related services."
pay_page_协议正文_011,"Users are advised to read this Agreement carefully before using this Service, paying sponsorship fees, or obtaining virtual benefits. By starting to use this Service, entering a map, clicking to agree, making a payment, or receiving or using virtual benefits, users shall be deemed to have read, understood, and agreed to this Agreement."
pay_page_协议正文_012,"The terms in this Agreement concerning limitation of liability, virtual item rules, raffle ticket rules, refund and chargeback handling, account penalties, service changes and termination, and dispute resolution are of significant importance to users' rights and interests. Please read them carefully."
pay_page_协议正文_013,"By playing the game, users agree to this Agreement."
pay_page_协议正文_014,Article 1: Parties and Scope of Application
pay_page_协议正文_015,"1.1 The service provider is Yunhai Youchuang Technology Co., Ltd., hereinafter referred to as ""Yunhai Youchuang"" or ""the Company""."
pay_page_协议正文_016,"1.2 Users refer to natural persons who enter, experience, or use the player-created custom maps and related services of Yunhai Youchuang through the Dota 2 Arcade or other means approved by Yunhai Youchuang, hereinafter referred to as ""User"" or ""Player""."
pay_page_协议正文_017,"1.3 This Agreement applies to player-created custom maps, related community services, customer service, sponsorship shop, virtual items, virtual benefits, raffle tickets, monthly passes, and other value-added services provided by Yunhai Youchuang in the Dota 2 Arcade."
pay_page_协议正文_018,"1.4 Users shall also comply with the user agreements, community rules, payment rules, and Workshop or Arcade rules of the Dota 2 Arcade and other relevant third-party platforms. If this Agreement conflicts with mandatory rules of third-party platforms, the rules and laws and regulations of the third-party platforms shall prevail; Yunhai Youchuang has the right to adjust, suspend, or terminate relevant services to comply with platform rules."
pay_page_协议正文_019,Article 2 Definitions
pay_page_协议正文_020,This Service
pay_page_协议正文_021,"Refers to the player-created custom maps, in-game features, sponsorship shop, customer service, events, announcements, and related operational services provided by Yunhai Youchuang in the Dota 2 Arcade on relevant third-party platforms."
pay_page_协议正文_022,Sponsorship Shop
pay_page_协议正文_023,"Refers to the service module where users make payments on pages, channels, or game-related interfaces designated by Yunhai Youchuang, for the purpose of voluntarily sponsoring or obtaining eligibility to use specific virtual benefits."
pay_page_协议正文_024,Virtual Benefits
pay_page_协议正文_025,"Refers to the benefits obtained by users through participation in events, sponsorship, purchase, exchange, claiming, or other means, which can only be used within the specified custom map, including but not limited to attribute items, skins, lottery tickets, monthly cards, titles, effects, points, times, qualifications, etc."
pay_page_协议正文_026,Virtual Items
pay_page_协议正文_027,"Refers to character data, equipment, skins, items, resources, stats, lottery results, monthly card benefits, and other in-game data or displayed content in this service."
pay_page_协议正文_028,Lottery Ticket
