--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Russian
portal_unlock_新地图传送点,Новая точка телепорта на карте
portal_unlock_新天赋,Новый талант
portal_unlock_已解锁,Разблокировано
portal_unlock_解锁天赋高亮,Разблокировать талант <font color='#c99645'>{name}</font>
milestone_prompt_maze_task_complete_title,Цель лабиринта выполнена
milestone_prompt_maze_all_floor_lit,Все плиты активированы
milestone_prompt_maze_exit_open,Выход открыт
milestone_prompt_mg001_victory,Победа в игре
milestone_prompt_mg003_victory_title,Бильярдный вызов выполнен
milestone_prompt_mg003_victory_name,Победа в игре
milestone_prompt_mg003_victory_status,Награда разблокирована
milestone_prompt_mg004_victory_title,Определение направления завершено
milestone_prompt_mg004_victory_name,Три раунда — все верно
milestone_prompt_mg004_victory_status,Испытание пройдено