--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Vietnamese
portal_unlock_新地图传送点,Điểm dịch chuyển bản đồ mới
portal_unlock_新天赋,Thiên phú mới
portal_unlock_已解锁,Đã mở khóa
portal_unlock_解锁天赋高亮,Mở khóa thiên phú <font color='#c99645'>{name}</font>
milestone_prompt_maze_task_complete_title,Hoàn thành mục tiêu mê cung
milestone_prompt_maze_all_floor_lit,Tất cả sàn đã được bước sáng
milestone_prompt_maze_exit_open,Lối ra đã mở
milestone_prompt_mg001_victory,Chiến thắng
milestone_prompt_mg003_victory_title,Hoàn thành thử thách bi-a
milestone_prompt_mg003_victory_name,Chiến thắng
milestone_prompt_mg003_victory_status,Phần thưởng đã được mở khóa
milestone_prompt_mg004_victory_title,Hoàn thành nhận diện hướng
milestone_prompt_mg004_victory_name,Cả ba vòng đều đúng
milestone_prompt_mg004_victory_status,Vượt qua thử thách