--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Russian
rankings_纳税排行,Рейтинг налогов
rankings_交易所税额,Налог биржи
rankings_暂无刷新,Нет обновлений
rankings_冠军,Чемпион
rankings_亚军,Второе место
rankings_季军,Третье место
rankings_上期冠军,Пред. No.1
rankings_上期亚军,Пред. No.2
rankings_上期季军,Пред. No.3
rankings_玩家标识,Идентификатор игрока
rankings_累计税额,Общий налог
rankings_点击刷新获取最新榜单,"Нажмите, чтобы обновить и получить последний рейтинг"
rankings_正在向服务器请求排行榜,Запрос рейтинга к серверу...
rankings_已刷新前缀,Обновлено: 
rankings_已刷新后缀, лучших в рейтинге
rankings_排行榜请求失败,Ошибка запроса рейтинга
rankings_排行榜,Рейтинг
rankings_纳税排行榜,Рейтинг налогов
rankings_标题说明,"Запись общей суммы налога, уплаченного игроками на бирже, включая комиссию за размещение и налог на размещение ценных предметов с использованием гильдейских контрактов."
rankings_我的累计纳税,Мой общий налог
rankings_我的,Мой
rankings_刷新榜单,Обновить рейтинг
rankings_榜单列表,Список рейтингов
rankings_榜单状态,Статус рейтинга
rankings_最近刷新,Недавнее обновление 
rankings_税额,Налог
rankings_暂无排行数据,Нет данных рейтинга
rankings_暂无排行数据说明,После появления первых налоговых сделок здесь будут отображаться три лучших игрока.
rankings_名次,Место
rankings_玩家,Игрок
rankings_当前没有可展示的纳税榜单,В настоящее время нет налогового рейтинга для отображения.
rankings_空榜说明,"Вы можете нажать кнопку обновления в правом верхнем углу или подождать, пока игроки совершат налоговые сделки на бирже, чтобы просмотреть."
rankings_狩猎排行,Рейтинг охоты
rankings_狩猎积分,Очки охоты
rankings_金币排行,Рейтинг золота
rankings_持有金币,Золото в наличии
rankings_仓库价值排行,Рейтинг стоимости склада
rankings_仓库价值,Стоимость склада
rankings_每周榜,Еженедельный рейтинг
rankings_每周六12点重置,Сброс каждую субботу в 12:00
rankings_每周六12点中国时间,Каждую субботу в 12:00 (по китайскому времени)
rankings_每周日22点中国时间,Каждое воскресенье в 22:00 (по китайскому времени)
rankings_定榜时间,Время фиксации рейтинга
rankings_奖励将在定榜后稍晚发放,Награды будут выданы вскоре после фиксации рейтинга
rankings_中国时间括号,(по китайскому времени)
rankings_无,Нет
rankings_我,Я
rankings_我的排名,Мой рейтинг
rankings_徽章,Значки
rankings_纳税,Налоги
rankings_狩猎,Охота
rankings_展示标签,Метки
rankings_已展示,Показ
rankings_展示,Показ
rankings_隐藏,Скрыть
rankings_点击显示,"Нажмите, чтобы показать"
rankings_点击隐藏,"Нажмите, чтобы скрыть"
rankings_展示中,Надето
rankings_未展示,Скрыто
rankings_已满,Лимит
rankings_暂无徽章,Нет значков
rankings_身份标识提示,Занимал(а) 1-е место в рейтинге «{board}» {level} раз(а)
rankings_奖励发放,Выдача наград
rankings_刷新,Обновить
rankings_暂无排行榜数据,Нет данных рейтинга
rankings_预计奖励,Ожидаемая награда
rankings_当前没有可展示的排行榜数据,В настоящее время нет данных для отображения
rankings_可以稍后再试或手动刷新排行榜,Попробуйте позже или обновите рейтинг вручную.
rankings_暂无,Нет
rankings_当前榜,Текущий рейтинг
rankings_往期榜,Прошлые рейтинги
rankings_结算期,Период расчёта
rankings_结算时间,Время расчёта
rankings_暂无往期榜,Нет прошлых рейтингов
rankings_结算奖励,Расчётная награда
rankings_当前没有可展示的往期排行榜数据,В настоящее время нет данных прошлых рейтингов для отображения
rankings_请选择其他结算期或榜单,Выберите другой период расчёта или рейтинг.
rankings_排行榜载入中,Загрузка рейтинга
rankings_正在同步云端榜单数据,Синхронизация данных рейтинга с облаком
rankings_无尽排行,Рейтинг Бесконечности
rankings_赛季最高通关层数,Максимальный пройденный этаж в сезоне
rankings_最高层,Максимальный этаж
rankings_赛季榜,Сезонный рейтинг
rankings_赛季记录,Рекорд сезона
rankings_以最后一次刷新的榜单为准,Действует последний обновлённый рейтинг.
rankings_榜单结算中...,Рейтинг подводится...
rankings_定榜结算进行中，结算完成后将展示新一周榜单,Рейтинг подводится. Новый недельный рейтинг появится после завершения расчётов.
rankings_前100纳税总额,Сумма налогов топ-100
rankings_前三名分成,Доля топ-3
"rankings_前100名纳税总额,前3玩家瓜分10%总纳税池!",Сумма налогов топ-100 — топ-3 игрока делят 10% общего налогового пула!
rankings_前3玩家瓜分10%纳税池!,Топ-3 игроков делят 10% налогового фонда!