--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Russian
season_shop_赛季会馆,Сезонный зал
season_shop_赛季,Сезон
season_shop_赛季_s1,Сезон 1
season_shop_赛季_s2,Сезон 2
season_shop_金币,Золото
season_shop_远古币,Древние монеты
season_shop_永恒池上限,Лимит вечного пула
season_shop_永久纪念章,Постоянный памятный знак
season_shop_剩余时间,Осталось: {days} дн {hours}:{minutes}:{seconds}
season_shop_尚未确定,Пока не определено
season_shop_中国时间X,{time} (по китайскому времени)
season_shop_赛季已结束,Сезон окончен
season_shop_结算时间X,Время подведения итогов: {time}
season_shop_金币建设,Строительство за золото
season_shop_远古币研究,Исследование за древние монеты
season_shop_赛季建设副标题,План сезона
season_shop_赛季建设,Сезонное строительство
season_shop_个人记录副标题,Личный вклад
season_shop_个人贡献等级,Личный уровень вклада
season_shop_个人贡献等级机制,Механика уровня личного вклада
season_shop_个人贡献等级机制说明,"Уровень личного вклада образует один независимый множитель: наносимый урон ×(1 + 2% × уровень), получаемый урон ×(1 - 2% × уровень). Он также увеличивает базовую награду сезонными монетами."
season_shop_个人贡献加成说明,Ожидаемый расчёт: {reward} монет сезона · независимый урон +{damage}% · независимое сопротивление урону +{resistance}%
season_shop_全服建设副标题,Общесерверное строительство
season_shop_全服建设等级,Уровень общесерверного строительства
season_shop_全服建设加成说明,Монеты расчёта +{settlement}% · независимый урон +{damage}% · независимое сопротивление урону +{resistance}%
season_shop_提交资源数量,Сдать {count}
season_shop_建设贡献增加,Вклад в строительство +{count}
season_shop_提交中,Сдача...
season_shop_提交资源,Сдать ресурсы
season_shop_建设已结束,Строительство завершено
season_shop_赛季结算,Расчёт сезона
season_shop_已领取,Получено
season_shop_预计可领取,Ожидается к получению
season_shop_赛季币,Монеты сезона
season_shop_领取中,Получение...
season_shop_已结算,Расчёт завершён
season_shop_领取结算,Получить расчёт
season_shop_结束后可领取,Доступно после завершения
season_shop_当前个人贡献等级,Текущий уровень личного вклада
season_shop_贡献等级兑换说明,Повышение уровня вклада открывает награды · Цена награды увеличивается на 25% после каждого обмена
season_shop_兑换中,Обмен...
season_shop_已兑换完,Обменено
season_shop_贡献等级解锁,Открывается на уровне вклада {level}
season_shop_赛季币不足,Недостаточно монет сезона
season_shop_立即兑换,Обменять сейчас
season_shop_个人贡献等级要求,Личный вклад LV.{level}
season_shop_本赛季限购,Лимит этого сезона: {purchased}/{limit}
season_shop_不限购,Без лимита
season_shop_实时贡献副标题,Вклад в реальном времени
season_shop_赛季贡献排行,Рейтинг вклада за сезон
season_shop_赛季贡献排行说明,"Рейтинг загружается один раз при открытии. Затем используйте ручное обновление; после окончания сезона места фиксируются, а при получении итоговых наград начисляются дополнительные сезонные монеты."
season_shop_刷新排行,Обновить рейтинг
season_shop_刷新排行倒计时,Обновить ({seconds} с)
season_shop_我的实时排名,Мой текущий рейтинг
season_shop_未上榜,Вне рейтинга
season_shop_我的排名详情,Вклад: {score} · бонус {reward} монет сезона
season_shop_排名,Место
season_shop_玩家,Игрок
season_shop_贡献积分,Очки вклада
season_shop_结算额外奖励,Доп. награда за расчёт
season_shop_冠军,Чемпион
season_shop_亚军,Вице-чемпион
season_shop_季军,Третье место
season_shop_暂无贡献记录,"Записей о вкладе пока нет. Выполните одно строительство, чтобы попасть в таблицу лидеров."
season_shop_赛季纪念章,Памятная медаль сезона
season_shop_赛季纪念章说明,Медаль навсегда сохраняется в аккаунте и фиксирует участие и вклад в каждом сезоне.
season_shop_第一赛季开拓纪念章,Памятная медаль первопроходца второго сезона
season_shop_赛季贡献纪念章,Памятная медаль за вклад в сезоне {season}
season_shop_等级X,Уровень {level}
season_shop_尚未获得赛季纪念章,Памятная медаль сезона ещё не получена. Её можно получить после завершения сезона или в сезонном магазине.
season_shop_赛季征程副标题,Сезонный путь
season_shop_距赛季结算,До завершения сезона: {time}
season_shop_账号赛季币,Сезонные монеты аккаунта
season_shop_刷新,Обновить
season_shop_赛季档案副标题,Профиль сезона
season_shop_赛季档案,Профиль сезона
season_shop_贡献排行,Рейтинг вклада
season_shop_赛季商店,Сезонный магазин
season_shop_纪念章数量,Медали: {count}
season_shop_身份_tax,Налог
season_shop_身份_hunting,Охота
season_shop_身份_gold,Золото
season_shop_身份_warehouse_value,Ценность склада
season_shop_身份_sponsor,Уровень спонсорства
season_shop_赞助身份提示,{board} {level}
season_shop_排行身份提示,Знак таблицы лидеров {board} · место {level}