--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English
msg_背包_背包没有可用空位_无法脱下,No free slots in backpack; cannot unequip.
msg_背包_背包容量不足_物品_已掉落在英雄附近,Backpack is full; item {name} has been dropped near the hero.
msg_背包_背包已满_邮件附件_已掉落在英雄附近,Backpack is full; mail attachment {itemName} has been dropped near the hero.
msg_背包_次级英雄复制物品不能进入背包,Secondary hero copied items cannot enter the backpack.
msg_背包_次级英雄复制物品不能拾取,Secondary hero copied items cannot be picked up.
msg_背包_次级英雄复制物品不能移动到背包,Secondary hero copied items cannot be moved to the backpack.
msg_背包_次级英雄复制物品不能移动到垃圾桶,Secondary hero copied items cannot be moved to the trash.
msg_背包_该物品不属于你,This item does not belong to you.
msg_背包_该物品正被重铸占用,This item is currently being reforged.
msg_背包_晕眩或死亡状态下无法丢弃物品,Cannot drop items while stunned or dead.
msg_仓库_仓库空间不足_剩余物品未存入,Not enough warehouse space; remaining items were not stored.
msg_仓库_存入成功,Stored successfully.
msg_宠物_背包和仓库都没有空间_无法放回原宠物蛋,No space in backpack or warehouse; cannot return the pet egg.
msg_宠物_背包和仓库都没有空间_无法卸下宠物,No space in backpack or warehouse; cannot remove the pet.
msg_宠物_宠物蛋装备失败,Failed to equip pet egg.
msg_宠物_宠物拾取名单操作错误,Invalid pet pickup list operation.
msg_宠物_宠物拾取名单类型错误,Invalid pet pickup list type.
msg_宠物_宠物拾取最多设置个物品,Pet pickup list {listName} can set up to {limit} items.
msg_宠物_该物品不能加入宠物拾取名单,This item cannot be added to the pet pickup list.
msg_宠物_该物品不是宠物蛋,This item is not a pet egg.
msg_宠物_获得宠物,Pet obtained: {value}
msg_宠物_你尚未拥有该宠物,You do not own this pet yet.
msg_宠物_请将宠物蛋拖拽到宠物槽上阵,Please drag the pet egg into the pet slot to deploy it.
msg_宠物_未能创建宠物蛋,Failed to create pet egg.
msg_宠物_未找到对应的宠物蛋,No matching pet egg found.
msg_宠物_需要装备5级以上宠物才能设置拾取名单,Requires an equipped pet of level 5 or above to set the pickup list.
msg_宠物_已切换出战宠物,Switched active pet: {value}
msg_传送门_该地图已开启为难度_请选择对应传送,This map is open at {value} difficulty. Please choose the matching portal.
msg_传送门_金币不足,Insufficient gold!
msg_传送门_金币不足_无法支付传送费用_已返回基地,Insufficient gold to pay the portal fee. Returned to base.
msg_传送门_需要先从该地图成功撤离一次才能使用传送,You must successfully extract from this map once before you can use the portal.
msg_传送门_英雄未就绪_无法进入地图,Hero not ready. Cannot enter the map.
msg_兑换码_背包或仓库空间不足_暂时无法发放奖励,Insufficient backpack or warehouse space. Rewards cannot be granted at this time.
msg_兑换码_兑换码不存在或已失效,The redemption code does not exist or has expired.
msg_兑换码_该兑换码奖励配置异常_请联系管理员,The reward configuration for this redemption code is abnormal. Please contact an administrator.
msg_兑换码_该兑换码已经使用过了,This redemption code has already been used.
msg_兑换码_请输入有效兑换码,Please enter a valid redemption code.
msg_房间_材料已提交,Materials submitted.
msg_房间_传送失败_已离开确认范围,Portal failed. You have left the confirmation area.
msg_房间_没有可提交的材料,No materials to submit.
msg_房间_请靠近信号塔后再提交材料,Please move closer to the signal tower before submitting materials.
msg_房间_提交材料失败,Failed to submit materials.
msg_房间_信号塔尚未启用,The signal tower is not yet activated.
msg_会馆_未解锁传功能,Teleport function not unlocked!
msg_会馆_未解锁会馆商人功能,Guild merchant function not unlocked!
msg_会馆_未解锁交易所功能,Exchange function not unlocked!
msg_会馆_未解锁炼金系统,Alchemy system not unlocked!
msg_会馆_未解锁远古商店,Ancient shop not unlocked!
msg_教程_别灰心_记得及时使用药剂,Don't lose heart—remember to use your potions in time.
msg_教程_当前存档已完成新手教程,This save has already completed the tutorial.
msg_教程_当前无法切换新手职业_请重新选择,"Unable to switch the beginner class right now, please select again."
msg_教程_当前职业清理失败_请重新选择,"Failed to clear the current class, please select again."
msg_教程_该挑战已经完成_请选择其他难度,"This challenge has already been completed, please choose a different difficulty."
msg_教程_奖励发放失败_请整理背包后重新挑战,"{displayName} reward delivery failed, please organize your backpack and try the challenge again."
msg_教程_教程补给恢复失败_请整理背包后重试,"Failed to restore tutorial supplies, please organize your backpack and try again."
msg_教程_教程房间已完成,Tutorial room complete.
msg_教程_教程进度写入失败_请重新进入撤离点重试,"Failed to save tutorial progress, please re-enter the extraction point and try again."
msg_教程_教程完成状态写入失败_请再次从_M001_撤离,"Failed to save tutorial completion status, please extract from M001 again."
msg_教程_教程中暂时不会死亡,You cannot die during the tutorial for now.
msg_教程_首通记录写入失败_请重新挑战,"{displayName} first-clear record save failed, please try the challenge again."
msg_教程_挑战奖励发放失败_未找到本轮临时职业,Challenge reward delivery failed: temporary class for this round not found.
msg_教程_新手教程测试已完成,Tutorial test completed.
msg_教程_新手教程初始化超时_请重新进入游戏,Tutorial initialization timed out. Please re-enter the game.
msg_教程_新手教程已完成,Tutorial completed.
msg_教程_新手职业创建失败_请重新选择,Failed to create starter class. Please choose again.
msg_教程_已进入新手教程房间,You have entered the tutorial room.
msg_教程_M001_教程进度写入失败_请重新进入_M001,M001: Failed to save tutorial progress. Please re-enter M001.
msg_炼金_背包和仓库已满_物品已掉落在英雄附近,Backpack and stash are full. Items have been dropped near your hero.
msg_炼金_背包或仓库中没有该材料,Material not found in backpack or stash.
