--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Russian
msg_背包_背包没有可用空位_无法脱下,"В инвентаре нет свободных мест, невозможно снять."
msg_背包_背包容量不足_物品_已掉落在英雄附近,"Недостаточно места в инвентаре, предмет {name} выпал рядом с героем."
msg_背包_背包已满_邮件附件_已掉落在英雄附近,"Инвентарь полон, вложение письма {itemName} выпало рядом с героем."
msg_背包_次级英雄复制物品不能进入背包,Скопированные предметы второстепенного героя не могут попасть в инвентарь.
msg_背包_次级英雄复制物品不能拾取,Скопированные предметы второстепенного героя нельзя подобрать.
msg_背包_次级英雄复制物品不能移动到背包,Скопированные предметы второстепенного героя нельзя переместить в инвентарь.
msg_背包_次级英雄复制物品不能移动到垃圾桶,Скопированные предметы второстепенного героя нельзя переместить в корзину.
msg_背包_该物品不属于你,Этот предмет не принадлежит вам.
msg_背包_该物品正被重铸占用,Этот предмет занят перековкой.
msg_背包_晕眩或死亡状态下无法丢弃物品,Нельзя выбросить предмет в состоянии оглушения или смерти.
msg_仓库_仓库空间不足_剩余物品未存入,"Недостаточно места на складе, остальные предметы не сохранены."
msg_仓库_存入成功,Успешно сохранено.
msg_宠物_背包和仓库都没有空间_无法放回原宠物蛋,"Нет места ни в инвентаре, ни на складе, невозможно вернуть яйцо питомца."
msg_宠物_背包和仓库都没有空间_无法卸下宠物,"Нет места ни в инвентаре, ни на складе, невозможно снять питомца."
msg_宠物_宠物蛋装备失败,Не удалось экипировать яйцо питомца.
msg_宠物_宠物拾取名单操作错误,Ошибка операции со списком подбора питомца.
msg_宠物_宠物拾取名单类型错误,Неверный тип списка подбора питомца.
msg_宠物_宠物拾取最多设置个物品,В списке подбора питомца {listName} можно указать не более {limit} предметов.
msg_宠物_该物品不能加入宠物拾取名单,Этот предмет нельзя добавить в список подбора питомца.
msg_宠物_该物品不是宠物蛋,Этот предмет не является яйцом питомца.
msg_宠物_获得宠物,Получен питомец: {value}
msg_宠物_你尚未拥有该宠物,У вас ещё нет этого питомца.
msg_宠物_请将宠物蛋拖拽到宠物槽上阵,"Перетащите яйцо питомца в слот питомца, чтобы активировать его."
msg_宠物_未能创建宠物蛋,Не удалось создать яйцо питомца.
msg_宠物_未找到对应的宠物蛋,Соответствующее яйцо питомца не найдено.
msg_宠物_需要装备5级以上宠物才能设置拾取名单,Для настройки списка подбора требуется питомец 5-го уровня или выше.
msg_宠物_已切换出战宠物,Боевой питомец изменён: {value}
msg_传送门_该地图已开启为难度_请选择对应传送,"Эта карта открыта на сложности {value}, выберите соответствующий портал."
msg_传送门_金币不足,Недостаточно золота!
msg_传送门_金币不足_无法支付传送费用_已返回基地,"Недостаточно золота для оплаты телепортации, вы возвращены на базу."
msg_传送门_需要先从该地图成功撤离一次才能使用传送,"Сначала необходимо успешно эвакуироваться с этой карты, чтобы использовать портал!"
msg_传送门_英雄未就绪_无法进入地图,"Герой не готов, невозможно войти на карту."
msg_兑换码_背包或仓库空间不足_暂时无法发放奖励,"Недостаточно места в инвентаре или на складе, награда временно не может быть выдана."
msg_兑换码_兑换码不存在或已失效,Код активации не существует или просрочен.
msg_兑换码_该兑换码奖励配置异常_请联系管理员,"Конфигурация награды для этого кода активации повреждена, свяжитесь с администратором."
msg_兑换码_该兑换码已经使用过了,Этот код активации уже был использован.
msg_兑换码_请输入有效兑换码,Введите действующий код активации.
msg_房间_材料已提交,Материалы переданы.
msg_房间_传送失败_已离开确认范围,"Телепортация не удалась, вы вышли из зоны подтверждения."
msg_房间_没有可提交的材料,Нет материалов для передачи.
msg_房间_请靠近信号塔后再提交材料,"Подойдите к вышке связи, чтобы передать материалы."
msg_房间_提交材料失败,Не удалось передать материалы.
msg_房间_信号塔尚未启用,Вышка связи ещё не активирована.
msg_会馆_未解锁传功能,Функция телепортации не разблокирована!
msg_会馆_未解锁会馆商人功能,Торговец гильдии не разблокирован!
msg_会馆_未解锁交易所功能,Биржа не разблокирована!
msg_会馆_未解锁炼金系统,Алхимия не разблокирована!
msg_会馆_未解锁远古商店,Древний магазин не разблокирован!
msg_教程_别灰心_记得及时使用药剂,"Не унывай, не забывай вовремя использовать зелья."
msg_教程_当前存档已完成新手教程,Текущее сохранение уже прошло обучение.
msg_教程_当前无法切换新手职业_请重新选择,Сейчас невозможно сменить начальный класс. Выберите заново.
msg_教程_当前职业清理失败_请重新选择,Не удалось очистить текущий класс. Выберите заново.
msg_教程_该挑战已经完成_请选择其他难度,Это испытание уже пройдено. Выберите другую сложность.
msg_教程_奖励发放失败_请整理背包后重新挑战,{displayName}: не удалось выдать награду. Приведите инвентарь в порядок и повторите попытку.
msg_教程_教程补给恢复失败_请整理背包后重试,Не удалось восстановить припасы обучения. Приведите инвентарь в порядок и повторите попытку.
msg_教程_教程房间已完成,Обучающая комната завершена.
msg_教程_教程进度写入失败_请重新进入撤离点重试,Не удалось сохранить прогресс обучения. Войдите в точку эвакуации и попробуйте снова.
msg_教程_教程完成状态写入失败_请再次从_M001_撤离,Не удалось сохранить статус завершения обучения. Эвакуируйтесь из M001 ещё раз.
msg_教程_教程中暂时不会死亡,Во время обучения смерть временно не действует.
msg_教程_首通记录写入失败_请重新挑战,{displayName}: не удалось сохранить рекорд первого прохождения. Повторите испытание.
msg_教程_挑战奖励发放失败_未找到本轮临时职业,Не удалось выдать награду за испытание: временный класс этого раунда не найден.
