--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Vietnamese
msg_背包_背包没有可用空位_无法脱下,"Ba lô không có chỗ trống, không thể tháo ra."
msg_背包_背包容量不足_物品_已掉落在英雄附近,"Dung lượng ba lô không đủ, vật phẩm {name} đã rơi gần anh hùng."
msg_背包_背包已满_邮件附件_已掉落在英雄附近,"Ba lô đã đầy, vật phẩm đính kèm thư {itemName} đã rơi gần anh hùng."
msg_背包_次级英雄复制物品不能进入背包,Vật phẩm sao chép từ anh hùng phụ không thể vào ba lô.
msg_背包_次级英雄复制物品不能拾取,Vật phẩm sao chép từ anh hùng phụ không thể nhặt.
msg_背包_次级英雄复制物品不能移动到背包,Vật phẩm sao chép từ anh hùng phụ không thể di chuyển vào ba lô.
msg_背包_次级英雄复制物品不能移动到垃圾桶,Vật phẩm sao chép từ anh hùng phụ không thể di chuyển vào thùng rác.
msg_背包_该物品不属于你,Vật phẩm này không thuộc về bạn.
msg_背包_该物品正被重铸占用,Vật phẩm này đang được tái chế.
msg_背包_晕眩或死亡状态下无法丢弃物品,Không thể vứt bỏ vật phẩm khi bị choáng hoặc đã chết.
msg_仓库_仓库空间不足_剩余物品未存入,"Kho không đủ chỗ, vật phẩm còn lại chưa được lưu."
msg_仓库_存入成功,Lưu trữ thành công.
msg_宠物_背包和仓库都没有空间_无法放回原宠物蛋,"Ba lô và kho đều không có chỗ, không thể đặt lại trứng thú cưng ban đầu."
msg_宠物_背包和仓库都没有空间_无法卸下宠物,"Ba lô và kho đều không có chỗ, không thể gỡ thú cưng."
msg_宠物_宠物蛋装备失败,Trang bị trứng thú cưng thất bại.
msg_宠物_宠物拾取名单操作错误,Thao tác danh sách nhặt của thú cưng bị lỗi.
msg_宠物_宠物拾取名单类型错误,Loại danh sách nhặt của thú cưng bị lỗi.
msg_宠物_宠物拾取最多设置个物品,Danh sách nhặt {listName} của thú cưng chỉ có thể đặt tối đa {limit} vật phẩm.
msg_宠物_该物品不能加入宠物拾取名单,Vật phẩm này không thể thêm vào danh sách nhặt của thú cưng.
msg_宠物_该物品不是宠物蛋,Vật phẩm này không phải trứng thú cưng.
msg_宠物_获得宠物,Nhận được thú cưng: {value}
msg_宠物_你尚未拥有该宠物,Bạn chưa sở hữu thú cưng này.
msg_宠物_请将宠物蛋拖拽到宠物槽上阵,Hãy kéo trứng thú cưng vào ô thú cưng để ra trận.
msg_宠物_未能创建宠物蛋,Không thể tạo trứng thú cưng.
msg_宠物_未找到对应的宠物蛋,Không tìm thấy trứng thú cưng tương ứng.
msg_宠物_需要装备5级以上宠物才能设置拾取名单,Cần trang bị thú cưng từ cấp 5 trở lên để đặt danh sách nhặt.
msg_宠物_已切换出战宠物,Đã chuyển thú cưng ra trận: {value}
msg_传送门_该地图已开启为难度_请选择对应传送,"Bản đồ này đã mở ở độ khó {value}, hãy chọn cổng tương ứng."
msg_传送门_金币不足,Không đủ vàng!
msg_传送门_金币不足_无法支付传送费用_已返回基地,"Không đủ vàng, không thể trả phí dịch chuyển, đã quay về căn cứ."
msg_传送门_需要先从该地图成功撤离一次才能使用传送,Cần phải rút lui thành công từ bản đồ này một lần trước khi có thể sử dụng cổng dịch chuyển!
msg_传送门_英雄未就绪_无法进入地图,"Anh hùng chưa sẵn sàng, không thể vào bản đồ."
msg_兑换码_背包或仓库空间不足_暂时无法发放奖励,"Ba lô hoặc kho không đủ chỗ, tạm thời không thể phát thưởng."
msg_兑换码_兑换码不存在或已失效,Mã đổi thưởng không tồn tại hoặc đã hết hạn.
msg_兑换码_该兑换码奖励配置异常_请联系管理员,"Cấu hình phần thưởng của mã đổi thưởng này bất thường, vui lòng liên hệ quản trị viên."
msg_兑换码_该兑换码已经使用过了,Mã đổi thưởng này đã được sử dụng.
msg_兑换码_请输入有效兑换码,Vui lòng nhập mã đổi thưởng hợp lệ.
msg_房间_材料已提交,Nguyên liệu đã được gửi.
msg_房间_传送失败_已离开确认范围,"Dịch chuyển thất bại, đã rời khỏi phạm vi xác nhận."
msg_房间_没有可提交的材料,Không có nguyên liệu nào để gửi.
msg_房间_请靠近信号塔后再提交材料,Hãy đến gần tháp tín hiệu rồi mới gửi nguyên liệu.
msg_房间_提交材料失败,Gửi nguyên liệu thất bại.
msg_房间_信号塔尚未启用,Tháp tín hiệu chưa được kích hoạt.
msg_会馆_未解锁传功能,Chưa mở khóa chức năng dịch chuyển!
msg_会馆_未解锁会馆商人功能,Chưa mở khóa chức năng thương nhân hội quán!
msg_会馆_未解锁交易所功能,Chưa mở khóa chức năng giao dịch!
msg_会馆_未解锁炼金系统,Chưa mở khóa hệ thống luyện kim!
msg_会馆_未解锁远古商店,Chưa mở khóa cửa hàng cổ đại!
msg_教程_别灰心_记得及时使用药剂,"Đừng nản lòng, hãy nhớ dùng thuốc đúng lúc."
msg_教程_当前存档已完成新手教程,Hồ sơ hiện tại đã hoàn thành hướng dẫn tân thủ.
msg_教程_当前无法切换新手职业_请重新选择,"Hiện không thể chuyển lớp tân thủ, vui lòng chọn lại."
msg_教程_当前职业清理失败_请重新选择,"Xóa dữ liệu lớp hiện tại thất bại, vui lòng chọn lại."
msg_教程_该挑战已经完成_请选择其他难度,"Thử thách này đã hoàn thành, vui lòng chọn độ khó khác."
