--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Russian
shop_mall_点券赞助,Пополнение очков
shop_mall_兑换码,Промокод
shop_mall_选择支付方式,Выберите способ оплаты
shop_mall_未查询到支付结果,Результат оплаты не найден!
shop_mall_赞助商城,Донат-магазин
shop_mall_输入兑换码,Введите промокод
shop_mall_兑换商店,Обменный магазин
shop_mall_普通兑换,Обычный обмен
shop_mall_会员兑换,Обмен для участников
shop_mall_暂无可兑换,Нет доступных товаров
shop_mall_月卡专属,Эксклюзив для подписчиков
shop_mall_需月卡,Требуется месячная подписка
shop_mall_永久卡专属,Эксклюзив для постоянных членов
shop_mall_需永久卡,Требуется постоянная карта
shop_mall_暂无商品,В этом сезоне товаров нет
shop_mall_剩余,Осталось
shop_mall_已售罄,Распродано
shop_mall_宝藏,Тайное сокровище
shop_mall_会员特权,Привилегии участника
shop_mall_微信支付,WeChat Pay
shop_mall_支付宝支付,Alipay
shop_mall_赞助,Пополнить
shop_mall_刷新,Обновить
shop_mall_当前点券,Текущие очки
shop_mall_礼包商城,Магазин наборов
shop_mall_秘宝,Тайное сокровище
shop_mall_扩展包,Расширение
shop_mall_礼包,Набор
shop_mall_精选礼包,Избранный набор
shop_mall_精选礼包_desc,"Припасы, сувениры и усиления для следующей битвы — избранный набор поможет вам быстрее встать на путь к трону."
shop_mall_当前上架礼包,Текущие наборы в продаже
shop_mall_购买成功,Покупка успешна
shop_mall_礼包内容,Содержимое набора
shop_mall_立即购买,Купить сейчас
shop_mall_限购,Лимит
shop_mall_次,раз
shop_mall_行会礼包,Подарочный набор гильдии
shop_mall_行会图册,Альбом гильдии
shop_mall_元,юань
shop_mall_获取订单中,Получение заказа...
shop_mall_查询支付结果,Проверка результата оплаты...
shop_mall_支付成功,Оплата успешна!
shop_mall_关闭,Закрыть
shop_mall_取消,Отмена
shop_mall_我已支付,Я оплатил
shop_mall_到账延迟提示,*При задержке зачисления попробуйте вручную обновить баллы
shop_mall_道具商店,Магазин предметов
shop_mall_道具商店_desc,Выбирайте понравившиеся предметы!
shop_mall_礼包奖励_preview,Награды набора
shop_mall_包装纸,Обёрточная бумага
shop_mall_包装纸_desc,Красивая бумага для упаковки предметов в подарок
shop_mall_冲刺礼包,Стартовый набор
shop_mall_冲刺礼包_desc,"Отличный подарок к открытию сервера, временная скидка!"
shop_item_7_desc,Получайте двойное золото в течение некоторого времени
shop_mall_月卡,Месячная карта
shop_mall_月卡_desc,Ежедневно: +5 договоров гильдии.
shop_mall_永久卡,Постоянная карта
shop_mall_永久卡_desc,Навсегда: 1 таинственный ключ ежедневно.
shop_mall_购买,Купить
shop_mall_领取,Забрать
shop_mall_今日已领,Сегодня забрано
shop_mall_未开通,Не активировано
shop_mall_今日待领,Сегодня можно забрать
shop_mall_购买激活,Купить и активировать
shop_mall_月卡奖励提示_待领,"Разблокировано, не забудьте забрать сегодняшнюю награду от месячной карты"
shop_mall_奖励提示_已领,"Награда получена, завтра можно будет получить снова"
shop_mall_月卡奖励提示_未激活,После покупки месячного абонемента можно ежедневно получать 5 наградных предметов.
shop_mall_永久卡奖励提示_待领,"Разблокировано, не забудьте получить сегодняшнюю награду постоянной карты."
shop_mall_永久卡奖励提示_未激活,После покупки постоянной карты можно ежедневно получать 1 наградной предмет.
shop_mall_月卡有效期,Срок действия месячного абонемента
shop_mall_再次购买延长月卡,Повторная покупка продлевает срок действия месячного абонемента.
shop_mall_上次到期时间,Время последнего истечения
shop_mall_月卡已过期,Месячный абонемент истёк
shop_mall_再次购买,Купить снова
shop_mall_立即开通,Активировать сейчас
shop_mall_生效中,Активен
shop_mall_已到期,Истёк
shop_mall_有效期至,Действителен до: {time}
shop_mall_月卡特权_背包,+5 дополнительных ячеек рюкзака
shop_mall_月卡特权_幸运,+30 к удаче
shop_mall_月卡特权_商店商品数量,+4 товара в магазине
shop_mall_每日可领取,Можно получать ежедневно
shop_mall_永久卡特权_背包,+5 дополнительных ячеек рюкзака
shop_mall_永久卡特权_幸运,+30 к удаче
shop_mall_永久卡特权_仓库,+50 к лимиту склада
shop_mall_品质普通,Обычный
shop_mall_品质优秀,Отличный
shop_mall_品质稀有,Редкий
shop_mall_品质史诗,Эпический
shop_mall_品质传奇,Легендарный
shop_mall_品质神话,Мифический
shop_mall_类型装备,Снаряжение
shop_mall_类型配方,Рецепт
shop_mall_类型特殊,Особый
shop_mall_类型宝石,Самоцвет
shop_mall_类型药剂,Зелье
shop_mall_类型材料,Материал
shop_mall_物品等级,Уровень
shop_mall_物品数量,Количество
shop_mall_基础版,Базовая версия
shop_mall_豪华版,Премиум-версия
shop_mall_三张全新地图,3 новые карты
shop_mall_末影秘境新材料,Новые материалы из Тайников Эндера
shop_mall_全新装备图纸,Новые чертежи снаряжения
shop_mall_新天赋树,Новое дерево талантов
shop_mall_末影秘境,Тайники Эндера
shop_mall_末影秘境副标题,"Расширение «Тайники Эндера», исследуйте новый мир."
shop_mall_基础版描述,"При покупке вы получаете Эндер-контракт, используйте его, чтобы разблокировать базовые возможности расширения:<br>1. Разблокируйте 3 новые карты: «Громовая гора Эндера», «Храм Эндера», «Храм желаний».<br>2. Новые материалы из Тайников Эндера.<br>3. Разблокируйте дерево талантов Эндера.<br>4. При повторной покупке можно продать только на бирже."
