--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Vietnamese
signal_tower_传送点已完成校准,Điểm dịch chuyển đã hiệu chỉnh xong
signal_tower_无需材料可直接激活,"Không cần nguyên liệu, có thể kích hoạt trực tiếp"
signal_tower_传送权已激活,Quyền dịch chuyển đã được kích hoạt
signal_tower_材料齐备可激活直传,"Nguyên liệu đầy đủ, có thể kích hoạt dịch chuyển trực tiếp"
signal_tower_提交材料激活直传,Nộp nguyên liệu để kích hoạt dịch chuyển trực tiếp
signal_tower_之后可直接传送至该区域,Sau đó có thể dịch chuyển trực tiếp đến khu vực này
signal_tower_全部材料已满足提交后立即开启传送权限,"Tất cả nguyên liệu đã đủ, sau khi nộp sẽ mở quyền dịch chuyển ngay lập tức"
signal_tower_已激活,Đã kích hoạt
signal_tower_提交材料,Nộp nguyên liệu
signal_tower_材料不足,Thiếu nguyên liệu
signal_tower_地图信号塔,Tháp tín hiệu bản đồ
signal_tower_已解锁,Đã mở khóa
signal_tower_可激活,Có thể kích hoạt
signal_tower_待补给,Chờ tiếp tế
signal_tower_校准进度,Tiến độ hiệu chỉnh
signal_tower_所需材料,Nguyên liệu cần
signal_tower_无需材料,Không cần nguyên liệu
signal_tower_已备齐,Đã đủ
signal_tower_已提交,Đã nộp
signal_tower_该传送点不需要额外材料可直接激活,"Điểm dịch chuyển này không cần nguyên liệu phụ, có thể kích hoạt trực tiếp."
signal_tower_激活后永久生效,Sau khi kích hoạt có hiệu lực vĩnh viễn
signal_tower_当前地图已记录为可传送区域,Bản đồ hiện tại đã được ghi nhận là khu vực có thể dịch chuyển.
signal_tower_提交材料会消耗背包中的对应物品并解锁该区域直传,Nộp nguyên liệu sẽ tiêu hao vật phẩm tương ứng trong túi đồ và mở khóa dịch chuyển trực tiếp đến khu vực này.
signal_tower_关闭,Đóng
signal_tower_X项材料就绪,{ready}/{total} mục nguyên liệu đã sẵn sàng
signal_tower_仍缺少X份材料,Vẫn thiếu {count} nguyên liệu
signal_tower_缺少X,Thiếu {count}
signal_tower_本次提交X缺少Y,"Lần nộp này {submit}, thiếu {missing}"