--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Russian
talent_tree_已解锁,Разблокировано
talent_tree_未解锁,Не разблокировано
talent_tree_属性详情,Детали атрибутов
talent_tree_天赋树属性详情,Детали атрибутов дерева талантов
talent_tree_已研究天赋,Изученные таланты
talent_tree_解锁百分比,Процент разблокировки
talent_tree_属性种类,Тип атрибута
talent_tree_属性,Атрибут
talent_tree_已获得总可得,Получено / Всего доступно
talent_tree_解锁率,Уровень разблокировки
talent_tree_该天赋树暂无可汇总的属性收益,В этом дереве талантов пока нет суммируемых бонусов атрибутов
talent_tree_天赋研究,Исследование талантов
talent_tree_即将完成,Скоро завершится...
talent_tree_开始研究,Начать исследование
talent_tree_来源天赋进度,Источник талантов: {unlocked}/{total}
talent_tree_研究时间X秒,Время исследования: {seconds} сек
talent_tree_剩余X秒,Осталось {seconds} сек
talent_tree_斧王天赋,Таланты Аска
talent_tree_刺客天赋,Таланты ассасина
talent_tree_法师天赋,Таланты мага
talent_tree_attribute_attack_lifesteal,Вампиризм атак
talent_tree_attribute_all_stats,Все атрибуты
talent_tree_attribute_attack_damage,Урон атаки
talent_tree_attribute_magic_resistance,Сопротивление магии
talent_tree_attribute_mana,Мана
talent_tree_attribute_move_speed,Скорость передвижения
talent_tree_attribute_experience_gain,Получение опыта
talent_tree_attribute_evasion,Уклонение
talent_tree_attribute_item_slot_unlock,Разблокировка слота инвентаря
talent_tree_attribute_magical_damage,Магический урон
talent_tree_attribute_magical_lifesteal,Магический вампиризм
talent_tree_attribute_lifesteal_amplification,Усиление вампиризма
talent_tree_attribute_crafting_speed,Скорость крафта
talent_tree_attribute_mana_regen,Восстановление маны
talent_tree_attribute_teleport,Функция телепортации
talent_tree_attribute_war_tree_unlock,Разблокировка военного дерева талантов
talent_tree_attribute_crafting_tree_unlock,Разблокировка дерева талантов крафта
talent_tree_attribute_view_distance,Радиус обзора
talent_tree_attribute_physical_lifesteal,Физический вампиризм
talent_tree_attribute_omni_lifesteal,Универсальный вампиризм
talent_tree_attribute_warehouse_limit,Лимит склада