--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Vietnamese
talent_tree_已解锁,Đã mở khóa
talent_tree_未解锁,Chưa mở khóa
talent_tree_属性详情,Chi tiết thuộc tính
talent_tree_天赋树属性详情,Chi tiết thuộc tính cây tài năng
talent_tree_已研究天赋,Tài năng đã nghiên cứu
talent_tree_解锁百分比,Phần trăm mở khóa
talent_tree_属性种类,Loại thuộc tính
talent_tree_属性,Thuộc tính
talent_tree_已获得总可得,Đã nhận / Tổng nhận
talent_tree_解锁率,Tỉ lệ mở khóa
talent_tree_该天赋树暂无可汇总的属性收益,Cây tài năng này hiện chưa có lợi ích thuộc tính tổng hợp
talent_tree_天赋研究,Nghiên cứu tài năng
talent_tree_即将完成,Sắp hoàn thành...
talent_tree_开始研究,Bắt đầu nghiên cứu
talent_tree_来源天赋进度,Tiến độ tài năng nguồn: {unlocked}/{total}
talent_tree_研究时间X秒,Thời gian nghiên cứu: {seconds} giây
talent_tree_剩余X秒,Còn lại {seconds} giây
talent_tree_斧王天赋,Thiên phú Axe
talent_tree_刺客天赋,Thiên phú Sát Thủ
talent_tree_法师天赋,Thiên phú Pháp Sư
talent_tree_attribute_attack_lifesteal,Hút máu tấn công
talent_tree_attribute_all_stats,Tất cả thuộc tính
talent_tree_attribute_attack_damage,Sát thương tấn công
talent_tree_attribute_magic_resistance,Kháng phép
talent_tree_attribute_mana,Năng lượng
talent_tree_attribute_move_speed,Tốc độ di chuyển
talent_tree_attribute_experience_gain,Nhận kinh nghiệm
talent_tree_attribute_evasion,Né tránh
talent_tree_attribute_item_slot_unlock,Mở khóa ô vật phẩm
talent_tree_attribute_magical_damage,Sát thương phép
talent_tree_attribute_magical_lifesteal,Hút máu phép
talent_tree_attribute_lifesteal_amplification,Tăng cường hút máu
talent_tree_attribute_crafting_speed,Tốc độ chế tạo
talent_tree_attribute_mana_regen,Hồi mana
talent_tree_attribute_teleport,Chức năng dịch chuyển
talent_tree_attribute_war_tree_unlock,Mở khóa cây tài năng chiến tranh
talent_tree_attribute_crafting_tree_unlock,Mở khóa cây tài năng thợ thủ công
talent_tree_attribute_view_distance,Tầm nhìn
talent_tree_attribute_physical_lifesteal,Hút máu vật lý
talent_tree_attribute_omni_lifesteal,Hút máu toàn diện
talent_tree_attribute_warehouse_limit,Giới hạn kho