--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Russian
wearables_已拥有,Уже есть
wearables_未拥有,Не имеется
wearables_已装备,Экипировано
wearables_默认饰品,Предмет по умолчанию
wearables_试穿中,Примерка
wearables_重置,Сбросить
wearables_应用,Применить
wearables_应用中,Применяется
wearables_装备,Экипировать
wearables_恢复默认,Восстановить стандартное
wearables_卸下,Снять
wearables_稀有度,Редкость:
wearables_槽位,Слот:
wearables_属性加成,Бонус к атрибутам
wearables_拥有后生效说明,"Действует на этот класс после получения, независимо от того, надет ли предмет."
wearables_无属性加成,Нет бонуса к атрибутам.
wearables_未知饰品,Неизвестный предмет
wearables_你收到了一件饰品,Вы получили предмет!
wearables_第,№
wearables_接受,Принять
wearables_全部接受,Принять все
wearables_装备状态,Статус экипировки:
wearables_未装备,Не экипировано
wearables_穿戴,Надеть
wearables_单位,Юниты
wearables_英雄,Герои
wearables_英雄属性数量,{hero} · {count} атрибутов
wearables_当前槽位暂无可用饰品,В текущем слоте нет доступных предметов
wearables_槽位_头部,Голова
wearables_槽位_武器,Оружие
wearables_槽位_护甲,Броня
wearables_槽位_腰带,Пояс
wearables_槽位_背部,Спина
wearables_品质X,Качество {quality}
wearables_received_item_progress,Предмет {current} из {total}
wearables_穿戴后效果,Эффект экипировки
wearables_equip_effect_U001,Восстанавливает вам и союзным героям в радиусе 600 1% максимального запаса маны в секунду.
wearables_equip_effect_U002,Даёт вам и союзным героям в радиусе 600 5% брони.
wearables_equip_effect_U003,Даёт вам и союзным героям в радиусе 600 3% глобального крита.
wearables_equip_effect_U004,Даёт вам и союзным героям в радиусе 600 3% глобального вампиризма.
wearables_通用,Универсальный
wearables_槽位_光环,Аура