--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,Vietnamese
wearables_已拥有,Đã sở hữu
wearables_未拥有,Chưa sở hữu
wearables_已装备,Đã trang bị
wearables_默认饰品,Trang bị mặc định
wearables_试穿中,Đang thử
wearables_重置,Đặt lại
wearables_应用,Áp dụng
wearables_应用中,Đang áp dụng
wearables_装备,Trang bị
wearables_恢复默认,Khôi phục mặc định
wearables_卸下,Tháo
wearables_稀有度,Độ hiếm:
wearables_槽位,Vị trí:
wearables_属性加成,Cộng thuộc tính
wearables_拥有后生效说明,"Sau khi sở hữu sẽ có hiệu lực với nghề đó, không liên quan đến việc có trang bị hay không."
wearables_无属性加成,Không có cộng thuộc tính
wearables_未知饰品,Trang bị không xác định
wearables_你收到了一件饰品,Bạn đã nhận được một trang bị!
wearables_第,Thứ
wearables_接受,Chấp nhận
wearables_全部接受,Chấp nhận tất cả
wearables_装备状态,Trạng thái trang bị:
wearables_未装备,Chưa trang bị
wearables_穿戴,Trang bị
wearables_单位,Đơn vị
wearables_英雄,Anh hùng
wearables_英雄属性数量,{hero} · {count} thuộc tính
wearables_当前槽位暂无可用饰品,Hiện không có trang bị khả dụng cho ô này
wearables_槽位_头部,Đầu
wearables_槽位_武器,Vũ khí
wearables_槽位_护甲,Giáp
wearables_槽位_腰带,Thắt lưng
wearables_槽位_背部,Lưng
wearables_品质X,Chất lượng {quality}
wearables_received_item_progress,Món thứ {current} (trên tổng số {total})
wearables_穿戴后效果,Hiệu ứng khi trang bị
wearables_equip_effect_U001,Mỗi giây hồi phục 1% mana tối đa cho bản thân và các anh hùng đồng minh trong phạm vi 600.
wearables_equip_effect_U002,Cung cấp 5% giáp cho bản thân và các anh hùng đồng minh trong phạm vi 600.
wearables_equip_effect_U003,Cung cấp 3% chí mạng toàn cục cho bản thân và các anh hùng đồng minh trong phạm vi 600.
wearables_equip_effect_U004,Cung cấp 3% hút máu toàn cục cho bản thân và các anh hùng đồng minh trong phạm vi 600.
wearables_通用,Chung
wearables_槽位_光环,Hào quang