--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build 0b85d8d 
  ~ auto-generated — do not edit
]]


﻿Tokens,Schinese,English,Russian,
rune_tank_desc,坦克<br>每点力量提升<font color='#83d18a'> {hp_per_str}</font> 生命值,Tank<br>Each point of Strength grants <font color='#ffffff'>{hp_per_str}</font>  Health,Танк<br>Каждая единица силы даёт <font color='#ffffff'>{hp_per_str}</font>  к здоровью,坦克
DOTA_Tooltip_sl_modifier_rune_tank,<font color='#CD7F32'>坦克</font>,<font color='#ffffff'>Tank</font>,<font color='#ffffff'>Танк</font>,坦克
DOTA_Tooltip_sl_modifier_rune_tank_description,<font color='#FF6B6B'>最大生命值：【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font>,<font color='#FF6B6B'>Max Health: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font>,<font color='#FF6B6B'>Макс. здоровье: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font>,坦克
rune_warrior_desc,战士<br>每点力量提升<font color='#83d18a'> {hp_per_str}</font> 生命值<br>每点力量或敏捷提升<font color='#83d18a'> {batk_per_str_agi}</font> 基础攻击力,Warrior<br>Each point of Strength grants <font color='#ffffff'>{hp_per_str}</font>  Health<br> and Strength or Agility grants <font color='#ffffff'>{batk_per_str_agi}</font>  Base Attack Damage,Воин<br>Единица силы даёт <font color='#ffffff'>{hp_per_str}</font>  к здоровью<br> а сила или ловкость — <font color='#ffffff'>{batk_per_str_agi}</font> к базовому урону,战士
DOTA_Tooltip_sl_modifier_rune_warrior,<font color='#ffffff'>战士</font>,<font color='#ffffff'>Warrior</font>,<font color='#ffffff'>Воин</font>,战士
DOTA_Tooltip_sl_modifier_rune_warrior_description,<font color='#FF6B6B'>最大生命值：【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#76E02E'>基础攻击力：【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font>,<font color='#FF6B6B'>Max Health: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#76E02E'>Base Attack Damage: 【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font>,<font color='#FF6B6B'>Макс. здоровье: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#76E02E'>Базовый урон: 【+%fMODIFIER_PROPERTY_BASEATTACK_BONUSDAMAGE%】</font>,战士
rune_magic_tank_desc,重法<br>每点力量提升<font color='#83d18a'> {hp_per_str}</font> 生命值<br>每点力量或智力提升<font color='#83d18a'> {amp_per_str_int}%</font> 技能增强,Magic Tank<br>Each point of Strength grants <font color='#ffffff'>{hp_per_str}</font>  Health<br> and Strength or Intelligence grants <font color='#ffffff'>{amp_per_str_int}%</font>  Spell Amplification,Маг-танк<br>Единица силы даёт <font color='#ffffff'>{hp_per_str}</font>  к здоровью<br> а сила или интеллект — <font color='#ffffff'>{amp_per_str_int}%</font>  к усилению способностей,重法
DOTA_Tooltip_sl_modifier_rune_magic_tank,<font color='#ffffff'>重法</font>,<font color='#ffffff'>Magic Tank</font>,<font color='#ffffff'>Маг-танк</font>,重法
DOTA_Tooltip_sl_modifier_rune_magic_tank_description,<font color='#FF6B6B'>最大生命值：【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#00D7FF'>技能增强：【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font>,<font color='#FF6B6B'>Max Health: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#00D7FF'>Spell Amplification: 【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font>,<font color='#FF6B6B'>Макс. здоровье: 【+%dMODIFIER_PROPERTY_HEALTH_BONUS%】</font><br><font color='#00D7FF'>Усиление способностей: 【+%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%】</font>,重法
rune_assassin_desc,射手<br>每点敏捷提升<font color='#83d18a'> {batk_per_agi}</font> 基础攻击力,Marksman<br>Each point of Agility grants <font color='#ffffff'>{batk_per_agi}</font>  Base Attack Damage,Стрелок<br>Каждая единица ловкости даёт <font color='#ffffff'>{batk_per_agi}</font> к базовому урону,射手
