--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build b9dc48c · 2026-08-02 17:42:46 UTC
  ~ auto-generated — do not edit
]]


﻿Tokens,Schinese,English,Russian,
DOTA_Tooltip_ability_ringmaster_impalement_Lore,<font color='#F89F21'>该模式下，只享受技能增强收益的30%</font>,"<font color='#F89F21'>In this mode, this skill only gains 30% Spell Amp</font>",<font color='#F89F21'>В этом режиме умение получает лишь 30% усиления способностей</font>,尖刀戏
DOTA_Tooltip_ability_bloodseeker_rupture_Lore,<font color='#F89F21'>该模式下，只享受技能增强收益的30%</font>,"<font color='#F89F21'>In this mode, this skill only gains 30% Spell Amp</font>",<font color='#F89F21'>В этом режиме умение получает лишь 30% усиления способностей</font>,血魔
DOTA_Tooltip_ability_abyssal_underlord_firestorm_Lore,<font color='#F89F21'>该模式下，只享受技能增强收益的30%</font>,"<font color='#F89F21'>In this mode, this skill only gains 30% Spell Amp</font>",<font color='#F89F21'>В этом режиме умение получает лишь 30% усиления способностей</font>,火雨
DOTA_Tooltip_ability_phoenix_sun_ray_Lore,<font color='#F89F21'>该模式下，只享受技能增强收益的30%</font>,"<font color='#F89F21'>In this mode, this skill only gains 30% Spell Amp</font>",<font color='#F89F21'>В этом режиме умение получает лишь 30% усиления способностей</font>,凤凰
DOTA_Tooltip_ability_leshrac_diabolic_edict_Lore,<font color='#F89F21'>该模式下，只享受技能增强收益的30%</font>,"<font color='#F89F21'>In this mode, this skill only gains 30% Spell Amp</font>",<font color='#F89F21'>В этом режиме умение получает лишь 30% усиления способностей</font>,恶魔敕令
DOTA_Tooltip_ability_zuus_static_field_Lore,<font color='#F89F21'>该模式下，只享受技能增强收益的30%（在DOTA2原版和该模式下，该技能均可享受技能增强收益，alt键预览错误）</font>,"<font color='#F89F21'>In this mode, this skill only gains 30% Spell Amp</font>",<font color='#F89F21'>В этом режиме умение получает лишь 30% усиления способностей</font>,静电场
DOTA_Tooltip_ability_huskar_life_break_Lore,<font color='#F89F21'>该模式下，只享受技能增强收益的30%</font>,"<font color='#F89F21'>In this mode, this skill only gains 30% Spell Amp</font>",<font color='#F89F21'>В этом режиме умение получает лишь 30% усиления способностей</font>,牺牲
DOTA_Tooltip_ability_venomancer_noxious_plague_Lore,<font color='#F89F21'>该模式下，只享受技能增强收益的30%</font>,"<font color='#F89F21'>In this mode, this skill only gains 30% Spell Amp</font>",<font color='#F89F21'>В этом режиме умение получает лишь 30% усиления способностей</font>,剧毒大
DOTA_Tooltip_ability_witch_doctor_maledict_Lore,<font color='#F89F21'>该模式下，只享受技能增强收益的30%</font>,"<font color='#F89F21'>In this mode, this skill only gains 30% Spell Amp</font>",<font color='#F89F21'>В этом режиме умение получает лишь 30% усиления способностей</font>,巫医诅咒
DOTA_Tooltip_ability_shadow_demon_disseminate_Lore,<font color='#F89F21'>该模式下，只享受技能增强收益的30%（在DOTA2原版和该模式下，该技能均可享受技能增强收益，alt键预览错误）</font>,"<font color='#F89F21'>In this mode, this skill only gains 30% Spell Amp</font>",<font color='#F89F21'>В этом режиме умение получает лишь 30% усиления способностей</font>,赌狗散播
DOTA_Tooltip_ability_winter_wyvern_arctic_burn_Lore,<font color='#F89F21'>该模式下，只享受技能增强收益的30%（在DOTA2原版和该模式下，该技能均可享受技能增强收益，alt键预览错误）</font>,"<font color='#F89F21'>In this mode, this skill only gains 30% Spell Amp</font>",<font color='#F89F21'>В этом режиме умение получает лишь 30% усиления способностей</font>,冰龙喷
