--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build 16fdfbc · 2026-08-07 21:47:55 UTC
  ~ auto-generated — do not edit
]]


﻿Tokens,Schinese,English,Russian,
DOTA_Tooltip_sl_modifier_mid_mode_hero,中路模式强化,Mid Mode Empowered,Усиление мид-режима,中路模式英雄强化
键值 (Key),中文文本,英文翻译,俄文翻译,
DOTA_Tooltip_sl_modifier_mid_mode_hero_Description,在中路模式下，英雄的背包得到加强。现在背包中的道具冷却速率和物品栏相同。同时，每<font color='#FFFFFF'>30</font>秒提升英雄<font color='#FFFFFF'>%dMODIFIER_PROPERTY_TOOLTIP%</font>点最大生命值和<font color='#FFFFFF'>%dMODIFIER_PROPERTY_TOOLTIP2%</font>点最大魔法值，每次提升的数值随游戏时间而增加。<br>生命值：<font color='#FFFFFF'>%dMODIFIER_PROPERTY_HEALTH_BONUS%</font><br>魔法值：<font color='#FFFFFF'>%dMODIFIER_PROPERTY_MANA_BONUS%</font>,"In Mid Mode, the hero's backpack is strengthened. Items in the backpack now cool down at the same rate as the main inventory. Every <font color='#FFFFFF'>30</font> seconds, increases the hero's Max Health by <font color='#FFFFFF'>%dMODIFIER_PROPERTY_TOOLTIP%</font> and Max Mana by <font color='#FFFFFF'>%dMODIFIER_PROPERTY_TOOLTIP2%</font>, with each increase scaling with game time.<br>Health: <font color='#FFFFFF'>%dMODIFIER_PROPERTY_HEALTH_BONUS%</font><br>Mana: <font color='#FFFFFF'>%dMODIFIER_PROPERTY_MANA_BONUS%</font>","В мид-режиме ранец героя усилен. Теперь предметы в ранце перезаряжаются так же быстро, как в основном инвентаре. Каждые <font color='#FFFFFF'>30</font> сек. макс. здоровье героя увеличивается на <font color='#FFFFFF'>%dMODIFIER_PROPERTY_TOOLTIP%</font>, а макс. мана — на <font color='#FFFFFF'>%dMODIFIER_PROPERTY_TOOLTIP2%</font>, и эти бонусы растут со временем игры.<br>Здоровье: <font color='#FFFFFF'>%dMODIFIER_PROPERTY_HEALTH_BONUS%</font><br>Мана: <font color='#FFFFFF'>%dMODIFIER_PROPERTY_MANA_BONUS%</font>",中路模式英雄强化
DOTA_Tooltip_sl_modifier_fountain_hurt,泉水脆弱诅咒,Fountain Vulnerability Curse,Проклятие хрупкости колодца,中路模式泉水增强
DOTA_Tooltip_sl_modifier_fountain_hurt_Description,受到的所有伤害增加%fMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%%,All incoming damage increased by %fMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%%,Весь получаемый урон увеличивается на %fMODIFIER_PROPERTY_INCOMING_DAMAGE_PERCENTAGE%%%,中路模式泉水增强
DOTA_Tooltip_sl_modifier_mid_mode_tower_magic_regen_aura_buff,高塔魔能光环,Tower Mana Aura,Магическая аура башни,防御塔技能
DOTA_Tooltip_sl_modifier_mid_mode_tower_magic_regen_aura_buff_Description,每秒回复%fMODIFIER_PROPERTY_MANA_REGEN_CONSTANT%点+%fMODIFIER_PROPERTY_MANA_REGEN_TOTAL_PERCENTAGE%%%最大魔法值的魔法。,Restores %fMODIFIER_PROPERTY_MANA_REGEN_CONSTANT% + %fMODIFIER_PROPERTY_MANA_REGEN_TOTAL_PERCENTAGE%%% of Max Mana per second.,Восстанавливает %fMODIFIER_PROPERTY_MANA_REGEN_CONSTANT% + %fMODIFIER_PROPERTY_MANA_REGEN_TOTAL_PERCENTAGE%%% от макс. маны в секунду.,防御塔技能
DOTA_Tooltip_sl_modifier_super_creep_amplify,超级兵强化,Super Creep Amplify,Усиление мега-крипа,中路模式超级兵buff
DOTA_Tooltip_sl_modifier_super_creep_amplify_Description,护甲+%dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%。<br>魔法抗性+%dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%%%。<br>移动速度+%dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%。,Armor +%dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%.<br>Magic Resistance +%dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%%%.<br>Movement Speed +%dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%.,Броня +%dMODIFIER_PROPERTY_PHYSICAL_ARMOR_BONUS%.<br>Сопротивление магии +%dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS%%%.<br>Скорость передвижения +%dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%.,中路模式超级兵buff
DOTA_Tooltip_sl_modifier_item_flame_burn_debuff,灼烧伤害,Burn Damage,Урон от горения,火焰斗篷灼烧debuff
DOTA_Tooltip_sl_modifier_item_flame_burn_debuff_Description,每秒受到%dMODIFIER_PROPERTY_TOOLTIP%点伤害。幻象身上的火焰斗篷造成的灼烧伤害会减少。,Takes %dMODIFIER_PROPERTY_TOOLTIP% damage per second. Burn damage from Cloak of Flames is reduced on Illusions.,Получает %dMODIFIER_PROPERTY_TOOLTIP% урона в секунду. Урон от горения Cloak of Flames уменьшен для иллюзий.,火焰斗篷灼烧debuff
DOTA_Tooltip_sl_modifier_item_super_giant_ring_aura_check_debuff,巨人的杀意,Giant's Malice,Злоба великана,巨人刚戒检测光环debuff
DOTA_Tooltip_sl_modifier_item_super_giant_ring_aura_check_debuff_Description,你快要被盯上了！,You are being targeted!,За вами следят!,巨人刚戒检测光环debuff
DOTA_Tooltip_sl_modifier_item_super_giant_ring_strike_debuff,巨人的凝视,Giant's Gaze,Взор великана,巨人刚戒额外伤害debuff
DOTA_Tooltip_sl_modifier_item_super_giant_ring_strike_debuff_Description,你已经被盯上了！快跑！,You have been targeted! Run!,Вас обнаружили! Бегите!,巨人刚戒额外伤害debuff
DOTA_Tooltip_sl_modifier_item_super_giant_ring_strike_cooldown_debuff,巨人的宽恕,Giant's Forgiveness,Прощение великана,巨人刚戒额外伤害冷却
DOTA_Tooltip_sl_modifier_item_super_giant_ring_strike_cooldown_debuff_Description,你安全了（暂时）,You are safe (for now),Вы в безопасности (пока что),巨人刚戒额外伤害冷却
DOTA_Tooltip_sl_modifier_debt_debuff,负债,Debt,Долг,负债
DOTA_Tooltip_sl_modifier_bless_10006,攻速鞋,Attack Speed Boots,Ботинки на скор. атаки,福佑-10006
DOTA_Tooltip_sl_modifier_bless_10006_Description,移速：%dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT%<br>攻速：%dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%,Move Speed: %dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT%<br>Attack Speed: %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%,Скор. передвижения: %dMODIFIER_PROPERTY_MOVESPEED_BONUS_CONSTANT%<br>Скор. атаки: %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%,福佑-10006
DOTA_Tooltip_sl_modifier_bless_10009,刮痧,Static Combo,Заряженное комбо,福佑-10009
DOTA_Tooltip_sl_modifier_bless_10012,双击666 - 冷却中,Ultimate Refresh - Cooldown,Абсолютный сброс — перезарядка,福佑-10012
DOTA_Tooltip_sl_modifier_bless_10013,血法师,Blood Mage,Маг крови,福佑-10013
DOTA_Tooltip_sl_modifier_bless_10013_Description,技能增强 + %fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%<br>移动速度 + %fMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%<br>技能吸血 + %fMODIFIER_PROPERTY_MAGICAL_LIFESTEAL%%%,Spell Amp + %fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%<br>Move Speed + %fMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%<br>Spell Life Steal + %fMODIFIER_PROPERTY_MAGICAL_LIFESTEAL%%%,Усиление заклинаний + %fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%%<br>Скор. передвижения + %fMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%%<br>Скилл лайф стеал + %fMODIFIER_PROPERTY_MAGICAL_LIFESTEAL%%%,福佑-10013
DOTA_Tooltip_sl_modifier_bless_10015,陷阵之志,Blink Dagger Shield,Щит Blink Dagger,福佑-10015
DOTA_Tooltip_sl_modifier_bless_10015_Description,承受伤害大幅降低,Damage taken is significantly reduced,Получаемый урон значительно снижен,福佑-10015
DOTA_Tooltip_sl_modifier_bless_10017,一拳超人,One Punch Man,Ванпанчмен,福佑-10017
DOTA_Tooltip_sl_modifier_bless_10017_Description,蓄力！,Charging!,Зарядка!,福佑-10017
DOTA_Tooltip_sl_modifier_bless_10018,受虐狂,Masochist,Мазохист,福佑-10018
DOTA_Tooltip_sl_modifier_bless_10018_cd,受虐狂 - 冷却中,Masochist - Cooldown,Мазохист — перезарядка,福佑-10018
DOTA_Tooltip_sl_modifier_bless_10022_cd,备用护盾（大） - 冷却中,Spare Shield (Large) - Cooldown,Запасной щит (Большой) — перезарядка,福佑-10022
DOTA_Tooltip_sl_modifier_bless_10024,铁血复仇,Blood Revenge,Кровавая месть,福佑-10024
DOTA_Tooltip_sl_modifier_bless_10024_Description,杀光他们！,Kill them all!,Убить их всех!,福佑-10024
DOTA_Tooltip_sl_modifier_bless_10025_cd,5秒真男人 - 冷却中,Real Man - Cooldown,Настоящий мужик — перезарядка,福佑-10025
DOTA_Tooltip_sl_modifier_bless_10026,卫士胫甲强化,Enhanced Guardian Greaves,Усиленные поножи стража,福佑-10026
DOTA_Tooltip_sl_modifier_bless_10026_Description,眼睛要瞎了<br>输出降低%fMODIFIER_PROPERTY_TOTALDAMAGEOUTGOING_PERCENTAGE%%%,Blinding Light<br>Output Damage reduced by %fMODIFIER_PROPERTY_TOTALDAMAGEOUTGOING_PERCENTAGE%%%,Ослепительный свет<br>Урон снижен на %fMODIFIER_PROPERTY_TOTALDAMAGEOUTGOING_PERCENTAGE%%%,福佑-10026
DOTA_Tooltip_sl_modifier_bless_10031,游刃有余,Fixed Interval,Фиксированный интервал,福佑-10031
DOTA_Tooltip_sl_modifier_bless_10031_Description,攻击力提升%dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%点,Attack Damage increased by %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%,Урон увеличен на %dMODIFIER_PROPERTY_PREATTACK_BONUS_DAMAGE%,福佑-10031
DOTA_Tooltip_sl_modifier_bless_10035,杀人书,Soulstealer,Пожиратель душ,福佑-10035
DOTA_Tooltip_sl_modifier_bless_10035_Description,技能增强：%fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%% / %fMODIFIER_PROPERTY_TOOLTIP%%%,Spell Amp: %fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%% / %fMODIFIER_PROPERTY_TOOLTIP%%%,Усиление заклинаний: %fMODIFIER_PROPERTY_SPELL_AMPLIFY_PERCENTAGE%%% / %fMODIFIER_PROPERTY_TOOLTIP%%%,福佑-10035
DOTA_Tooltip_sl_modifier_bless_10036,龟龟,Turtle,Черепашка,福佑-10036
DOTA_Tooltip_sl_modifier_bless_10036_Description,嘻嘻,Hee hee,Хе-хе,福佑-10036
