--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English,SChinese,Russian,Vietnamese
achievement_成就,Achievements,成就,Достижения,Thành tựu
achievement_成就达成,Achievement Unlocked,成就达成,Достижение разблокировано,Đã mở khóa thành tựu
achievement_成就升级,Achievement Upgraded,成就升级,Уровень достижения повышен,Đã nâng cấp thành tựu
achievement_阶段,Stage {stage}/{total},第 {stage}/{total} 阶段,Этап {stage}/{total},Giai đoạn {stage}/{total}
achievement_统计,{completed}/{total} completed · {claimed} claimed,已完成 {completed}/{total} · 已领取 {claimed},Завершено: {completed}/{total} · Получено: {claimed},Đã hoàn thành {completed}/{total} · Đã nhận {claimed}
achievement_全部,All,全部,Все,Tất cả
achievement_进行中,In Progress,进行中,В процессе,Đang tiến hành
achievement_可领取,Claimable,可领取,Можно получить,Có thể nhận
achievement_已领取,Claimed,已领取,Получено,Đã nhận
achievement_领取,Claim,领取,Получить,Nhận
achievement_领取全部,Claim All,领取全部,Получить всё,Nhận tất cả
achievement_领取中,Claiming...,领取中…,Получение…,Đang nhận…
achievement_金币,Gold,金币,Золото,Vàng
achievement_无额外奖励,No additional reward,无额外奖励,Нет дополнительной награды,Không có phần thưởng bổ sung
achievement_正在加载,Loading achievement progress...,正在加载成就进度…,Загрузка прогресса достижений…,Đang tải tiến độ thành tựu…
achievement_暂无匹配成就,No matching achievements,暂无匹配成就,Нет подходящих достижений,Không có thành tựu phù hợp
achievement_请求超时,Request timed out. Please try again.,请求超时，请重试,Время ожидания истекло. Повторите попытку.,Yêu cầu đã hết thời gian. Vui lòng thử lại.
achievement_领取成功数量,Claimed {count} achievement reward(s),成功领取 {count} 项成就奖励,Получено наград: {count},Đã nhận {count} phần thưởng thành tựu
achievement_领取部分完成,Claimed {success}; {failed} failed: {reason},已领取 {success} 项，{failed} 项失败：{reason},Получено: {success}; ошибок: {failed}. Причина: {reason},Đã nhận {success}; thất bại {failed}: {reason}
achievement_存档未加载,Save data has not loaded,存档尚未加载,Данные сохранения ещё не загружены,Dữ liệu lưu chưa được tải
achievement_成就不存在,Achievement not found,成就不存在,Достижение не найдено,Không tìm thấy thành tựu
achievement_尚未完成,Achievement is not complete,成就尚未完成,Достижение ещё не завершено,Thành tựu chưa hoàn thành
achievement_前置阶段未领取,Claim the previous stage reward first,请先领取前一阶段奖励,Сначала получите награду предыдущего этапа,Hãy nhận phần thưởng cấp trước trước
achievement_已经领取,Reward already claimed,奖励已经领取,Награда уже получена,Phần thưởng đã được nhận
achievement_背包空间不足,Not enough backpack space,背包空间不足,Недостаточно места в рюкзаке,Không đủ chỗ trống trong ba lô
achievement_奖励发放失败,Failed to grant reward,奖励发放失败,Не удалось выдать награду,Không thể trao phần thưởng
achievement_已领取属性加成,Claimed Attribute Bonuses,已领取属性加成,Полученные бонусы к атрибутам,Thuộc tính đã nhận
achievement_尚未领取属性奖励,No claimed attribute bonuses yet,尚未领取任何属性奖励,Бонусы к атрибутам ещё не получены,Chưa nhận phần thưởng thuộc tính nào
achievement_将获得,To receive:,将获得：,,
achievement_已获得,Received:,已获得：,,
achievement_下一级X, (Next level: {value}),（下一级：{value}）,,