--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English,SChinese
activation_code_尊敬的申请者,Dear applicant:,尊敬的申请者：
activation_code_申请内测前请确认以下内容点击同意并申请即表示您已,"Before applying for the closed test, please confirm the following. By clicking Agree and Apply, you acknowledge and accept all terms.",申请内测前，请确认以下内容。点击同意并申请，即表示您已知晓并接受全部条款。
activation_code_一内测风险告知,I. Closed Test Risk Notice,一、内测风险告知
activation_code_1测试内容不完善风险,1. Risk of incomplete test content,1. 测试内容不完善风险
activation_code_2RPG游戏新鲜感损耗风险,2. Risk of reduced RPG novelty,2. RPG游戏新鲜感损耗风险
activation_code_3其他测试风险,3. Other test risks,3. 其他测试风险
activation_code_二确认与承诺,II. Confirmation and Commitments,二、确认与承诺
activation_code_自愿承担风险,Voluntarily accept the risks,自愿承担风险
activation_code_尊重公测玩家体验,Respect the public test player experience,尊重公测玩家体验
activation_code_遵守测试规范,Follow the test rules,遵守测试规范
activation_code_禁止隐瞒重大Bug并利用其盈利,Do not hide major bugs or profit from them,禁止隐瞒重大Bug并利用其盈利
activation_code_获取中,Loading,获取中
activation_code_请输入内测码,Enter closed test code,请输入内测码
activation_code_内测码已发放完毕,Closed test codes have all been issued,内测码已发放完毕
activation_code_欢迎参与Aow5内测,Welcome to the Aow5 Closed Test,欢迎参与 Aow5 内测
activation_code_领取或输入内测激活码后即可进入游戏内测Q群808,Claim or enter a closed test activation code to enter the game. Test QQ group: 808367181.,"领取或输入内测激活码后即可进入游戏,内测Q群:808367181。"
activation_code_剩余名额,Remaining Slots,剩余名额
activation_code_当前状态,Current Status,当前状态
activation_code_已获得激活码,Activation Code Acquired,已获得激活码
activation_code_等待激活,Awaiting Activation,等待激活
activation_code_限时领取内测码,Limited-time Closed Test Code,限时领取内测码
activation_code_每名玩家仅可获取一次,Each player can claim only once,每名玩家仅可获取一次
activation_code_填充已申请内测码,Fill claimed test code,填充已申请内测码
activation_code_申请内测资格,Apply for Closed Test Access,申请内测资格
activation_code_输入激活码,Enter Activation Code,输入激活码
activation_code_领取后会自动填入输入框,"After claiming, it will be filled into the input box automatically.",领取后会自动填入输入框
activation_code_进入游戏,Enter Game,进入游戏
activation_code_游戏内测资格申请同意书,Closed Test Access Application Agreement,游戏内测资格申请同意书
activation_code_请完整阅读以下内容后再决定是否申请内测资格,Please read everything below before deciding whether to apply for closed test access.,请完整阅读以下内容后再决定是否申请内测资格
activation_code_已完成等待您现在可以选择同意并申请内测资格,The wait is complete. You may now agree and apply for closed test access.,已完成等待，您现在可以选择同意并申请内测资格
activation_code_暂不申请,Not Now,暂不申请
activation_code_同意并申请,Agree and Apply,同意并申请
activation_code_测试内容不完善风险说明,"This closed beta may contain incomplete systems, temporary values, placeholders, and known or unknown bugs. Your progress and experience may differ from the public release.",本次内测可能存在系统未完备、数值临时、表现占位、已知或未知 Bug 等情况，测试体验与公测版本可能存在明显差异。
activation_code_RPG游戏新鲜感损耗风险说明,"Closed beta participation may reveal progression, builds, items, maps, quests, or systems in advance and reduce the sense of discovery after launch.",参与内测可能会提前接触成长线、流派、装备、地图、任务或系统内容，从而降低公测后的探索新鲜感。
activation_code_其他测试风险说明,"The test may include temporary shutdowns, data rollbacks, reward adjustments, balance changes, and rule updates. Please read official notices for details.",测试期间可能出现临时停服、数据回档、奖励调整、平衡性改动、规则变更等情况，具体以官方公告为准。
activation_code_自愿承担风险说明,"I understand and accept the above closed beta risks, and voluntarily participate in testing.",我已理解并接受上述内测风险，并自愿参与测试。
activation_code_尊重公测玩家体验说明,I will not maliciously spread spoilers or unverified information that harms other players experience.,我不会恶意传播剧透内容或未经确认的信息，避免影响其他玩家体验。
activation_code_遵守测试规范说明,I will follow test rules and report issues through proper channels.,我会遵守测试规范，并通过正常渠道反馈问题。
activation_code_禁止隐瞒重大Bug并利用其盈利说明,"I will not hide major bugs or use them for profit, trading, or unfair advantage.",我不会隐瞒重大 Bug，或利用其进行牟利、交易、刷取不当收益。
activation_code_同意按钮倒计时,The agree button unlocks in {seconds}s,同意按钮将在 {seconds} 秒后解锁
activation_code_同意按钮倒计时按钮,Agree ({seconds}s),同意（{seconds}s）