--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English,SChinese
alchemy_panel_炼金,Alchemy,炼金
alchemy_panel_炼金阵,Alchemy Array,炼金阵
alchemy_panel_秘仪控制台,Arcane Console,秘仪控制台
alchemy_panel_炼金阵封存,Array Sealed,炼金阵封存
alchemy_panel_当前仅开放一座法阵,Only one array is available,当前仅开放一座法阵
alchemy_panel_解锁法阵,Unlock Array,解锁法阵
alchemy_panel_炼金核心,Alchemy Core,炼金核心
alchemy_panel_每分钟后缀,/min,/分钟
alchemy_panel_炼金材料,Reagents,炼金材料
alchemy_panel_未开通材料槽,No reagent slots,未开通材料槽
alchemy_panel_待投料,Awaiting Reagents,待投料
alchemy_panel_产量,Output,产量
alchemy_panel_封存,Sealed,封存
alchemy_panel_已达上限,Capacity Full,已达上限
alchemy_panel_运行中,Running,运行中
alchemy_panel_存储上限,Storage Limit,存储上限
alchemy_panel_上限等级,Limit Lv.,上限等级
alchemy_panel_升级,Upgrade,升级
alchemy_panel_材料槽扩展,Reagent Slot Expansion,材料槽扩展
alchemy_panel_扩展,Expand,扩展
alchemy_panel_领取产出,Claim Output,领取产出
alchemy_panel_扩展材料槽,Expand Reagent Slot,扩展材料槽
alchemy_panel_消耗材料,Cost,消耗材料
alchemy_panel_确认扩展,Confirm Expansion,确认扩展
alchemy_panel_取消,Cancel,取消
alchemy_panel_升级收益上限,Upgrade Output Storage,升级收益上限
alchemy_panel_升级后上限,Upgraded Limit,升级后上限
alchemy_panel_确认升级,Confirm Upgrade,确认升级
alchemy_panel_请拖到背包或仓库取回材料,Drag to backpack or warehouse to retrieve material,请拖到背包或仓库取回材料
alchemy_panel_请先解锁炼金法阵,Unlock the alchemy array first,请先解锁炼金法阵
alchemy_panel_没有空白槽位,No empty slot,没有空白槽位
alchemy_material_tooltip_支持材料,Supported Reagents,支持材料
alchemy_material_tooltip_支持材料说明,Only the following items can be placed into reagent slots,以下材料可放入炼金材料槽
alchemy_material_tooltip_产能,Output,产能
alchemy_material_tooltip_暂无可用材料,No available reagents,暂无可用材料
alchemy_material_tooltip_材料数量不足,Not enough materials,材料数量不足
alchemy_material_tooltip_选择材料,Select Material,选择材料
alchemy_material_tooltip_拥有,Owned,拥有