--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English,SChinese
change_当前,Current,当前
change_职业天赋,Class Talent,职业天赋
change_职业进阶,Class Advancement ,职业进阶 
change_职业方案,Class Loadout,职业方案
change_预设方案,Preset Loadout,预设方案
change_职业技能,Class Skills,职业技能
change_技能配置,Skill Setup,技能配置
change_暂无可切换技能,No switchable skills,暂无可切换技能
change_解锁职业,Unlock Class,解锁职业
change_职业进阶_2,Advance Class,职业进阶
change_已达到最高阶,Max tier reached,已达到最高阶
change_切换职业,Switch Class,切换职业
change_确认转职,Confirm Class,确认转职
change_装备预设,Loadout Presets,装备预设
change_应用预设,Apply Preset,应用预设
change_应用方案,Apply Loadout,应用方案
change_清空预设,Clear Preset,清空预设
change_装备配置,Equipment Setup,装备配置
change_导入当前配置,Import Current Loadout,导入当前配置
change_当前已应用,Currently Applied,当前已应用
change_战斗通知其余物品前缀, and , 等
change_战斗通知其余物品后缀, other items, 件
change_有未应用修改,Unapplied Changes,有未应用修改
change_方案待应用,Ready to Apply,方案待应用
change_已保存,Saved,已保存
change_预设操作失败,Preset operation failed,预设操作失败
change_仅可在基地操作,Available in base only,仅可在基地操作
change_装备正在重铸,Item is being reforged,装备正在重铸
change_具体装备正在重铸,{item} is being reforged,{item}正在重铸
change_仓库空间不足,Not enough warehouse space,仓库空间不足
change_背包空间不足,Not enough inventory space,背包空间不足
change_技能配置无效,Skill setup is no longer valid,技能配置已失效
change_具体技能配置无效,{skill} is no longer available in this loadout,{skill}已不再适用于该方案
change_装备事务异常需重进,Equipment transaction failed. Re-enter the game before trying again.,装备事务发生异常，请重新进入游戏后再操作
change_操作正在进行,Operation in progress,操作正在进行
change_预设已发生变化,Preset has changed,预设已发生变化
change_预设槽_装备1,1,1
change_预设槽_装备2,2,2
change_预设槽_装备3,3,3
change_预设槽_装备4,4,4
change_预设槽_装备5,5,5
change_预设槽_装备6,6,6
change_预设槽_符印1,Gem 1,印1
change_预设槽_符印2,Gem 2,印2
change_预设槽_符印3,Gem 3,印3
change_预设槽_钱包,Wallet,钱包
change_预设槽_宝物,Treasure,宝物
change_预设槽_宠物,Pet,宠物
change_该职业暂无天赋树数据,This class has no talent tree data yet.,该职业暂无天赋树数据
change_返回,Back,返回
change_X阶,Tier {tier},{tier}阶
change_X阶职业名,Tier {tier} {name},{tier}阶 {name}
change_需要X级,Requires Lv.{level},需要 {level} 级
change_战士,Warrior,战士
change_法师,Mage,法师
change_辅助,Support,辅助
change_刺客,Assassin,刺客
change_射手,Marksman,射手
change_职业正在派遣无法转职,This class is currently dispatched and cannot be switched to.,该职业正在派遣，无法转职