--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English,SChinese
email_邮件,Mail,邮件
email_邮件数,Mail Count,邮件数
email_刷新,Refresh,刷新
email_邮件列表,Mail List,邮件列表
email_已领取,Claimed,已领取
email_已读,Read,已读
email_未读,Unread,未读
email_删除已读,Delete Read,删除已读
email_领取全部,Claim All,领取全部
email_有效期,Expires:,有效期:
email_领取,Claim,领取
email_请选择邮件查看,Please select a mail to view,请选择邮件查看