--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English,SChinese
end_screen_游戏版本过低,Game Version Too Old,游戏版本过低
end_screen_系统正在维护,System Maintenance,系统正在维护
end_screen_本局已结束,Game Ended,本局已结束
end_screen_当前游戏版本过低请更新后重新进入,Your game version is too old. Please update before entering again.,当前游戏版本过低，请更新后重新进入。
end_screen_服务器维护已开始请稍后再试,Server maintenance has started. Please try again later.,服务器维护已开始，请稍后再试。
end_screen_本局已结束请返回主界面,This game has ended. Please return to the dashboard.,本局已结束，请返回主界面。
end_screen_版本限制,Version Restricted,版本限制
end_screen_维护关停,Maintenance Shutdown,维护关停
end_screen_对局结束,Game Ended,游戏结束
end_screen_当前版本,Current Version,当前版本
end_screen_最低版本,Minimum Version,最低版本
end_screen_维护结束后不会继续写入本局存档,Save writing for this game has been stopped to protect your data.,为保护存档数据，本局结束后不会继续写入本局存档。
end_screen_退出游戏,Exit Game,退出游戏
end_screen_请返回主界面后根据提示重新进入游戏,Return to the dashboard and follow the prompts before entering again.,请返回主界面后，根据提示重新进入游戏。