--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English,SChinese
greed_cave_倾天秘境,Skyfall Realm,倾天秘境
greed_cave_第X层已清理,Floor {floor} Cleared,第{floor}层已清理
greed_cave_X阶倾天秘境,Tier {tier} Skyfall Realm,{tier}阶倾天秘境
greed_cave_撤离或继续,Evacuate or Continue,撤离或继续
greed_cave_剩余时间,Time Remaining,剩余时间
greed_cave_生效倒计时,Effective Countdown,生效倒计时
greed_cave_秒,s,秒
greed_cave_继续票数,Continue Votes,继续票数
greed_cave_撤离,Evacuate,撤离
greed_cave_继续,Continue,继续
greed_cave_已选择撤离,Evacuate Selected,已选择撤离
greed_cave_已选择继续,Continue Selected,已选择继续
greed_cave_选择下一层代价,Choose Next Floor Burden,选择下一层代价
greed_cave_代价提示,Choose one burden. It will affect later floors in this Skyfall Realm run.,选择一个代价，它会影响本次倾天秘境后续楼层。
greed_cave_当前代价,Active Burdens,当前代价
greed_cave_尚未选择,Not Selected,尚未选择
greed_cave_已选择代价,Burden Selected,已选择代价
greed_cave_落雷环境,Thunderstorm,落雷环境
greed_cave_落雷环境说明,Lightning periodically strikes visible combat areas.,战斗中会周期性出现预警落雷。
greed_cave_额外怪群,Extra Monsters,额外怪群
greed_cave_额外怪群说明,Later normal floors spawn more normal monsters and elites.,后续普通层会刷出更多普通怪和精英怪。
greed_cave_秘境剧毒,Realm Venom,秘境剧毒
greed_cave_秘境剧毒说明,Players are poisoned during later fights.,后续战斗中玩家会持续中毒。
greed_cave_恢复衰减,Recovery Decay,恢复衰减
greed_cave_恢复衰减说明,Player recovery effects are reduced in later fights.,后续战斗中玩家恢复效果降低。
greed_cave_怪物异变,Monster Mutation,怪物异变
greed_cave_怪物异变说明,Later monsters may spawn with random offensive or defensive buffs.,后续怪物可能带有随机进攻或防御增益。
greed_cave_撤离提醒,Evacuation Tip,撤离提醒
greed_cave_一半,50%,一半
greed_cave_撤离风险提示,Evacuate to keep current Mystic Crystals. Death drops {loss} of Mystic Crystals.,撤离可保留当前秘晶，死亡退出将掉落{loss}秘晶
greed_cave_无尽撤离风险提示,"Only a successful evacuation extracts your personal satchel. Defeat forfeits it, while shared storage and Mystic Crystals are always cleared at settlement.",只有成功撤离才能获得个人背包物品；失败将全部丢失，公共仓库与秘晶在结算时一律清空。
greed_cave_层数,Floor,层数
greed_cave_秘晶,Mystic Crystals,秘晶
greed_cave_复活,Revive,复活
greed_cave_复活中,Reviving,复活中
greed_cave_通关结算,Clear Settlement,通关结算
greed_cave_失败结算,Failure Settlement,失败结算
greed_cave_撤离结算,Evacuation Settlement,撤离结算
greed_cave_秘境商店,Skyfall Shop,秘境结算
greed_cave_领取奖励,Claim Rewards,秘境结算
greed_cave_本次秘晶,Mystic Crystals This Run,本次秘晶
greed_cave_次数确认,Challenge Use,次数确认
greed_cave_奖励选择提示,Abandoning rewards leaves the realm without consuming a Skyfall Invitation challenge.,放弃奖励将离开秘境，不消耗秘境邀请函每日次数。
greed_cave_放弃奖励,Abandon Rewards,放弃结算
greed_cave_进入商店,Enter Shop,结算奖励
greed_cave_关闭,Close,关闭
greed_cave_离开,Leave,离开
greed_cave_开启,Open,开启
greed_cave_获得奖励,Rewards Gained,获得奖励
greed_cave_已售,Sold,已售
greed_cave_购买,Buy,购买
greed_cave_材料箱子,Material Chest,材料箱子
greed_cave_材料箱子说明,Open it to receive random materials.,开启后获得随机材料
greed_cave_普通装备箱子,Normal Equipment Chest,普通装备箱子
greed_cave_普通装备箱子说明,Open it to receive random equipment.,开启后获得随机装备
greed_cave_传说装备箱子,Legendary Equipment Chest,传说装备箱子
greed_cave_传说装备箱子说明,Open it to receive random equipment.,开启后获得随机装备
greed_cave_神话装备箱子,Mythic Equipment Chest,神话装备箱子
greed_cave_神话装备箱子说明,Open it to receive random equipment.,开启后获得随机装备
greed_cave_符印箱说明,Open it to receive a random rune.,开启后获得随机符印
greed_cave_商品已经售罄,Item sold out,商品已经售罄
greed_cave_秘晶不足,Not enough Mystic Crystals,秘晶不足
greed_cave_背包和仓库空间不足,Not enough backpack or warehouse space,背包和仓库空间不足
greed_cave_购买成功,Purchase successful,购买成功
greed_cave_暂时无法进入倾天秘境,Cannot enter Skyfall Realm right now,暂时无法进入倾天秘境
greed_cave_当前只开放1至3阶秘境邀请函,Only Tier 1-3 Skyfall Invitations are available,当前只开放1至3阶秘境邀请函
greed_cave_英雄状态异常无法进入倾天秘境,Hero status is abnormal. Cannot enter Skyfall Realm.,英雄状态异常，无法进入倾天秘境
greed_cave_只有在基地中才能使用秘境邀请函,Skyfall Invitation can only be used in base,只有在基地中才能使用秘境邀请函
greed_cave_你已经参与过当前倾天秘境,You have already joined the current Skyfall Realm,你已经参与过当前倾天秘境
greed_cave_请先完成当前倾天秘境商店结算,Finish the current Skyfall Realm shop settlement first,请先完成当前倾天秘境商店结算
greed_cave_当前倾天秘境正在清理请稍后再试,The current Skyfall Realm is cleaning up. Please try again later.,当前倾天秘境正在清理，请稍后再试
greed_cave_行囊扩容,Bag Expansion,行囊扩容
greed_cave_行囊扩容说明,Increase your personal bag capacity by 1 slot for this Endless run. The price increases after each purchase.,本次无尽挑战的个人背包容量增加1格；每次购买后价格提高。
greed_cave_秘晶共鸣,Crystal Resonance,秘晶共鸣
greed_cave_秘晶共鸣说明,Increase all Crystal gains by {value}% for the rest of this run. The price increases after each purchase.,接下来获得的秘晶增加{value}%；每次购买后价格提高。
greed_cave_先祖余烬,Ancestral Ember,先祖余烬
greed_cave_先祖余烬说明,Gain 1 revive for this Endless run. The price increases after each purchase.,本次无尽挑战的复活次数+1；每次购买后价格提高。
greed_cave_扩建货架,Expand Shelves,扩建货架
greed_cave_扩建货架说明,Add 1 item now and permanently increase future merchant stock by 1 for this run. The price increases after each purchase.,立即追加1件商品，并让后续商人永久多出售1件商品；每次购买后价格提高。
greed_cave_无尽商品入库说明,"Purchases go to your personal bag first. If it is full, they go to the shared warehouse.",购买后优先放入个人背包，背包已满时进入全队公共仓库。
greed_cave_个人背包容量,Personal Bag ({count}/{capacity}),个人背包（{count}/{capacity}）
greed_cave_无尽结束后获得,Received when the Endless run ends,无尽结束后将获得
greed_cave_公共仓库数量,Shared Warehouse ({count}),公共仓库（{count}）
greed_cave_可随时整理,Can be organized at any time during this run,整轮挑战中可随时整理
greed_cave_挑战已结算,Run settled,挑战已结算
greed_cave_先祖行商,Ancestral Merchant,先祖行商
greed_cave_第X层无尽商店,Floor {floor} · Endless Shop,第 {floor} 层 · 无尽商店
greed_cave_X秒,{seconds}s,{seconds}秒
greed_cave_后进入下一层,until the next floor,后进入下一层
greed_cave_秘晶收益,Crystal Gain,秘晶收益
greed_cave_复活次数,Revives,复活次数
greed_cave_个人背包,Personal Bag,个人背包
greed_cave_商品槽位,Shop Slots,商品槽位
greed_cave_售罄,Sold Out,售罄
greed_cave_无尽秘境档案,ENDLESS REALM,无尽秘境档案
greed_cave_无尽秘境须知,Endless Realm Notice,无尽秘境须知
greed_cave_无尽撤离说明,You can evacuate at any time using the evacuation point above.,你可以随时从上方的撤离点撤离。
greed_cave_无尽死亡说明,"If you die in the Endless Realm, all items in your personal Endless bag will be lost.",如果在无尽秘境中死亡，你将失去无尽个人背包中的所有物品。
greed_cave_我知道了,Understood,我知道了
greed_cave_无尽倾天秘境,Endless Skyfall Realm,无尽倾天秘境
greed_cave_配方,Recipe,配方
greed_cave_确认消耗材料进入X阶倾天秘境,Confirm consuming materials to enter Tier {tier} Skyfall Realm.,确认消耗材料进入{tier}阶倾天秘境。
