--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English,SChinese
hud_攻击,Attack,攻击
hud_返回,Back,返回
hud_设置,Settings,设置
hud_邮件,Mail,邮件
hud_请选择邮件查看,Please select a mail to view,请选择邮件查看
hud_攻击力,Attack Damage:,攻击力:
hud_攻击速度,Attack Speed:,攻击速度:
hud_攻击距离,Attack Range:,攻击距离:
hud_移动速度,Movement Speed:,移动速度:
hud_伤害增强,Damage Boost:,伤害增强:
hud_魔法恢复,Mana Regen:,魔法恢复:
hud_攻击暴击,Attack Crit Chance:,攻击暴击:
hud_技能暴击,Ability Crit Chance:,技能暴击:
hud_物理暴击,Physical Crit Chance:,物理暴击:
hud_魔法暴击,Magical Crit Chance:,魔法暴击:
hud_伤害加成,Damage Bonus:,伤害加成:
hud_物理伤害,Physical Damage:,物理伤害:
hud_魔法伤害,Magical Damage:,魔法伤害:
hud_暴击伤害,Crit Damage:,暴击伤害:
hud_技能伤害,Spell Amplify:,技能伤害:
hud_攻击吸血,Attack Lifesteal:,攻击吸血:
hud_物理吸血,Physical Lifesteal:,物理吸血:
hud_技能吸血,Spell Lifesteal:,技能吸血:
hud_魔法吸血,Magical Lifesteal:,魔法吸血:
hud_伤害抵抗,Damage Resistance:,伤害抵抗:
hud_额外施法距离,Bonus Cast Range:,额外施法距离:
hud_视野范围,View Distance:,视野范围:
hud_冷却缩减,Cooldown Reduction:,冷却缩减:
hud_充能速度,Charge Restore Speed:,充能速度:
hud_耗蓝减少,Mana Cost Reduction:,耗蓝减少:
hud_防御,Defense,防御
hud_综合,Comprehensive,综合
hud_特殊,Special,特殊
hud_生命值,Health:,生命值:
hud_魔法值,Mana:,魔法值:
hud_护盾值,Shield:,护盾值:
hud_护甲,Armor:,护甲:
hud_物理抗性,Physical Resistance:,物理抗性:
hud_魔法抗性,Magic Resistance:,魔法抗性:
hud_状态抗性,Status Resistance:,状态抗性:
hud_减速抗性,Slow Resistance:,减速抗性:
hud_闪避,Evasion:,闪避:
hud_格挡,Block:,格挡:
hud_伤害减免,Damage Reduction:,伤害减免:
hud_生命恢复,HP Regen:,生命恢复:
hud_幸运值:,Luck Value:,幸运值:
ak_combat_notice_player_fallback,Player,玩家
ak_combat_notice_death_defeated, was defeated,被击败了
ak_combat_notice_death_fallen, fell,陨落了
ak_combat_notice_death_killed_by_prefix, was defeated by ,被 
ak_combat_notice_death_killed_by_suffix,, 击败了
ak_combat_notice_unknown_boss,Unknown Boss,未知首领
