--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English,SChinese
illustrated_类型掉落池,Type: Drop Pool,类型: 掉落池
illustrated_包含子池,Includes Sub-pools,包含子池
illustrated_单次触发期望价值,Expected value per trigger:,单次触发期望价值：
illustrated_贡献,Contribution: ,贡献: 
illustrated_权重,Weight: ,权重: 
illustrated_该掉落池暂无内容,This drop pool has no contents yet.,该掉落池暂无内容
illustrated_引用单位,Referencing Units,引用单位
illustrated_权重_2,Weight ,权重 
illustrated_当前没有单位直接引用该掉落池,No unit directly references this drop pool right now.,当前没有单位直接引用该掉落池
illustrated_统计时忽略图纸,Ignore blueprints in statistics,统计时忽略图纸
illustrated_搜索物品,Search items...,搜索物品...
illustrated_搜索掉落池,Search drop pools...,搜索掉落池...
illustrated_全部,All,全部
illustrated_装备,Equip,装备
illustrated_命石,Fate Stone,命石
illustrated_符印,Rune,符印
illustrated_图纸,Blueprint,图纸
illustrated_怪物,Monster,怪物
illustrated_掉落池,Drop Pool,掉落池
illustrated_宝物,Treasure,宝物
illustrated_背包,Backpack,背包
illustrated_材料,Material,材料
illustrated_珍稀,Rare Goods,珍稀
illustrated_信件,Letters,信件
illustrated_药剂,Potion,药剂
illustrated_珍宝,Treasure,珍宝
illustrated_佳酿,Fine Brew,佳酿
illustrated_通用,Universal,通用
illustrated_斧王,Axe,斧王
illustrated_刺客,Assassin,刺客
illustrated_莉娜,Lina,莉娜
illustrated_搜索具体描述,Search detailed text,搜索具体描述
illustrated_出没于,Appears In,出没于
illustrated_生命值,Health,生命值
illustrated_攻击力,Attack Damage,攻击力
illustrated_护甲,Armor,护甲
illustrated_移动速度,Move Speed,移动速度
illustrated_经验值,EXP,经验值
illustrated_金币,Gold,金币
illustrated_掉落率,Drop Rate,掉落率
illustrated_掉落数量,Drop Count,掉落数量
illustrated_技能, skills,技能
illustrated_可破坏物,Destructible,可破坏物
illustrated_可破坏并获得掉落,Can be destroyed for drops,可破坏并获得掉落
illustrated_该怪物暂无掉落数据,This monster has no drop data yet.,该怪物暂无掉落数据
illustrated_小怪,Normal Monster,小怪
illustrated_精英,Elite,精英
illustrated_头目,Boss,头目
illustrated_图鉴系统,illustrated book,图鉴系统
illustrated_掉落来源,Drop Sources,掉落来源
illustrated_掉落池来源,Drop Pool Sources,掉落池来源
illustrated_其他来源,Other Sources,其他来源
illustrated_黑心商贩,Black Market Vendor,黑心商贩
illustrated_赞助商城礼包,Sponsor Shop Pack,赞助商城礼包
illustrated_会馆商人积分兑换,Merchant Point Exchange,会馆商人积分兑换
illustrated_宝物碎片兑换,Treasure Fragment Exchange,宝物碎片兑换
illustrated_需要商店等级X,Requires shop level {level},需要商店等级 {level}
illustrated_库存X,Stock {count},库存 {count}
illustrated_消耗X碎片,Costs {count} fragments,消耗 {count}碎片
illustrated_分解获得,Dismantle,分解获得
illustrated_分解低阶装备,Dismantle quality 1-4 equipment,分解 1-4 品质装备
illustrated_分解X品质装备,Dismantle quality {quality} equipment,分解 {quality} 品质装备
illustrated_分解X品质宝物,Dismantle quality {quality} treasures,分解 {quality} 品质宝物
illustrated_分解X品质宝物概率Y,Dismantle quality {quality} treasures ({chance}% chance),分解 {quality} 品质宝物（{chance}%概率）
illustrated_分解符印,Dismantle glyphs,分解符印
illustrated_分解命石,Dismantle Fate Stones,分解命石
illustrated_贡献百分比,Contribution {percent},贡献 {percent}
illustrated_概率百分比,Chance {percent},概率 {percent}
illustrated_权重X,Weight {weight},权重 {weight}
illustrated_单次触发期望价值X,Expected value per trigger: {value},单次触发期望价值：{value}
illustrated_权重百分比,Weight {weight} ({percent}),权重 {weight}（{percent}）
illustrated_掉落池X,Drop Pool {index},掉落池 {index}
illustrated_单次击杀期望价值X,Expected value per kill: {value},单次击杀期望价值：{value}
illustrated_概率百分比冒号,Chance: {percent},概率：{percent}
illustrated_权重冒号X,Weight: {weight},权重：{weight}
illustrated_X级,Lv.{level},{level}级
illustrated_破坏物,Destructible,破坏物
illustrated_普通,Normal,普通
illustrated_合成配方,Crafting Recipe,合成配方
illustrated_有掉落,Has Drops,有掉落
illustrated_掉落,Drop,掉落
illustrated_商贩,Black Market,商贩
illustrated_商城,Sponsor Shop,赞助商城
illustrated_无掉落,No Drops,无掉落
illustrated_图纸产出,Blueprint Output,图纸产出
illustrated_合成目标,Crafting Target,合成目标
illustrated_可参与合成,Used In Crafting,可参与合成
illustrated_类型X,Type: {type},类型：{type}
illustrated_请选择一个项目查看详情,Select an item to view details,请选择一个项目查看详情
illustrated_返回X,Back to {name},← {name}
illustrated_返回,Back,← 返回
illustrated_请选择一个条目查看详情,Select an entry to view details,请选择一个条目查看详情
illustrated_搜索怪物,Search monsters...,搜索怪物...
illustrated_请选择一个怪物查看详情,Select a monster to view details,请选择一个怪物查看详情
illustrated_图鉴档案,ILLUSTRATED ARCHIVE,图鉴档案
illustrated_可能获得,Possible Rewards,可能获得
illustrated_可解锁天赋,Unlockable Talents,可解锁天赋
illustrated_按概率,By Chance,按概率
illustrated_按等级,By Level,按等级
illustrated_困难模式,Hard Mode,困难模式
illustrated_击杀次数,Kills,击杀次数
illustrated_困难独有,Hard Mode Only,困难独有
illustrated_击杀X,Kills: {count},击杀：{count}
illustrated_幻影刺客,Phantom Assassin,幻影刺客
illustrated_未开放,Unavailable,未开放
illustrated_移出白名单,Remove from Allowlist,移出白名单
illustrated_加入白名单,Add to Allowlist,加入白名单
illustrated_移出黑名单,Remove from Blocklist,移出黑名单
illustrated_加入黑名单,Add to Blocklist,加入黑名单
illustrated_隐藏名称,Hide Names,隐藏名称