--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English,SChinese
item_context_menu_当前状态下无法上架该物品,This item cannot be listed in the current state.,当前状态下无法上架该物品
item_context_menu_仅数量大于1的物品可以拆分,Only item stacks greater than 1 can be split.,仅数量大于 1 的物品可以拆分
item_context_menu_卸下,Unequip,卸下
item_context_menu_移除,Remove,移除
item_context_menu_装备,Equip,装备
item_context_menu_上架,List,上架
item_context_menu_拆分,Split,拆分
item_context_menu_分解,Dismantle,分解
item_context_menu_取消锁定,Unlock Slot,取消锁定
item_context_menu_锁定格子,Lock Slot,锁定格子
item_context_menu_查看图鉴,View Guide,查看图鉴
item_context_menu_数量X,Count {count},数量 {count}
item_context_menu_购买X个,Buy {count},购买 {count} 个
item_context_menu_连续使用X个,Use {count} Continuously,连续使用 {count} 个
item_context_menu_连续使用最大数量,Use Maximum Amount,连续使用最大数量
item_context_menu_确认分解,Confirm Dismantle,确认分解
item_context_menu_分解获得含重铸返还,You will receive (including returned reforging materials),本次分解可获得（返还部分重铸材料）
item_context_menu_本次分解可获得,You will receive,本次分解可获得
item_context_menu_取消,Cancel,取消
item_context_menu_本局不再提醒,Do not remind me again this match,本局不再提醒
item_context_menu_确认丢弃,Confirm Discard,确认丢弃
item_context_menu_贵重物品丢弃确认,This item is valuable. Discard it on the ground?,该物品较为贵重，确定要丢弃到地上吗？
item_context_menu_丢弃,Discard,丢弃
item_context_menu_本局不再提示,Do not show again this match,本局不再提示