--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English,SChinese
knapsack_暂无描述,No description,暂无描述
knapsack_整理,Sort,整理
knapsack_默认,Default,默认
knapsack_按价值,By Value,按价值
knapsack_补给,Supplies,补给
knapsack_全部存入,Deposit All,全部存入
knapsack_背包容量,Backpack ({used}/{max}),背包({used}/{max})
knapsack_估值X,Value {value},估值 {value}
knapsack_alt_deposit_hint,Alt + Left Click: Quick Deposit to Warehouse,Alt + 左键：快速存入仓库
knapsack_批量上锁,Lock Multiple,批量上锁
knapsack_批量分解,Dismantle Multiple,批量分解
knapsack_批量解锁,Unlock Multiple,批量解锁