--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English,SChinese
loading_不要贪心下一把也许就是你的神装开局,Do not get greedy. The next run may start with your dream gear.,不要贪心，下一把也许就是你的神装开局。
loading_一定不要摸小猫,Never pet a black cat.,一定不要摸小猫。
loading_流派构筑与装备组合,Builds & Gear,流派构筑与装备组合
loading_房间推进与撤离收益,Explore & Extract,房间推进与撤离收益
loading_成长养成与长期仓库,Progress & Storage,成长养成与长期仓库
loading_当前阶段,Phase,当前阶段
loading_公测调优中,Public Beta,公测调优中
loading_当前服务器,Server,当前服务器
loading_即将进入服务器,Entering Server,即将进入服务器
loading_请确认服务器后进入,Server saves are separate. Confirm this server before entering.,不同服务器存档互不相通，请确认当前服务器后进入。
server_codename_s1_1,Endshadow Frenzy,末影狂乱
server_codename_s1_2,Endshadow Tide,末影之潮
server_codename_s2_1,Cube's Will,魔方意志
server_codename_s2_2,Cube Realm,魔方秘境
loading_测试讨论Q群,QQ Group,测试讨论Q群
loading_在钢铁火焰与战利品之间整理你的武装选择你的推进节,Build your arsenal. Choose your path.,在钢铁、火焰与战利品之间，整理你的武装，选择你的推进节奏。
loading_主菜单,Menu,主菜单
loading_准备进入据点,Enter the Base,准备进入据点
loading_完成资格验证后即可进入基地建议先查看背包制作与成,Prepare gear and upgrades before your run.,完成资格验证后即可进入基地。建议先查看背包、制作与成长系统，再开始房间推进。
loading_进入游戏,Play,进入游戏
loading_进入当前服务器,Enter {server},进入 {server}
loading_公测试玩版本主界面已完成资格校验后展示,Closed beta trial build · Main screen displayed after eligibility verification is complete,公测试玩版本 · 主界面已完成资格校验后展示
loading_小贴士,Tip: ,小贴士: 
loading_离线模式,Offline Mode,离线模式
loading_一起开黑,Team Up,一起开黑
loading_系统正在维护,System Maintenance,系统正在维护
loading_请求服务器配置中,Requesting server configuration...,请求服务器配置中...
loading_系统初始化中,Initializing system...,系统初始化中...
loading_正在校验存档与测试资格,Checking save data and test eligibility...,正在校验存档与测试资格...
loading_激活码验证中,Verifying activation code...,激活码验证中...
loading_正在进入游戏,Entering game...,正在进入游戏...
loading_服务器载入中,Loading server...,服务器载入中...
loading_维护强制结束倒计时,The server is under maintenance. The game will close in {seconds}s.,当前服务器正在维护，{seconds}秒后将强制结束游戏
loading_服务器维护中请稍后再试,Server maintenance in progress. Please try again later.,服务器维护中，请稍后再试
loading_连接失败X秒后重试,Connection failed. Retrying in {seconds}s.,连接失败，{seconds} 秒后重试
loading_服务器存档提示,SERVER SAVE NOTICE,服务器存档提示
loading_检测到其他服务器存档,Save Found on Another Server,检测到其他服务器存档
loading_S1新服旧档提示说明,"You are currently on <font color='#6fdcff'><b>{currentServer}</b></font>. This server has <font color='#ffcc66'><b>no save data</b></font>, while <font color='#8dff9a'><b>Pioneer Season Server 1 has your existing save</b></font>.<br><br>If you did not intend to start on a new server, return and select the <font color='#ffcc66'><b>'s1-1' map</b></font> to enter <font color='#8dff9a'><b>Pioneer Season Server 1</b></font>.",你当前进入的是 <font color='#6fdcff'><b>{currentServer}</b></font>，此服务器<font color='#ffcc66'><b>没有存档</b></font>，但<font color='#8dff9a'><b>先锋赛季服1存在原有存档</b></font>。<br><br>如果你不是想切换到新的服务器，请返回通过选择<font color='#ffcc66'><b>“s1-1”地图</b></font>进入<font color='#8dff9a'><b>先锋赛季服1</b></font>。
loading_不同服务器存档互不相通,Save data is separate for each server.,不同服务器的存档互不相通。
loading_返回并选择服务器,Return to Lobby,返回游戏大厅
loading_继续使用当前服务器,Continue on {server},继续使用 {server}